TO_URJC
1462164119
time,tx_packets
0.001,117412
0.101,117413
0.201,117413
0.301,117413
0.401,117414
0.502,117414
0.602,117414
0.702,117414
0.802,117414
0.902,117414
1.003,117414
1.103,117414
1.203,117414
1.303,117414
1.403,117414
1.504,117414
1.604,117415
1.704,117415
1.804,117416
1.904,117416
2.005,117416
2.105,117418
2.205,117418
2.305,117419
2.405,117419
2.506,117420
2.606,117444
2.706,117466
2.806,117490
2.906,117513
3.007,117534
3.107,117558
3.207,117582
3.307,117607
3.407,117632
3.507,117653
3.608,117669
3.708,117679
3.808,117701
3.908,117723
4.008,117742
4.109,117754
4.209,117777
4.309,117810
4.409,117832
4.509,117865
4.610,117888
4.710,117909
4.810,117921
4.910,117941
5.010,117970
5.110,117988
5.211,118006
5.311,118032
5.411,118058
5.511,118071
5.611,118082
5.711,118097
5.812,118123
5.912,118134
6.012,118143
6.112,118167
6.213,118191
6.313,118209
6.413,118240
6.513,118271
6.613,118284
6.714,118294
6.814,118313
6.914,118336
7.014,118346
7.114,118356
7.215,118388
7.314,118414
7.415,118442
7.515,118465
7.615,118491
7.716,118502
7.816,118511
7.916,118535
8.016,118555
8.116,118567
8.216,118586
8.317,118614
8.417,118633
8.517,118645
8.617,118664
8.717,118688
8.817,118698
8.918,118709
9.018,118735
9.118,118754
9.218,118769
9.318,118795
9.418,118816
9.518,118829
9.619,118839
9.719,118858
9.819,118887
9.919,118897
10.019,118908
10.119,118937
10.219,118961
10.319,118989
10.420,119015
10.520,119036
10.620,119046
10.720,119063
10.820,119089
10.921,119101
11.021,119111
11.121,119137
11.221,119163
11.321,119191
11.421,119209
11.521,119238
11.621,119252
11.722,119262
11.822,119279
11.923,119304
12.022,119315
12.123,119330
12.223,119358
12.323,119375
12.423,119385
12.524,119401
12.624,119434
12.724,119450
12.824,119484
12.924,119512
13.025,119546
13.125,119581
13.225,119616
13.325,119651
13.425,119686
13.526,119721
13.625,119756
13.726,119791
13.826,119826
13.926,119861
14.026,119897
14.126,119932
14.226,119967
14.326,120002
14.426,120038
14.527,120072
14.626,120108
14.726,120142
14.827,120181
14.927,120216
15.027,120251
15.127,120286
15.227,120321
15.327,120356
15.428,120391
15.528,120426
15.628,120461
15.729,120496
15.829,120532
15.929,120567
16.029,120601
16.130,120637
16.230,120672
16.330,120707
16.431,120743
16.531,120778
16.631,120813
16.731,120848
16.832,120883
16.932,120918
17.032,120953
17.133,120988
17.233,121024
17.333,121059
17.434,121094
17.534,121129
17.634,121164
17.734,121199
17.835,121234
17.934,121269
18.035,121305
18.135,121340
18.235,121377
18.336,121412
18.435,121446
18.536,121482
18.636,121517
18.736,121553
18.836,121588
18.936,121623
19.035,121658
19.136,121694
19.236,121730
19.336,121765
19.436,121801
19.536,121835
19.636,121871
19.736,121907
19.836,121939
19.937,121977
20.037,122012
20.137,122046
20.237,122081
20.338,122117
20.438,122152
20.538,122187
20.638,122222
20.738,122258
20.838,122293
20.938,122328
21.038,122363
21.139,122399
21.239,122434
21.339,122469
21.439,122504
21.539,122539
21.639,122576
21.739,122610
21.839,122646
21.939,122681
22.039,122715
22.139,122750
22.239,122785
22.340,122820
22.440,122855
22.540,122892
22.640,122926
22.740,122961
22.840,122997
22.941,123032
23.041,123068
23.141,123103
23.241,123137
23.341,123174
23.441,123209
23.541,123244
23.641,123281
23.741,123316
23.841,123351
23.941,123386
24.042,123421
24.142,123456
24.242,123491
24.342,123528
24.442,123561
24.543,123595
24.643,123632
24.743,123666
24.843,123699
24.943,123735
25.044,123769
25.144,123804
25.244,123843
25.344,123876
25.444,123911
25.544,123946
25.645,123981
25.744,124016
25.844,124052
25.944,124087
26.045,124123
26.145,124159
26.245,124195
26.345,124228
26.445,124263
26.545,124298
26.645,124333
26.745,124369
26.845,124404
26.945,124439
27.045,124474
27.145,124510
27.245,124546
27.346,124582
27.446,124617
27.546,124652
27.646,124686
27.746,124722
27.846,124757
27.947,124792
28.047,124827
28.147,124866
28.247,124899
28.347,124934
28.447,124962
28.547,124982
28.648,124988
28.748,124988
28.848,124988
28.948,124988
29.048,124988
29.149,124988
29.249,124988
29.349,124989
29.449,124989
29.550,124989
29.650,124989
29.750,124989
29.851,124989
29.951,124989
30.051,124990
30.151,124990
30.252,124990
30.352,124990
30.452,124991
30.552,124991
30.652,124991
30.753,124991
30.853,124991
30.953,124991
31.053,124992
31.154,124992
31.254,124992
31.354,124993
31.454,124994
31.554,124995
31.655,124995
31.755,124995
31.855,124995
31.955,124995
32.055,124995
32.156,124996
32.256,124997
32.356,124998
32.456,124998
32.556,124999
32.656,124999
32.757,124999
32.857,124999
32.957,124999
33.057,124999
33.158,124999
33.258,124999
33.358,124999
33.458,124999
33.558,125000
33.659,125000
33.759,125001
33.859,125001
33.959,125001
34.059,125001
34.159,125002
34.260,125002
34.360,125002
34.460,125002
34.560,125002
34.660,125002
34.761,125003
34.861,125003
