time,tx_packets
0.001,978103
0.101,978113
0.201,978124
0.301,978134
0.401,978144
0.502,978154
0.602,978164
0.702,978174
0.802,978184
0.902,978194
1.003,978204
1.103,978214
1.203,978224
1.303,978234
2.404,978344
2.504,978355
2.604,978365
2.704,978375
2.804,978385
2.904,978395
3.005,978405
3.105,978415
3.205,978425
3.305,978433
3.406,978445
3.506,978456
3.606,978467
3.706,978479
3.806,978489
3.907,978499
4.007,978509
4.107,978520
4.207,978530
4.307,978541
4.408,978551
4.508,978562
4.608,978572
4.708,978582
4.808,978592
4.909,978602
5.009,978612
5.109,978622
5.209,978632
5.309,978642
5.410,978652
5.510,978662
5.610,978672
5.710,978682
5.810,978692
5.911,978702
6.011,978712
6.111,978722
6.211,978732
6.311,978742
6.412,978752
6.512,978762
6.612,978772
6.712,978782
6.812,978792
6.913,978803
7.013,978813
7.113,978823
7.213,978833
7.314,978843
7.414,978853
7.514,978863
7.614,978873
7.715,978883
7.815,978893
