time,tx_packets
0.001,45131
0.101,45131
0.201,45131
0.301,45131
0.401,45131
0.502,45131
0.602,45131
0.702,45131
0.802,45132
0.902,45132
1.002,45132
1.103,45132
1.203,45132
1.303,45132
1.403,45132
1.504,45132
1.604,45132
1.704,45132
1.804,45133
1.904,45133
2.005,45133
2.105,45133
2.205,45133
2.305,45133
2.405,45133
2.505,45133
2.606,45133
2.706,45133
2.806,45133
2.906,45134
3.006,45134
3.107,45134
3.207,45134
3.307,45134
3.407,45135
3.507,45135
3.608,45135
3.708,45135
3.808,45141
3.908,45142
4.009,45142
4.109,45142
4.209,45143
4.309,45143
4.409,45145
4.509,45145
4.610,45145
4.710,45145
4.810,45145
4.910,45145
5.010,45146
5.110,45146
5.211,45146
5.311,45146
5.411,45146
5.511,45146
5.611,45147
5.712,45147
5.812,45147
5.912,45147
6.012,45147
6.113,45147
6.213,45148
6.313,45148
6.413,45148
6.513,45148
6.614,45148
6.714,45148
6.814,45148
6.914,45148
7.014,45148
7.115,45149
7.215,45149
7.315,45149
7.415,45149
7.516,45149
7.616,45150
7.716,45150
7.816,45150
7.916,45151
8.017,45159
8.117,45160
8.217,45160
8.317,45160
8.417,45160
8.518,45160
8.618,45161
8.718,45161
8.818,45161
8.919,45161
9.019,45161
9.119,45161
9.219,45162
9.319,45162
9.420,45162
9.520,45162
9.620,45162
9.720,45162
9.820,45162
9.921,45162
10.021,45162
10.121,45162
10.221,45162
10.322,45162
10.422,45162
10.522,45162
10.622,45163
10.722,45163
10.823,45163
10.923,45163
11.023,45163
11.123,45163
11.223,45163
11.324,45163
11.424,45163
11.524,45164
11.624,45164
11.724,45164
11.825,45164
11.925,45165
12.025,45165
12.125,45165
12.225,45165
12.326,45165
12.426,45167
12.526,45172
12.626,45172
12.727,45172
12.827,45172
12.927,45172
13.027,45172
13.127,45173
13.228,45173
13.328,45173
13.428,45174
13.528,45174
13.628,45174
13.728,45174
13.828,45174
13.929,45174
14.029,45174
14.129,45174
14.229,45174
14.329,45174
14.430,45174
14.530,45174
14.630,45174
14.730,45174
14.830,45174
14.931,45175
15.031,45175
15.131,45175
15.231,45175
15.331,45175
15.432,45175
15.532,45175
15.632,45175
15.732,45176
15.832,45176
15.933,45176
16.033,45176
16.133,45176
16.233,45176
16.333,45176
16.434,45177
16.534,45177
16.634,45177
16.734,45178
16.835,45178
16.935,45183
17.035,45184
17.135,45184
17.235,45184
17.336,45184
17.436,45184
17.536,45184
17.636,45184
17.736,45185
17.837,45185
17.937,45186
18.037,45186
18.137,45186
18.237,45186
18.338,45186
18.438,45186
18.538,45186
18.638,45186
18.738,45186
18.839,45186
18.939,45186
19.039,45187
19.139,45187
19.239,45187
19.340,45187
19.440,45187
19.540,45187
19.640,45187
19.741,45187
19.841,45187
19.941,45187
20.041,45188
20.141,45188
20.242,45188
20.342,45188
20.442,45188
20.542,45188
20.642,45189
20.743,45189
20.843,45189
20.943,45189
21.043,45190
21.144,45190
21.244,45191
21.344,45192
21.444,45192
21.544,45192
21.644,45192
21.744,45192
21.845,45192
21.945,45193
22.045,45193
22.145,45193
22.245,45194
22.346,45194
22.446,45194
22.546,45194
22.646,45194
22.747,45194
22.847,45194
22.947,45194
23.047,45194
23.147,45194
23.248,45194
23.348,45195
23.448,45195
23.548,45195
23.648,45195
23.749,45195
23.849,45195
23.949,45195
24.049,45195
24.150,45195
24.250,45196
24.350,45196
24.450,45197
24.551,45197
24.651,45197
24.751,45197
24.851,45197
24.952,45197
25.052,45197
25.152,45198
25.252,45198
25.352,45200
25.453,45201
25.553,45201
25.653,45201
25.753,45201
25.853,45201
25.954,45201
26.054,45201
26.154,45201
26.254,45201
26.354,45202
26.455,45202
26.555,45203
26.655,45203
26.755,45203
26.855,45203
26.956,45203
27.056,45203
27.156,45203
27.256,45203
27.356,45203
27.457,45203
27.557,45203
27.657,45203
27.757,45204
27.858,45204
27.958,45204
28.058,45204
28.158,45204
28.258,45204
28.359,45204
28.459,45204
28.559,45205
28.659,45205
28.759,45205
28.860,45205
28.960,45205
29.060,45205
29.160,45205
29.260,45205
29.360,45205
29.461,45206
29.561,45212
29.661,45212
29.761,45212
29.862,45212
29.962,45212
30.062,45212
30.162,45212
30.263,45212
30.363,45212
30.463,45212
30.563,45212
30.663,45212
30.764,45214
30.864,45214
30.964,45214
31.064,45214
31.164,45214
31.265,45214
31.365,45214
31.465,45214
31.565,45214
