TO_CLIENT
1461336750
time,rx_packets
0.001,22633
0.101,22638
0.201,22643
0.301,22648
0.401,22653
0.502,22658
0.602,22663
0.702,22668
0.802,22673
0.902,22678
1.003,22683
1.103,22688
1.203,22693
1.303,22698
1.404,22703
1.504,22708
1.604,22713
1.704,22718
1.804,22724
1.905,22729
2.005,22734
2.105,22739
2.205,22744
2.305,22749
2.406,22754
2.506,22759
2.606,22764
2.706,22769
2.806,22771
2.907,22779
3.007,22784
3.107,22789
3.207,22794
3.308,22799
3.407,22804
3.508,22809
3.608,22814
3.708,22819
3.808,22824
3.908,22829
4.009,22834
4.109,22839
4.209,22844
4.309,22849
4.410,22854
4.510,22859
4.610,22864
4.710,22869
4.810,22874
4.911,22880
5.011,22885
5.111,22890
5.211,22895
5.311,22900
5.412,22905
5.512,22910
5.612,22915
5.712,22920
5.812,22925
5.913,22930
6.013,22935
6.113,22940
6.213,22945
6.313,22950
6.414,22955
6.514,22960
6.614,22965
6.714,22970
6.814,22976
6.915,22981
7.015,22986
7.115,22991
7.215,22996
7.315,23001
7.416,23006
7.516,23011
7.616,23016
7.716,23021
7.816,23026
7.917,23031
8.017,23036
8.117,23041
8.217,23046
8.317,23051
8.418,23056
8.518,23061
8.618,23066
8.718,23071
8.818,23076
8.919,23081
9.019,23086
9.119,23091
9.219,23096
9.319,23101
9.420,23106
9.520,23111
9.620,23116
9.720,23121
9.820,23126
9.921,23131
10.021,23136
10.121,23141
10.221,23146
10.321,23151
10.422,23156
10.522,23161
10.622,23166
10.722,23171
10.822,23176
10.923,23181
11.023,23186
11.123,23191
11.223,23196
11.323,23201
11.424,23206
11.524,23211
11.624,23216
11.724,23221
11.825,23226
11.925,23231
12.025,23236
12.125,23241
12.225,23246
12.325,23251
12.426,23256
12.526,23261
12.626,23266
12.726,23271
12.826,23276
12.927,23281
13.027,23286
13.127,23291
13.227,23296
13.328,23301
13.428,23306
13.528,23311
13.628,23316
13.729,23321
13.829,23326
13.929,23331
14.029,23336
14.129,23341
14.230,23346
14.330,23351
14.430,23356
14.530,23361
14.630,23366
14.731,23371
14.831,23377
14.931,23382
15.031,23387
15.132,23392
15.232,23397
15.332,23402
15.432,23407
15.532,23412
15.633,23417
15.733,23422
15.833,23427
15.933,23432
16.034,23437
16.133,23442
16.233,23447
16.334,23452
16.434,23457
16.534,23462
16.635,23467
16.735,23472
16.835,23477
16.935,23482
17.036,23487
17.136,23492
17.236,23497
17.337,23502
17.437,23507
17.537,23512
17.637,23517
17.737,23522
