TO_UIUC
1461337268
time,tx_packets
0.001,67132
0.101,67142
0.201,67152
0.302,67162
0.402,67172
0.502,67183
0.602,67193
0.703,67204
0.803,67214
0.903,67224
1.003,67234
1.104,67244
1.204,67256
1.304,67268
1.404,67274
1.505,67288
1.605,67298
1.705,67306
1.806,67318
1.906,67328
2.006,67339
2.106,67349
2.206,67359
2.307,67369
2.406,67379
2.506,67389
2.607,67399
2.707,67409
2.807,67419
2.908,67429
3.008,67439
3.108,67449
3.209,67460
3.309,67471
3.409,67481
3.509,67491
3.610,67501
3.711,67511
3.810,67521
3.910,67530
4.010,67535
4.110,67540
4.211,67540
4.311,67540
4.411,67540
4.511,67540
4.612,67540
4.712,67540
4.812,67540
4.913,67540
5.013,67540
5.113,67540
5.213,67540
5.314,67540
5.414,67540
5.514,67543
5.614,67543
5.715,67543
5.815,67543
5.915,67543
6.015,67543
6.115,67543
6.216,67543
6.316,67543
6.416,67543
6.517,67543
6.617,67543
6.717,67543
6.817,67543
6.917,67543
7.018,67543
7.118,67543
7.218,67543
7.318,67543
7.418,67543
7.519,67543
7.619,67544
7.719,67545
7.819,67545
7.919,67545
8.020,67545
8.120,67545
8.220,67545
8.320,67545
8.421,67545
8.521,67545
8.621,67545
8.722,67545
8.822,67546
8.922,67546
9.022,67546
9.122,67546
9.223,67546
9.323,67546
9.423,67546
9.523,67546
9.624,67546
9.724,67546
9.825,67546
9.925,67548
10.025,67548
10.125,67549
10.226,67550
10.326,67550
10.426,67550
10.526,67550
10.627,67550
10.727,67550
10.827,67550
10.928,67550
11.028,67550
11.128,67550
11.228,67550
11.328,67550
11.428,67550
11.528,67550
11.629,67550
11.729,67551
11.829,67551
11.929,67552
12.030,67552
12.130,67552
12.230,67552
12.330,67552
12.430,67552
12.530,67552
12.631,67552
12.731,67552
12.831,67552
12.932,67552
13.032,67552
13.132,67552
13.232,67552
13.332,67552
13.433,67552
13.533,67552
13.633,67552
13.734,67552
13.833,67552
13.934,67552
14.034,67552
14.134,67552
14.235,67552
14.335,67552
14.435,67552
14.535,67553
14.636,67553
14.736,67553
14.837,67553
14.937,67553
15.037,67553
15.137,67553
15.238,67553
15.338,67553
15.438,67553
15.538,67553
15.639,67553
15.739,67553
15.839,67553
15.940,67554
16.040,67554
16.140,67554
16.240,67554
16.341,67554
16.441,67555
16.541,67555
16.641,67555
16.741,67556
16.842,67556
16.942,67556
17.042,67556
17.143,67556
17.243,67557
17.343,67557
17.443,67557
17.544,67557
17.644,67557
17.744,67557
17.845,67557
17.945,67557
18.045,67557
18.145,67557
18.246,67557
18.346,67557
18.446,67557
18.546,67559
18.646,67560
18.747,67561
18.847,67561
18.948,67561
19.048,67561
19.148,67561
19.248,67561
19.348,67561
19.449,67561
19.549,67561
19.649,67561
19.750,67561
19.850,67561
19.950,67561
20.050,67561
20.150,67561
20.251,67561
20.351,67562
20.451,67562
20.551,67562
20.652,67563
20.752,67563
20.852,67563
20.952,67563
21.053,67563
21.153,67563
21.253,67563
21.353,67563
21.453,67563
21.554,67563
21.654,67563
21.754,67563
21.855,67563
21.955,67563
22.055,67563
22.155,67563
22.256,67563
22.356,67563
22.456,67563
22.556,67563
22.657,67563
22.757,67563
22.857,67564
22.958,67565
23.058,67567
23.158,67567
23.258,67567
23.358,67567
23.459,67567
23.559,67567
23.659,67567
23.759,67567
23.860,67567
23.960,67567
24.060,67567
24.161,67567
24.261,67567
25.361,67569
25.461,67569
25.562,67569
25.662,67569
25.762,67569
25.862,67569
25.963,67569
26.063,67569
26.163,67569
26.264,67569
26.364,67571
26.464,67571
26.564,67572
26.665,67572
26.765,67572
26.865,67572
26.965,67572
27.066,67574
27.166,67574
27.266,67574
27.366,67574
27.467,67575
27.567,67575
27.667,67575
27.768,67575
27.868,67575
27.968,67575
28.068,67575
28.169,67575
28.269,67575
28.369,67575
28.469,67575
28.570,67575
28.670,67575
28.770,67575
28.871,67575
28.971,67575
29.071,67576
29.171,67576
29.272,67577
29.372,67577
29.472,67577
29.572,67577
29.673,67577
29.773,67577
29.873,67577
29.973,67577
30.074,67577
30.174,67577
30.274,67577
30.374,67577
30.475,67577
30.575,67577
30.675,67577
30.776,67577
30.876,67577
30.976,67577
31.076,67577
31.177,67577
31.277,67577
31.377,67579
31.477,67579
31.577,67580
31.678,67581
31.778,67581
31.879,67581
31.979,67581
32.079,67581
32.179,67581
32.280,67581
32.380,67581
32.480,67581
32.580,67581
32.681,67581
32.781,67581
32.881,67581
32.982,67581
33.082,67581
33.182,67582
33.282,67582
33.382,67582
33.483,67582
33.583,67582
33.683,67583
33.783,67583
33.884,67583
33.984,67583
34.084,67583
34.185,67583
34.285,67583
34.385,67583
34.485,67583
34.586,67583
34.686,67583
34.786,67583
34.886,67583
34.987,67583
35.087,67583
35.187,67583
35.287,67583
35.388,67583
35.488,67584
35.588,67584
35.689,67585
35.789,67585
35.889,67585
35.989,67585
36.090,67585
36.190,67586
36.290,67586
36.390,67586
36.491,67586
36.591,67586
36.691,67586
36.791,67586
36.892,67586
36.992,67586
37.092,67586
37.193,67586
37.293,67586
37.393,67586
37.494,67587
37.594,67587
37.694,67587
37.794,67587
37.894,67587
37.995,67588
38.095,67588
38.196,67588
38.296,67588
38.396,67588
38.496,67588
38.596,67588
38.697,67588
38.797,67588
38.897,67588
38.997,67588
39.098,67588
39.198,67588
39.298,67588
39.398,67588
39.499,67588
39.599,67588
39.699,67588
39.799,67588
39.900,67590
40.000,67590
40.100,67591
40.201,67591
40.301,67591
40.401,67591
40.501,67591
40.602,67592
40.702,67592
40.802,67592
40.902,67592
41.003,67592
41.103,67592
41.203,67592
41.304,67592
41.404,67592
41.504,67592
41.604,67592
41.704,67592
41.805,67592
41.905,67592
42.006,67592
42.106,67592
42.206,67594
42.306,67594
42.406,67594
42.507,67594
42.607,67594
42.708,67594
42.808,67594
42.908,67594
43.008,67594
43.108,67594
43.209,67594
43.309,67594
43.409,67594
43.509,67594
43.610,67594
43.711,67594
43.810,67594
43.910,67594
44.010,67594
44.111,67594
44.211,67596
44.311,67597
44.412,67597
44.512,67597
44.612,67598
44.712,67598
44.812,67598
44.913,67599
45.013,67599
45.114,67599
45.213,67599
45.314,67599
45.414,67599
45.515,67599
45.615,67599
45.715,67599
45.815,67599
45.915,67599
46.016,67599
46.116,67599
46.216,67599
46.317,67599
46.417,67599
46.517,67600
46.617,67601
46.718,67601
46.818,67601
46.918,67601
47.019,67601
47.119,67601
47.219,67601
47.319,67601
47.420,67601
47.520,67601
47.620,67601
47.720,67601
47.821,67601
47.921,67601
48.021,67601
48.121,67601
48.222,67601
48.322,67601
48.422,67603
