TO_UM
1461337268
time,tx_packets
0.001,23825
0.101,23825
0.201,23825
0.302,23826
0.402,23826
0.502,23826
0.602,23826
0.703,23826
0.803,23826
0.903,23826
1.004,23826
1.104,23826
1.204,23826
1.304,23827
1.405,23827
1.505,23827
1.605,23827
1.705,23827
1.806,23827
1.906,23827
2.006,23828
2.106,23831
2.206,23831
2.307,23831
2.406,23831
2.507,23831
2.607,23831
2.707,23831
2.807,23831
2.908,23831
3.008,23831
3.109,23831
3.209,23831
3.309,23832
3.409,23832
3.510,23833
3.610,23833
3.711,23833
3.810,23833
3.910,23833
4.010,23833
4.111,23833
4.211,23833
4.311,23833
4.411,23833
4.512,23834
4.612,23834
4.712,23834
4.813,23834
4.913,23834
5.013,23834
5.113,23834
5.214,23834
5.314,23835
5.414,23835
5.514,23836
5.615,23836
5.715,23836
5.815,23836
5.915,23836
6.016,23836
6.116,23836
6.216,23836
6.316,23838
6.417,23838
6.517,23842
6.617,23843
6.717,23843
6.817,23843
6.918,23843
7.018,23843
7.118,23843
7.218,23843
7.318,23843
7.418,23843
7.519,23843
7.619,23844
7.719,23844
7.819,23844
7.920,23845
8.020,23845
8.120,23845
8.220,23845
8.321,23845
8.421,23845
8.521,23845
8.621,23845
8.722,23845
8.822,23846
8.922,23847
9.022,23848
9.122,23848
9.223,23848
9.323,23848
9.423,23848
9.523,23848
9.624,23848
9.724,23848
9.825,23848
9.925,23848
10.025,23848
10.125,23848
10.226,23849
10.326,23849
10.426,23849
10.526,23849
10.627,23850
10.727,23851
10.827,23856
10.928,23856
11.028,23856
11.128,23856
11.228,23856
11.329,23856
11.429,23856
11.529,23856
11.629,23856
11.729,23857
11.829,23857
11.930,23857
12.030,23858
12.130,23858
12.230,23858
12.330,23858
12.431,23858
12.531,23858
12.631,23858
12.731,23858
12.832,23858
12.932,23858
13.032,23858
13.132,23858
13.232,23859
13.332,23859
13.433,23859
13.533,23859
13.633,23859
13.734,23859
13.834,23859
13.934,23859
14.034,23859
14.135,23859
14.235,23859
14.335,23859
14.436,23859
14.535,23860
14.636,23860
14.737,23860
14.837,23861
14.937,23863
15.037,23865
15.137,23865
15.238,23865
15.338,23865
15.438,23865
15.539,23865
15.639,23865
15.739,23865
15.839,23865
15.939,23866
