FROM_CLIENT
1462169600
time,rx_packets
0.001,7
0.101,7
0.205,7
0.302,7
0.402,7
0.502,7
0.603,7
0.703,7
0.803,12
0.903,17
1.004,22
1.103,27
1.204,32
1.304,37
1.404,42
1.504,47
1.605,52
1.705,57
1.805,62
1.906,67
2.006,72
2.106,77
2.206,82
2.306,87
2.406,92
2.506,97
2.607,102
2.707,107
2.807,112
2.907,117
3.007,122
3.108,127
3.208,132
3.308,137
3.408,142
3.509,147
3.609,152
3.709,157
3.809,162
3.909,167
4.010,172
4.111,177
4.210,182
4.311,187
4.411,188
4.511,197
4.611,202
4.712,207
4.812,212
4.913,217
5.013,222
5.113,227
5.213,232
5.314,237
5.414,243
5.514,248
5.614,253
5.715,258
5.814,263
5.914,267
6.015,273
6.115,279
6.216,284
6.316,289
6.415,294
6.516,299
6.617,304
6.717,309
6.817,314
6.917,319
7.018,324
7.118,329
7.218,334
7.318,339
7.418,344
7.519,349
7.619,354
7.719,359
7.819,364
7.919,369
8.019,374
8.120,379
8.220,384
8.320,389
8.421,394
8.521,399
8.621,404
8.721,409
8.821,414
8.922,419
9.022,424
9.122,429
9.222,434
9.323,439
9.423,444
9.524,449
9.624,454
9.724,459
9.824,464
9.925,469
10.025,474
10.125,479
10.225,484
10.326,489
10.426,494
10.526,499
10.626,504
10.727,509
10.827,514
10.927,519
11.027,524
11.127,529
11.228,534
11.328,539
11.428,544
11.528,549
11.628,554
11.729,559
11.829,564
11.929,569
12.029,574
12.129,579
12.230,584
12.330,589
12.430,594
12.531,599
12.631,604
12.731,609
12.832,614
12.932,619
13.033,624
13.133,629
13.233,634
13.334,639
13.434,644
13.534,650
13.634,655
13.735,660
13.835,665
13.935,670
14.036,675
14.136,680
14.236,685
14.337,689
14.437,695
14.537,700
14.638,705
14.738,710
14.839,715
14.939,720
15.039,725
15.140,730
15.240,735
15.340,740
15.440,746
15.541,751
15.641,756
15.741,761
15.841,766
15.941,771
16.041,776
16.142,781
16.242,786
16.343,791
16.443,796
16.543,801
16.643,806
16.744,811
16.844,816
16.945,821
17.045,826
17.145,831
17.245,836
17.345,841
17.446,846
17.545,851
17.646,856
17.746,861
17.846,866
17.947,871
18.047,876
18.148,881
18.248,886
18.348,891
18.448,896
18.548,901
18.649,906
18.749,911
18.850,916
18.949,921
19.050,926
19.150,931
19.250,936
19.351,941
19.451,946
19.551,951
19.652,956
19.751,961
19.852,966
19.953,971
20.052,976
20.153,981
20.253,986
20.353,991
20.454,996
20.554,1001
20.654,1007
20.754,1012
20.855,1017
20.955,1022
21.055,1027
21.155,1032
21.256,1037
21.356,1042
21.456,1047
21.556,1052
21.657,1057
21.757,1062
21.857,1067
21.957,1072
22.058,1077
22.158,1082
22.259,1087
22.359,1092
22.459,1097
22.560,1102
22.660,1107
22.760,1112
22.860,1117
22.960,1122
23.061,1127
23.161,1132
23.262,1137
23.362,1142
23.461,1147
23.561,1152
23.662,1157
23.762,1162
23.862,1167
23.963,1172
24.063,1177
24.163,1182
24.263,1187
24.364,1192
24.464,1197
24.564,1202
24.665,1207
24.765,1212
24.865,1217
24.965,1222
25.065,1227
25.165,1232
25.266,1237
25.366,1242
25.466,1247
25.567,1252
25.667,1257
25.767,1262
25.867,1267
25.967,1272
26.068,1277
26.168,1282
26.268,1287
26.369,1292
26.469,1297
26.569,1302
26.669,1307
26.769,1312
26.870,1317
26.970,1322
27.070,1327
27.170,1332
27.271,1337
27.371,1342
27.471,1347
27.572,1352
27.672,1357
27.772,1362
27.872,1367
27.973,1372
28.072,1377
28.172,1382
28.274,1387
28.374,1392
28.474,1398
28.574,1403
28.675,1408
28.774,1413
28.875,1418
28.975,1423
29.076,1428
29.176,1433
29.276,1438
29.376,1443
29.477,1448
29.577,1453
29.677,1458
29.777,1463
29.878,1468
29.978,1473
30.078,1478
30.178,1483
30.279,1488
30.379,1493
30.478,1498
30.579,1503
30.680,1508
30.780,1513
30.880,1518
30.981,1523
31.081,1528
31.180,1533
31.281,1538
31.382,1543
31.482,1548
31.582,1553
31.682,1558
31.782,1563
31.882,1568
31.983,1573
32.082,1578
32.183,1583
32.283,1588
32.384,1593
32.484,1598
32.584,1603
32.685,1608
32.785,1613
32.885,1618
32.985,1623
33.086,1628
33.186,1633
33.286,1638
33.386,1643
33.487,1648
33.587,1653
33.687,1658
33.788,1663
33.888,1668
33.988,1673
34.088,1678
34.188,1683
34.288,1688
34.389,1690
34.489,1690
34.590,1690
34.689,1690
34.790,1713
34.890,1718
34.990,1723
35.091,1728
35.191,1733
35.291,1738
35.391,1743
35.492,1748
35.591,1753
35.692,1758
35.792,1763
35.892,1768
35.992,1773
36.092,1778
36.192,1783
36.293,1788
36.393,1793
36.493,1798
36.593,1803
36.693,1808
36.794,1813
36.894,1818
36.994,1823
37.094,1829
37.195,1834
37.295,1839
37.395,1844
37.496,1849
37.596,1854
37.696,1859
37.796,1864
37.897,1869
37.997,1874
38.097,1879
38.197,1884
38.298,1889
38.398,1894
38.499,1899
38.598,1904
38.699,1909
38.799,1914
38.900,1919
39.000,1924
39.100,1929
39.200,1934
39.300,1939
39.401,1944
39.501,1949
39.601,1954
39.702,1959
39.802,1964
39.902,1969
40.002,1974
40.103,1979
40.203,1984
40.303,1989
40.404,1994
40.503,1999
40.604,2004
40.704,2009
40.805,2014
40.905,2019
41.005,2024
41.105,2029
41.205,2034
41.306,2039
41.406,2044
41.506,2049
41.607,2054
41.706,2059
41.807,2064
41.907,2069
42.007,2074
42.108,2079
42.208,2084
42.308,2089
42.408,2094
42.509,2099
42.609,2104
42.709,2109
42.809,2114
42.910,2119
43.010,2124
43.110,2129
43.211,2134
43.311,2139
43.411,2144
43.511,2149
43.611,2154
43.712,2159
43.812,2164
43.912,2169
44.013,2174
44.113,2179
44.213,2184
44.313,2189
44.414,2194
44.514,2199
44.614,2205
44.715,2210
44.815,2215
44.915,2220
45.016,2225
45.116,2230
45.216,2235
45.316,2240
45.417,2245
45.517,2250
45.617,2255
45.717,2260
45.817,2265
45.918,2270
46.018,2275
46.118,2280
46.219,2285
46.319,2290
46.419,2295
46.519,2300
46.620,2305
46.720,2310
46.820,2315
46.920,2320
47.021,2325
47.121,2330
47.221,2335
47.322,2340
47.422,2345
47.522,2350
47.623,2355
47.723,2360
47.823,2365
47.923,2370
48.023,2375
48.124,2380
48.224,2385
48.324,2390
48.425,2395
48.525,2400
48.625,2405
48.725,2410
48.826,2415
48.926,2420
49.026,2425
49.127,2430
49.227,2435
49.327,2440
49.427,2445
49.528,2450
49.628,2455
49.728,2461
49.828,2466
49.928,2471
50.029,2476
50.129,2481
50.230,2486
50.330,2491
50.430,2496
50.530,2501
50.630,2506
50.731,2511
50.831,2516
50.931,2521
51.032,2526
51.132,2531
51.232,2536
51.332,2541
51.433,2546
51.533,2551
51.633,2556
51.733,2561
51.834,2566
51.934,2571
52.034,2577
52.135,2582
52.235,2587
52.334,2592
52.435,2597
52.535,2602
52.636,2607
52.736,2612
52.836,2617
52.936,2622
53.037,2627
53.137,2632
53.237,2637
53.337,2642
53.438,2647
53.538,2652
