FROM_KISTI
1462169600
time,rx_packets
0.001,7
0.101,7
0.201,7
0.301,7
0.402,7
0.502,7
0.602,8
0.702,14
0.802,19
0.903,24
1.003,29
1.103,34
1.203,39
1.303,44
1.404,49
1.504,54
1.604,59
1.704,64
1.804,69
1.905,74
2.005,79
2.105,84
2.205,89
2.305,94
2.406,99
2.506,104
2.606,109
2.706,114
2.806,119
2.907,124
3.007,129
3.107,134
3.207,139
3.307,144
3.408,149
3.508,154
3.608,159
3.708,164
3.809,169
3.909,174
4.009,179
4.109,184
4.209,188
4.310,194
4.410,199
4.510,204
4.610,210
4.710,215
4.811,220
4.911,225
5.011,230
5.111,235
5.211,240
5.311,245
5.412,250
5.512,255
5.612,260
5.712,266
5.812,271
5.913,276
6.013,281
6.113,286
6.213,291
6.313,296
6.414,301
6.514,306
6.614,311
6.714,316
6.814,321
6.915,326
7.015,331
7.115,336
7.215,341
7.315,346
7.416,351
7.516,356
7.616,361
7.716,366
7.816,371
7.917,376
8.017,381
8.117,386
8.217,391
8.317,396
8.418,401
8.518,406
8.618,411
8.718,416
8.818,421
8.919,426
9.019,431
9.119,436
9.219,441
9.319,446
9.420,451
9.520,456
9.620,461
9.720,466
9.820,471
9.921,476
10.021,481
10.121,486
10.221,491
10.322,496
10.422,501
10.522,506
10.622,511
10.722,516
10.823,521
10.923,524
11.023,524
11.123,524
11.223,524
11.324,524
11.424,524
11.524,524
11.624,524
11.725,524
11.825,524
11.925,524
12.025,524
12.126,524
12.226,524
12.326,524
12.426,524
12.527,524
12.627,524
12.727,524
12.827,524
12.927,524
13.028,524
13.128,524
13.228,524
13.328,524
13.428,524
13.529,524
13.629,524
13.729,524
13.829,524
13.930,524
14.030,524
14.130,524
14.230,524
14.330,524
14.431,524
14.531,524
14.631,524
14.731,524
14.831,524
14.932,524
15.032,525
15.132,525
15.232,525
15.333,525
15.433,525
15.533,525
15.633,525
15.734,525
15.834,525
15.934,525
16.034,525
16.134,525
16.235,525
16.335,525
16.435,525
16.535,525
16.635,525
16.736,525
16.836,525
16.936,525
17.036,525
17.136,525
17.237,525
17.337,525
17.437,525
17.537,525
17.638,525
17.738,525
17.838,525
17.938,525
18.038,525
18.139,525
18.239,525
19.339,525
19.439,525
19.540,525
19.640,525
19.740,525
19.840,525
19.940,525
20.041,525
20.141,525
20.241,525
20.341,525
20.441,525
20.542,525
20.642,525
20.742,525
20.842,525
20.943,525
21.043,525
21.143,525
21.243,525
21.343,525
21.444,525
21.544,525
21.644,525
21.744,525
21.844,525
21.945,525
22.045,525
22.145,525
22.245,525
22.346,525
22.446,525
22.546,525
22.646,525
22.746,525
22.847,525
22.947,525
23.047,525
23.147,525
23.247,525
23.348,525
23.448,525
23.548,525
23.648,525
23.749,525
23.849,525
23.949,525
24.049,525
24.149,525
24.249,525
24.350,525
24.450,525
24.550,525
24.650,525
24.751,525
24.851,525
24.951,525
25.051,525
25.151,525
25.252,525
25.352,525
25.452,525
25.552,525
25.653,525
25.753,525
25.853,525
25.953,525
26.053,525
26.154,525
26.254,525
26.354,525
26.454,525
26.554,525
26.655,525
26.755,525
26.855,525
26.955,525
27.056,525
27.156,525
27.256,525
27.356,525
27.456,525
27.557,525
27.657,525
27.757,525
27.857,525
27.957,525
28.058,525
28.158,525
28.258,525
28.358,525
28.459,525
28.559,525
28.659,525
28.759,525
28.859,525
28.960,525
29.060,525
29.160,525
29.260,525
29.360,525
29.461,525
29.561,525
29.661,525
29.761,525
29.862,525
29.962,525
30.062,525
30.162,525
30.262,525
30.363,525
30.463,525
30.563,525
30.663,525
30.763,525
30.864,525
30.964,525
31.064,525
31.164,525
31.265,525
31.365,525
31.465,525
31.565,525
31.665,525
31.766,525
31.866,525
31.966,525
32.066,525
32.166,525
32.267,525
32.367,525
32.467,525
32.567,525
32.668,525
32.768,525
32.868,525
32.968,525
33.068,525
33.169,525
33.269,525
33.369,525
33.469,525
33.569,525
33.670,525
33.770,525
33.870,525
33.970,525
34.071,525
34.171,525
34.271,525
34.371,525
34.471,525
34.571,525
34.672,525
34.772,525
34.872,525
34.972,525
35.072,525
35.173,525
35.273,525
35.373,525
35.473,525
35.573,525
35.674,525
35.774,525
35.874,525
35.974,525
36.074,525
36.175,525
36.275,525
36.375,525
36.475,525
36.575,525
36.676,525
36.776,525
36.876,525
36.976,525
37.076,525
37.177,525
37.277,525
37.377,525
37.477,525
37.578,525
37.678,525
37.778,525
37.878,525
37.978,525
38.079,525
38.179,525
38.279,525
38.379,525
38.479,525
38.580,525
38.680,525
38.780,525
38.880,525
38.980,525
39.081,525
39.181,525
39.281,525
39.381,525
39.481,525
39.582,525
39.682,525
39.782,525
39.882,525
39.982,525
40.083,525
40.183,525
40.283,525
40.383,525
40.483,525
40.584,525
40.684,525
40.784,525
40.884,525
40.984,525
41.085,525
41.185,525
41.285,525
41.385,525
41.485,525
41.586,525
41.686,525
41.786,525
41.886,525
41.987,525
42.087,525
42.187,525
42.287,525
42.387,525
42.488,525
42.588,525
42.688,525
42.788,525
42.888,525
42.989,525
43.089,525
43.189,525
43.289,525
43.389,525
43.489,525
43.590,525
43.690,525
43.790,525
43.890,525
43.991,525
44.091,525
44.191,525
44.291,525
44.392,525
44.492,525
44.592,525
44.692,525
44.792,525
44.893,525
44.993,525
45.093,525
45.193,525
45.293,525
45.394,525
45.494,525
45.594,525
45.694,525
45.795,525
45.895,525
45.995,525
46.095,525
46.195,525
46.296,525
46.396,525
46.496,525
46.596,525
46.696,525
46.797,525
46.897,525
46.997,525
47.097,525
47.198,525
47.298,525
47.398,525
47.498,525
47.598,525
47.699,525
47.799,525
47.899,525
47.999,525
48.100,525
48.200,525
48.300,525
48.400,525
48.500,525
48.601,525
48.701,525
48.801,525
48.901,525
49.001,525
49.102,525
49.202,525
49.302,525
49.402,525
49.503,525
49.603,525
49.703,525
49.803,525
49.904,525
50.004,525
50.104,525
50.204,525
50.304,525
50.405,525
50.505,525
50.605,525
50.705,525
50.805,525
50.906,525
51.006,525
51.106,525
51.206,525
51.307,525
51.407,525
51.507,525
51.607,525
51.707,525
51.808,525
51.908,525
52.008,525
52.108,525
52.208,525
52.309,525
52.409,525
52.509,525
52.609,525
52.710,525
52.810,525
52.910,525
53.010,525
53.110,525
53.211,525
53.311,525
53.411,525
53.511,525
53.611,525
53.712,525
53.812,525
53.912,525
54.012,525
54.113,525
54.213,525
54.313,525
54.413,525
54.514,525
54.614,525
54.714,525
54.814,525
54.914,525
55.015,525
55.115,525
55.215,525
55.315,525
55.416,525
55.516,525
55.616,525
55.716,525
55.816,525
55.917,525
56.017,525
56.117,525
56.217,525
56.317,525
56.418,525
56.518,525
56.618,525
56.718,525
56.819,525
56.919,525
57.019,525
57.119,525
57.219,525
57.320,525
57.420,525
57.520,525
57.620,525
57.720,525
57.821,525
57.921,525
58.021,525
58.121,525
58.222,525
58.322,525
58.422,525
58.522,525
58.623,525
58.723,525
58.823,525
58.923,525
59.023,525
59.124,525
59.224,525
59.324,525
59.424,525
59.524,525
59.625,525
59.725,525
59.825,525
59.925,525
60.025,525
60.126,525
