TO_CLIENT
1462169600
time,tx_packets
0.001,10
0.101,10
0.202,10
0.302,10
0.402,10
0.502,10
0.602,10
0.702,10
0.803,11
0.903,11
1.003,12
1.103,18
1.204,23
1.304,28
1.404,33
1.504,38
1.604,43
1.704,48
1.804,53
1.905,58
2.005,63
2.105,68
2.205,73
2.305,78
2.406,83
2.506,88
2.606,93
2.706,98
2.806,103
2.906,108
3.007,113
3.107,118
3.207,123
3.307,128
3.407,133
3.507,138
3.607,143
3.708,148
3.808,153
3.908,158
4.008,164
4.108,169
4.209,173
4.309,179
4.409,184
4.509,189
4.610,191
4.710,198
4.810,204
4.911,209
5.011,214
5.111,219
5.211,224
5.311,229
5.412,234
5.512,239
5.612,244
5.712,249
5.813,254
5.913,259
6.012,264
6.113,270
6.214,275
6.313,280
6.414,285
6.514,290
6.615,295
6.715,300
6.815,305
6.915,310
7.016,315
7.115,320
7.216,325
7.316,330
7.417,335
7.517,340
7.617,345
7.717,350
7.817,355
7.917,360
8.018,365
8.118,370
8.218,375
8.319,380
8.418,385
8.518,390
8.618,395
8.718,400
8.818,405
8.920,410
9.018,415
9.119,420
9.219,425
9.319,430
9.419,435
9.519,440
9.620,445
9.720,450
9.820,455
9.920,460
10.020,465
10.120,470
10.221,475
10.321,480
10.421,485
10.521,490
10.621,495
10.722,500
10.822,505
10.922,510
11.022,515
11.122,516
11.222,516
11.323,516
11.423,516
11.523,516
11.623,516
11.723,516
11.824,516
11.924,516
12.024,516
12.124,516
12.224,516
12.325,516
12.425,516
12.525,516
12.625,516
12.726,516
12.826,516
12.926,516
13.026,516
13.126,516
13.227,516
13.327,516
13.427,516
13.527,516
13.627,516
13.728,516
13.828,516
13.928,516
14.028,516
14.128,516
14.229,516
14.329,516
14.429,516
14.529,516
14.629,516
14.730,516
14.830,516
14.930,516
15.030,516
15.131,516
15.231,516
15.331,516
15.431,516
15.531,516
15.632,516
15.732,516
15.832,516
15.932,516
16.032,516
16.133,516
16.233,516
16.333,516
16.433,516
16.533,516
16.634,516
16.734,516
16.834,516
16.934,516
17.034,516
17.135,516
17.235,516
17.335,516
17.435,516
17.536,516
17.636,516
17.736,516
17.836,516
17.936,516
18.037,516
18.137,516
18.237,516
18.337,516
18.437,516
18.538,516
18.638,516
18.738,516
18.838,516
18.939,516
19.039,516
19.139,516
19.239,516
19.340,516
19.440,516
19.540,516
19.640,516
19.740,516
19.841,516
19.941,516
20.041,516
20.141,516
20.241,516
21.342,516
21.442,516
21.542,516
21.642,516
21.742,516
21.843,516
21.943,516
22.043,516
22.143,516
22.244,516
22.344,516
22.444,516
22.544,516
22.644,516
22.745,516
22.845,516
22.945,516
23.045,516
23.146,516
23.246,516
23.346,516
23.446,516
23.546,516
23.647,516
23.747,516
23.847,516
23.947,516
24.048,516
24.148,516
24.248,516
24.348,516
24.448,516
24.549,516
24.649,516
24.749,516
24.849,516
24.950,516
25.050,516
25.150,516
25.250,516
25.350,516
25.451,516
25.551,516
25.651,516
25.751,516
25.852,516
25.952,516
26.052,516
26.152,516
26.252,516
26.353,516
26.453,516
26.553,516
26.653,516
26.753,516
26.854,516
26.954,516
27.054,516
27.154,516
27.254,516
27.355,516
27.455,516
27.555,516
27.655,516
27.756,516
27.856,516
27.956,516
28.056,516
28.156,516
28.257,516
28.357,516
28.457,516
28.557,516
28.657,516
28.758,516
28.858,516
28.958,516
29.058,516
29.158,516
29.259,516
29.359,516
29.459,516
29.559,516
29.659,516
29.760,516
29.860,516
29.960,516
30.060,516
30.160,516
30.261,516
30.361,516
30.461,516
30.561,516
30.662,516
30.762,516
30.862,516
30.962,516
31.062,516
31.163,516
31.263,516
31.363,516
31.463,516
31.564,516
31.664,516
31.764,516
31.864,516
31.964,516
32.065,516
32.165,516
32.265,516
32.365,516
32.465,516
32.566,516
32.666,516
32.766,516
32.866,516
32.966,516
33.067,516
33.167,516
33.267,516
33.367,516
33.467,516
33.568,516
33.668,516
33.768,516
33.868,516
33.969,516
34.069,516
34.169,516
34.269,516
34.369,516
34.470,516
34.570,516
34.670,516
34.770,516
34.870,516
34.971,516
35.071,516
35.171,516
35.271,516
35.372,516
35.472,516
35.572,516
35.672,516
35.772,516
35.873,516
35.973,516
36.073,516
36.173,516
36.273,516
36.374,516
36.474,516
36.574,516
36.674,516
36.774,516
36.875,516
36.975,516
37.075,516
37.175,516
37.275,516
37.376,516
37.476,516
37.576,516
37.676,516
37.777,516
37.877,516
37.977,516
38.077,516
38.177,516
38.278,516
38.378,516
38.478,516
38.578,516
38.678,516
38.779,516
38.879,516
38.979,516
39.079,516
39.179,516
39.280,516
39.380,516
39.480,516
39.580,516
39.680,516
39.781,516
39.881,516
39.981,516
40.081,516
40.181,516
40.282,516
40.382,516
40.482,516
40.582,516
40.683,516
40.783,516
40.883,516
40.983,516
41.083,516
41.184,516
41.284,516
41.384,516
41.484,516
41.585,516
41.685,516
41.785,516
41.885,516
41.985,516
42.086,516
42.186,516
42.286,516
42.386,516
42.486,516
42.587,516
42.687,516
42.787,516
42.887,516
42.987,516
43.088,516
43.188,516
43.288,516
43.388,516
43.488,516
43.589,516
43.689,516
43.789,516
43.889,516
43.990,516
44.090,516
44.190,516
44.290,516
44.390,516
44.491,516
44.591,516
44.691,516
44.791,516
44.891,516
44.992,516
45.092,516
45.192,516
45.292,516
45.393,516
45.493,516
45.593,516
45.693,516
45.793,516
45.893,516
45.994,516
46.094,516
46.194,516
46.294,516
46.395,516
46.495,516
46.595,516
46.695,516
46.795,516
46.896,516
46.996,516
47.096,516
47.196,516
47.296,516
47.397,516
47.497,516
47.597,516
47.697,516
47.798,516
47.898,516
47.998,516
48.098,516
48.198,516
48.299,516
48.399,516
48.499,516
48.599,516
48.699,516
48.800,516
48.900,516
49.000,516
49.100,516
49.201,516
49.301,516
49.401,516
49.501,516
49.601,516
49.701,517
49.802,517
49.902,517
50.002,517
50.102,517
50.203,517
50.303,517
50.403,517
50.503,517
50.603,517
50.704,517
50.804,517
50.904,517
51.004,517
51.104,517
51.205,517
51.305,517
51.405,517
51.505,517
51.605,517
51.706,517
51.806,517
51.906,517
52.006,517
52.106,517
52.207,517
52.307,517
52.407,517
52.507,517
52.608,517
52.708,517
52.808,517
52.908,517
53.008,517
53.108,517
53.209,517
53.309,517
53.409,517
53.509,517
53.610,517
53.710,517
53.810,517
53.910,517
54.010,517
54.111,517
54.211,517
54.311,517
54.411,517
54.511,517
54.611,517
54.712,517
54.812,517
54.912,517
55.012,517
55.113,517
55.213,517
55.313,517
55.413,517
55.513,517
55.614,517
55.714,517
55.814,517
55.914,517
56.014,517
56.115,517
56.215,517
56.315,517
56.415,517
56.516,517
56.616,517
56.716,517
56.816,517
56.916,517
57.016,517
57.117,517
57.217,517
57.317,517
57.417,517
57.518,517
57.618,517
57.718,517
57.818,517
57.918,517
58.019,517
58.119,517
58.219,517
58.319,517
58.419,517
58.520,517
58.620,517
58.720,517
58.820,517
58.920,517
59.021,517
59.121,517
59.221,517
59.321,517
59.421,517
59.522,517
59.622,517
59.722,517
59.822,517
59.923,517
60.023,517
60.123,517
60.224,517
60.324,517
60.424,517
60.524,517
60.624,517
60.725,517
60.825,517
60.925,517
61.025,517
61.125,517
61.226,517
61.326,517
61.426,517
61.526,517
61.626,517
61.727,517
61.827,517
61.927,517
62.027,517
62.128,517
62.228,517
62.328,517
62.428,517
62.528,517
62.629,517
62.729,517
62.829,517
62.929,517
63.029,517
63.130,517
63.230,517
63.330,517
63.430,517
63.531,517
63.631,517
63.731,517
63.831,517
63.931,517
64.032,517
64.132,517
64.232,517
64.332,517
64.432,517
64.533,517
64.633,517
64.733,517
64.833,517
64.933,517
65.034,517
65.134,517
65.234,517
65.334,517
65.434,517
65.535,517
65.635,517
65.735,517
65.835,517
65.936,517
66.036,517
66.136,517
66.236,517
66.336,517
66.437,517
66.537,517
66.637,517
66.737,517
66.838,517
66.938,517
67.038,517
67.138,517
67.238,517
67.339,517
67.439,517
67.539,517
67.639,517
67.739,517
67.840,517
67.940,517
68.040,517
68.140,517
68.240,517
68.341,517
68.441,517
68.541,517
68.641,517
68.742,517
68.842,517
68.942,517
69.042,517
69.142,517
69.243,517
69.343,517
69.443,517
69.543,517
69.643,517
69.744,517
69.844,517
69.944,517
70.044,517
70.144,517
70.245,517
70.345,517
70.445,517
70.545,517
70.646,517
70.746,517
70.846,517
70.946,517
71.046,517
71.147,517
71.247,517
71.347,517
71.447,517
71.547,517
71.648,517
71.748,517
71.848,517
71.948,517
72.049,517
72.149,517
72.249,517
72.349,517
72.449,517
72.550,517
72.650,517
72.750,517
72.850,517
72.950,517
73.051,517
73.151,517
73.251,517
73.352,517
73.452,517
73.552,517
73.652,517
73.752,517
73.853,517
73.953,517
74.053,517
74.153,517
74.254,517
74.354,517
74.454,517
74.554,517
74.654,517
74.755,517
74.855,517
74.955,517
75.055,517
75.155,517
75.256,517
75.356,517
75.456,517
75.556,517
75.656,517
75.757,517
75.857,517
75.957,517
76.057,517
76.157,517
76.258,517
76.358,517
76.458,517
76.558,517
76.658,517
76.759,517
76.859,517
76.959,517
77.059,517
77.160,517
77.260,517
77.360,517
77.460,517
77.561,517
77.661,517
77.761,517
77.861,517
77.961,517
78.062,517
78.162,517
78.262,517
78.362,517
78.462,517
78.563,517
78.663,517
78.763,517
78.863,517
78.964,517
79.064,517
79.164,517
79.264,517
79.364,517
79.465,517
79.565,517
79.665,517
79.765,517
79.866,517
79.966,517
80.066,517
80.166,517
80.266,517
80.367,517
80.467,517
80.567,517
80.667,517
80.767,517
80.868,517
80.968,517
81.068,517
81.168,517
81.269,517
81.369,517
81.469,517
81.569,517
81.669,517
81.770,517
81.870,517
81.970,517
82.070,517
82.170,517
82.271,517
82.371,517
82.471,517
82.572,517
82.672,517
82.772,517
82.872,517
82.972,517
83.073,517
83.173,517
83.273,517
83.373,517
83.473,517
83.574,517
83.674,517
83.774,517
83.874,517
83.974,517
84.075,517
84.175,517
84.275,517
84.375,517
84.475,517
84.576,517
84.676,517
84.776,517
84.876,517
84.976,517
85.077,517
85.177,517
85.277,517
85.377,517
85.477,517
85.578,517
85.678,517
85.778,517
85.878,517
85.978,517
86.079,517
86.179,517
86.279,517
86.379,517
86.479,517
86.580,517
86.680,517
86.780,517
86.880,517
86.980,517
87.081,517
87.181,517
87.281,517
87.381,517
87.482,517
87.582,517
87.682,517
87.782,517
87.882,517
87.983,517
88.083,517
88.183,517
88.283,517
88.383,517
88.484,517
88.584,517
88.684,517
88.784,517
88.884,517
88.985,517
89.085,517
89.185,517
89.285,517
89.385,517
89.486,517
89.586,517
89.686,517
89.786,517
89.886,517
89.987,517
90.087,517
90.187,517
90.287,517
90.387,517
90.488,517
90.588,517
90.688,517
90.788,517
90.889,517
90.989,517
91.089,517
91.189,517
91.289,517
91.390,517
91.490,517
91.590,517
91.690,517
91.790,517
91.891,517
91.991,517
92.091,517
92.191,517
92.291,517
92.392,517
92.492,517
92.592,517
92.692,517
92.792,517
92.893,517
92.993,517
93.093,517
93.193,517
93.293,517
93.393,517
93.494,517
93.594,517
93.694,517
93.794,517
93.894,517
93.995,517
94.095,517
94.195,517
94.295,517
94.395,517
94.496,517
94.596,517
94.696,517
94.796,517
94.897,517
94.997,517
95.097,517
95.197,517
95.297,517
95.398,517
95.498,517
95.598,517
95.698,517
95.798,517
95.899,517
95.999,517
96.099,517
96.200,517
96.299,517
96.400,517
96.500,517
96.600,517
96.700,517
96.800,517
96.901,517
97.001,517
97.101,517
97.202,517
97.301,517
97.401,517
97.502,517
97.602,517
97.702,517
97.802,517
97.902,517
98.002,517
98.102,517
98.203,517
98.303,517
98.403,517
98.503,517
98.603,517
98.704,518
98.804,518
98.904,518
99.004,518
99.104,518
99.205,518
99.305,518
99.405,518
99.505,518
99.605,518
99.705,518
99.806,518
99.906,518
100.006,518
100.106,518
100.206,518
100.307,518
100.407,518
100.507,518
100.607,518
100.707,518
100.808,518
100.908,518
101.008,518
101.108,518
101.208,518
101.309,518
101.409,518
101.509,518
101.609,518
101.709,518
101.810,518
101.910,518
102.010,518
102.110,518
102.210,518
102.311,518
102.411,518
102.511,518
102.611,518
102.711,518
102.812,518
102.912,518
103.012,518
103.112,518
103.213,518
103.313,518
103.413,518
103.513,518
103.613,518
103.714,518
103.814,518
103.914,518
104.014,518
104.114,518
104.215,518
104.315,518
104.415,518
104.515,518
104.615,521
104.716,525
104.816,528
104.916,531
105.016,535
105.116,538
105.217,541
105.317,545
105.417,546
105.517,547
105.617,556
105.718,566
105.818,574
105.918,583
106.018,592
106.118,601
106.219,610
106.319,619
106.419,624
106.519,629
106.619,634
106.720,639
106.820,644
106.920,649
107.020,654
107.120,659
107.221,664
107.321,669
107.421,674
107.521,679
107.621,684
107.722,689
107.822,694
107.922,699
108.022,704
108.122,709
108.222,714
108.323,719
108.423,724
108.523,729
108.623,734
108.723,739
108.824,744
108.924,749
109.024,754
109.124,759
109.224,764
109.325,769
109.425,774
109.525,779
109.625,785
109.725,790
109.826,795
109.926,800
110.026,805
110.126,810
110.227,815
110.327,820
110.427,825
110.527,830
110.627,835
110.727,840
110.828,845
110.928,850
111.028,855
111.128,860
111.228,865
111.329,870
111.429,875
111.529,880
111.629,885
111.729,890
111.830,895
111.930,900
112.030,905
112.130,910
112.230,915
112.331,920
112.431,925
112.531,930
112.631,935
112.732,940
112.832,945
112.932,950
113.032,955
113.132,960
113.233,965
113.333,971
113.433,976
113.533,977
113.633,986
113.733,991
113.834,994
113.934,1001
114.034,1006
114.134,1011
114.234,1016
114.335,1021
114.435,1025
114.535,1031
114.635,1036
114.735,1041
114.836,1046
114.936,1051
115.036,1056
115.136,1061
115.236,1066
115.337,1071
115.437,1076
115.537,1081
115.637,1086
115.737,1091
115.838,1096
115.938,1101
116.038,1106
116.138,1111
116.238,1116
116.339,1121
116.439,1126
116.539,1131
116.639,1136
116.739,1141
116.840,1146
116.940,1151
117.040,1156
117.140,1161
117.240,1166
117.340,1171
117.441,1176
117.541,1181
117.641,1186
117.741,1191
117.841,1196
117.942,1201
118.042,1206
118.142,1211
118.242,1216
118.342,1221
118.442,1226
118.543,1231
118.643,1236
118.743,1241
118.843,1246
118.943,1251
119.043,1256
119.144,1261
119.244,1266
119.344,1271
119.444,1276
119.545,1281
119.645,1284
119.745,1290
119.845,1296
119.945,1301
120.046,1306
120.146,1311
120.246,1316
120.346,1321
120.446,1326
120.547,1331
120.647,1336
120.747,1341
120.847,1346
120.947,1351
121.047,1356
121.148,1361
121.248,1366
121.348,1371
121.448,1376
121.548,1381
121.648,1386
121.749,1391
121.849,1396
121.949,1401
122.049,1406
122.149,1411
122.250,1416
122.350,1421
122.450,1426
122.550,1430
122.650,1436
122.751,1438
122.851,1446
122.951,1451
123.051,1456
123.152,1461
123.252,1466
123.352,1471
123.452,1476
123.552,1481
123.653,1487
123.753,1492
123.853,1497
123.953,1502
124.053,1507
124.154,1512
124.254,1517
124.354,1522
124.454,1527
124.555,1532
124.655,1537
124.755,1542
124.855,1547
124.955,1552
125.055,1557
125.156,1562
125.256,1567
125.356,1572
125.456,1577
125.556,1582
125.657,1587
125.757,1592
125.857,1597
125.957,1602
126.057,1607
126.158,1612
126.258,1617
126.358,1622
126.458,1627
126.558,1632
126.659,1637
126.759,1642
126.859,1647
126.959,1652
127.060,1657
127.160,1662
127.260,1667
127.360,1672
127.460,1677
127.561,1682
127.661,1687
127.761,1692
127.861,1697
127.962,1702
128.062,1707
128.162,1712
128.262,1717
128.362,1722
128.462,1727
128.562,1732
128.663,1737
128.763,1742
128.863,1747
128.963,1752
129.064,1757
129.164,1762
129.264,1767
129.364,1772
129.464,1775
129.565,1782
129.665,1787
129.765,1792
129.865,1797
129.965,1802
130.066,1807
130.166,1812
130.266,1817
130.366,1822
130.466,1827
130.567,1832
130.667,1837
130.767,1842
130.867,1847
130.967,1852
131.068,1857
131.168,1862
131.268,1867
131.368,1872
131.468,1877
131.568,1882
131.669,1887
131.769,1892
131.869,1897
131.969,1902
132.070,1908
132.170,1913
132.270,1918
132.370,1923
132.470,1928
132.571,1933
