TO_KISTI
1462169600
time,tx_packets
0.001,10
0.101,10
0.201,10
0.301,10
0.402,10
0.502,10
0.602,12
0.702,17
0.802,22
0.903,27
1.003,32
1.103,37
1.203,42
1.303,47
1.404,53
1.504,58
1.604,63
1.704,68
1.804,73
1.904,78
2.005,83
2.105,88
2.205,93
2.305,98
2.406,103
2.506,108
2.606,113
2.706,118
2.806,123
2.907,128
3.007,133
3.107,138
3.207,143
3.308,148
3.408,153
3.508,158
3.608,163
3.708,168
3.809,173
3.909,178
4.009,183
4.109,188
4.209,191
4.310,198
4.410,203
4.510,208
4.610,213
4.710,218
4.811,223
4.911,228
5.011,233
5.111,238
5.211,243
5.311,248
5.411,253
5.511,258
5.612,263
5.712,269
5.812,274
5.912,279
6.012,284
6.113,289
6.213,294
6.313,299
6.413,304
6.513,309
6.614,314
6.714,319
6.814,324
6.914,329
7.014,334
7.115,339
7.215,344
7.315,349
7.415,354
7.515,359
7.616,364
7.716,369
7.816,374
7.916,379
8.017,384
8.117,389
8.217,394
8.317,399
8.417,404
8.518,409
8.618,414
8.718,419
8.818,424
8.919,429
9.019,434
9.119,439
9.219,444
9.319,449
9.420,454
9.520,459
9.620,464
9.720,469
9.820,474
9.921,479
10.021,484
10.121,489
10.221,494
10.322,499
10.422,504
10.522,509
10.622,514
10.722,519
10.823,524
10.923,527
11.023,527
11.123,527
11.224,527
11.324,527
11.424,527
11.524,527
11.624,527
11.725,527
11.825,527
11.925,527
12.025,527
12.126,527
12.226,527
12.326,527
12.426,527
12.527,527
12.627,527
12.727,527
12.827,527
12.927,527
13.028,527
13.128,527
13.228,527
13.328,527
13.428,527
13.529,527
13.629,527
13.729,527
13.829,527
13.930,527
14.030,527
14.130,527
14.230,527
14.330,527
14.431,527
14.531,527
14.631,527
14.731,527
14.831,527
14.932,527
15.032,527
15.132,527
15.232,527
15.333,527
15.433,527
15.533,527
15.633,527
15.734,527
15.834,527
15.934,527
16.034,527
16.134,527
16.235,527
16.335,527
16.435,527
16.535,527
16.635,527
16.736,527
16.836,527
16.936,527
17.036,527
17.137,527
17.237,527
17.337,527
17.437,527
17.537,527
17.638,527
17.738,527
17.838,527
17.938,527
18.038,527
18.139,527
18.239,527
19.339,527
19.439,527
19.540,527
19.640,527
19.740,527
19.840,527
19.940,527
20.041,527
20.141,527
20.241,527
20.341,527
20.441,527
20.542,527
20.642,527
20.742,527
20.842,527
20.943,527
21.043,527
21.143,527
21.243,527
21.343,527
21.444,527
21.544,527
21.644,527
21.744,527
21.844,527
21.945,527
22.045,527
22.145,527
22.245,527
22.346,527
22.446,527
22.546,527
22.646,527
22.746,527
22.847,527
22.947,527
23.047,527
23.147,527
23.248,527
23.348,527
23.448,527
23.548,527
23.648,527
23.749,527
23.849,527
23.949,527
24.049,527
24.149,527
24.250,527
24.350,527
24.450,527
24.550,527
24.650,527
24.751,527
24.851,527
24.951,527
25.051,527
25.152,527
25.252,527
25.352,527
25.452,527
25.552,527
25.653,527
25.753,527
25.853,527
25.953,527
26.053,527
26.154,527
26.254,527
26.354,527
26.454,527
26.554,527
26.655,527
26.755,527
26.855,527
26.955,527
27.056,527
27.156,527
27.256,527
27.356,527
27.456,527
27.557,527
27.657,527
27.757,527
27.857,527
27.957,527
28.058,527
28.158,527
28.258,527
28.358,527
28.459,527
28.559,527
28.659,527
28.759,527
28.859,527
28.960,527
29.060,527
29.160,527
29.260,527
29.361,527
29.461,527
29.561,527
29.661,527
29.761,527
29.862,527
29.962,527
30.062,527
30.162,527
30.262,527
30.363,527
30.463,527
30.563,527
30.663,527
30.763,527
30.864,527
30.964,527
31.064,527
31.164,527
31.265,527
31.365,527
31.465,527
31.565,527
31.665,527
31.766,527
31.866,527
31.966,527
32.066,527
32.166,527
32.267,527
32.367,527
32.467,527
32.567,527
32.668,527
32.768,527
32.868,527
32.968,527
33.068,527
33.169,527
33.269,527
33.369,527
33.469,527
33.569,527
33.670,527
33.770,527
33.870,527
33.970,527
34.071,527
34.171,527
34.271,527
34.371,527
34.471,527
34.571,527
34.672,527
34.772,527
34.872,527
34.972,527
35.072,527
35.173,527
35.273,527
35.373,527
35.473,527
35.573,527
35.674,527
35.774,527
35.874,527
35.974,527
36.074,527
36.175,527
36.275,527
36.375,527
36.475,527
36.575,527
36.676,527
36.776,527
36.876,527
36.976,527
37.076,527
37.177,527
37.277,527
37.377,527
37.477,527
37.577,527
37.678,527
37.778,527
37.878,527
37.978,527
38.079,527
38.179,527
38.279,527
38.379,527
38.479,527
38.579,527
38.680,527
38.780,527
38.880,527
38.980,527
39.081,527
39.181,527
39.281,527
39.381,527
39.481,527
39.582,527
39.682,527
39.782,527
39.882,527
39.982,527
40.083,527
40.183,527
40.283,527
40.383,527
40.483,527
40.584,527
40.684,527
40.784,527
40.884,527
40.984,527
41.085,527
41.185,527
41.285,527
41.385,527
41.485,527
41.586,527
41.686,527
41.786,527
41.886,527
41.986,527
42.087,527
42.187,527
42.287,527
42.387,527
42.488,527
42.588,527
42.688,527
42.788,527
42.888,527
42.989,527
43.089,527
43.189,527
43.289,527
43.389,527
43.490,527
43.590,527
43.690,527
43.790,527
43.890,527
43.991,527
44.091,527
44.191,527
44.291,527
44.391,527
44.492,527
44.592,527
44.692,527
44.792,527
44.893,527
44.993,527
45.093,527
45.193,527
45.293,527
45.394,527
45.494,527
45.594,527
45.694,527
45.794,527
45.895,527
45.995,527
46.095,527
46.195,527
46.296,527
46.396,527
46.496,527
46.596,527
46.696,527
46.797,527
46.897,527
46.997,527
47.097,527
47.197,527
47.298,527
47.398,527
47.498,527
47.598,527
47.698,527
47.799,527
47.899,527
47.999,527
48.099,527
48.200,527
48.300,527
48.400,527
48.500,527
48.600,527
48.701,527
48.801,527
48.901,527
49.001,527
49.102,527
49.202,527
49.302,527
49.402,527
49.503,527
49.603,527
49.703,527
49.803,527
49.903,527
50.004,527
50.104,527
50.204,527
50.304,527
50.405,527
50.505,527
50.605,527
50.705,527
50.805,527
50.906,527
51.006,527
51.106,527
51.206,527
51.306,527
51.407,527
51.507,527
51.607,527
51.707,527
51.808,527
51.908,527
52.008,527
52.108,527
52.208,527
52.309,527
52.409,527
52.509,527
52.609,527
52.709,527
52.810,527
52.910,527
53.010,527
53.110,527
53.211,527
53.311,527
53.411,527
53.511,527
53.611,527
53.712,527
53.812,527
53.912,527
54.012,527
54.113,527
54.213,527
54.313,527
54.413,527
54.514,527
54.614,527
54.714,527
54.814,527
54.914,527
55.015,527
55.115,527
55.215,527
55.315,527
55.415,527
55.516,527
55.616,527
55.716,527
55.816,527
55.917,527
56.017,527
56.117,527
56.217,527
56.317,527
56.418,527
56.518,527
56.618,527
56.718,527
56.818,527
56.919,527
57.019,527
57.119,527
57.219,527
57.320,527
57.420,527
57.520,527
57.620,527
57.720,527
57.821,527
57.921,527
58.021,527
58.121,527
58.221,527
58.322,527
58.422,527
58.522,527
58.622,527
58.722,527
58.823,527
58.923,527
59.023,527
59.123,527
59.224,527
59.324,527
59.424,527
59.524,527
59.624,527
59.725,527
59.825,527
59.925,527
60.025,527
60.126,527
60.226,527
60.326,527
60.426,527
60.527,527
60.627,527
60.727,527
60.827,527
60.927,527
61.028,527
61.128,527
61.228,527
61.328,527
61.429,527
61.529,527
61.629,527
61.729,527
61.829,527
61.930,527
62.030,527
62.130,527
62.230,527
62.330,527
62.431,527
62.531,527
62.631,527
62.731,527
62.832,527
62.932,527
63.032,527
63.132,527
63.232,527
63.333,527
63.433,527
63.533,527
63.633,527
63.733,527
63.834,527
63.934,527
64.034,527
64.134,527
64.234,527
64.335,527
64.435,527
64.535,527
64.635,527
64.736,527
64.836,527
64.936,527
65.036,527
65.136,527
65.237,527
65.337,527
65.437,527
65.537,527
65.638,527
65.738,527
65.838,527
65.938,527
66.038,527
66.139,527
66.239,527
67.339,527
67.439,527
67.539,527
67.640,527
67.740,527
67.840,527
67.940,527
68.041,527
68.141,527
68.241,527
68.341,527
68.441,527
68.542,527
68.642,527
68.742,527
68.842,527
68.942,527
69.043,527
69.143,527
69.243,527
69.343,527
69.444,527
69.544,527
69.644,527
69.744,527
69.844,527
69.945,527
70.045,527
70.145,527
70.245,527
70.345,527
70.446,527
70.546,527
70.646,527
70.746,527
70.847,527
70.947,527
71.047,527
71.147,527
71.247,527
71.348,527
71.448,527
71.548,527
71.648,527
71.749,527
71.849,527
71.949,527
72.049,527
72.149,527
72.250,527
72.350,527
72.450,527
72.550,527
72.650,527
72.751,527
72.851,527
72.951,527
73.051,527
73.152,527
73.252,527
73.352,527
73.452,527
73.552,527
73.653,527
73.753,527
73.853,527
73.953,527
74.053,527
74.154,527
74.254,527
74.354,527
74.454,527
74.555,527
74.655,527
74.755,527
74.855,527
74.955,527
75.056,527
75.156,527
75.256,527
75.356,527
75.456,527
75.557,527
75.657,527
75.757,527
75.857,527
75.958,527
76.058,527
76.158,527
76.258,527
76.359,527
76.459,527
76.559,527
76.659,527
76.759,527
76.860,527
76.960,527
77.060,527
77.160,527
77.260,527
77.361,527
77.461,527
77.561,527
77.661,527
77.762,527
77.862,527
77.962,527
78.062,527
78.162,527
78.263,527
78.363,527
78.463,527
78.563,527
78.663,527
78.764,527
78.864,527
78.964,527
79.064,527
79.165,527
79.265,527
79.365,527
79.465,527
79.565,527
79.666,527
79.766,527
79.866,527
79.966,527
80.067,527
80.167,527
80.267,527
80.367,527
80.467,527
80.568,527
80.668,527
80.768,527
80.868,527
80.968,527
81.069,527
81.169,527
81.269,527
81.369,527
81.469,527
81.570,527
81.670,527
81.770,527
81.870,527
81.971,527
82.071,527
82.171,527
82.271,527
82.371,527
82.472,527
82.572,527
82.672,527
82.772,527
82.872,527
82.973,527
83.073,527
83.173,527
83.273,527
83.373,527
83.474,527
83.574,527
83.674,527
83.774,527
83.875,527
83.975,527
84.075,527
84.175,527
84.275,527
84.376,527
84.476,527
84.576,527
84.676,527
84.776,527
84.877,527
84.977,527
85.077,527
85.177,527
85.277,527
85.378,527
85.478,527
85.578,527
85.678,527
85.779,527
85.879,527
85.979,527
86.079,527
86.179,527
86.280,527
86.380,527
86.480,527
86.580,527
86.680,527
86.781,527
86.881,527
86.981,527
87.081,527
87.181,527
87.282,527
87.382,527
87.482,527
87.582,527
87.683,527
87.783,527
87.883,527
87.983,527
88.083,527
88.184,527
88.284,527
88.384,527
88.484,527
88.584,527
88.685,527
88.785,527
88.885,527
88.985,527
89.086,527
89.186,527
89.286,527
89.386,527
89.487,527
89.587,527
89.687,527
89.787,527
89.887,527
89.988,527
90.088,527
90.188,527
90.288,527
90.388,527
90.489,527
90.589,527
90.689,527
90.789,527
90.889,527
90.990,527
91.090,527
91.190,527
91.290,527
91.390,527
91.491,527
91.591,527
91.691,527
91.791,527
91.891,527
91.992,527
92.092,527
92.192,527
92.292,527
92.392,527
92.493,527
92.593,527
92.693,527
92.793,527
92.893,527
92.994,527
93.094,527
93.194,527
93.294,527
93.394,527
93.495,527
93.595,527
93.695,527
93.795,527
93.895,527
93.996,527
94.096,527
94.196,527
94.296,527
94.396,527
94.497,527
94.597,527
94.697,527
94.797,527
94.897,527
94.998,527
95.098,527
95.198,527
95.298,527
95.398,527
95.499,527
95.599,527
95.699,527
95.799,527
95.899,527
96.000,527
96.100,527
96.200,527
96.300,527
96.400,527
96.501,527
96.601,527
96.701,527
96.801,527
96.901,527
97.002,527
97.102,527
97.202,527
97.302,527
97.402,527
97.503,527
97.603,527
97.703,527
97.803,527
97.903,527
98.004,527
98.104,527
98.204,527
98.304,527
98.404,527
98.505,527
98.605,527
98.705,527
98.805,527
98.906,527
99.006,527
99.106,527
99.206,527
99.306,527
99.406,527
99.507,527
99.607,527
99.707,527
99.807,527
99.907,527
100.008,527
100.108,527
100.208,527
100.308,527
100.408,527
100.509,527
100.609,527
100.709,527
100.809,527
100.909,527
101.010,527
101.110,527
101.210,527
101.310,527
101.410,527
101.510,527
101.611,527
101.711,527
101.811,527
101.911,527
102.011,527
102.111,527
102.211,527
102.312,527
102.412,527
102.512,527
102.612,527
102.712,527
102.813,527
102.913,527
103.013,527
103.113,527
103.213,527
103.314,527
103.414,527
103.514,527
103.614,527
103.714,527
103.814,527
103.914,527
104.015,527
104.115,530
104.215,534
104.315,537
104.415,539
104.515,542
104.615,545
104.715,549
104.816,552
104.916,555
105.016,559
105.116,587
105.216,587
105.317,598
105.417,603
105.517,608
105.617,613
105.717,618
105.818,623
105.918,628
106.018,633
106.118,638
106.218,643
106.319,648
106.419,653
106.519,658
106.619,663
106.719,668
106.820,673
106.920,678
107.020,683
107.120,688
107.220,693
107.321,698
107.421,703
107.521,708
107.621,713
107.721,718
107.822,723
107.922,728
108.022,733
108.122,738
108.222,743
108.323,748
108.423,753
108.523,758
108.623,763
108.723,768
108.824,773
108.924,778
109.024,783
109.124,789
109.224,794
109.325,799
109.425,804
109.525,809
109.625,814
109.725,819
109.826,824
109.926,829
110.026,835
110.126,840
110.226,845
110.327,850
110.427,855
110.527,860
110.627,865
110.727,870
110.828,875
110.928,880
111.028,885
111.128,890
111.229,895
111.329,900
111.429,905
111.529,910
111.629,915
111.730,920
111.830,925
111.930,930
112.030,935
112.130,940
112.230,945
112.331,950
112.431,955
112.531,960
112.631,965
112.731,970
112.832,975
112.932,980
113.032,985
113.132,990
113.232,995
113.333,1000
113.433,1005
113.533,1010
113.633,1015
113.733,1020
113.834,1025
113.934,1030
114.034,1035
114.134,1041
114.234,1046
114.335,1051
114.435,1056
114.535,1061
114.635,1066
114.735,1071
114.836,1076
114.936,1081
115.036,1086
115.136,1091
115.236,1096
115.337,1101
115.437,1106
115.537,1111
115.637,1116
115.737,1121
115.838,1126
115.938,1131
116.038,1136
116.138,1141
116.238,1146
116.338,1151
116.439,1156
116.539,1161
116.639,1166
116.739,1171
116.839,1176
116.940,1181
117.040,1186
117.140,1191
117.240,1196
117.340,1201
117.441,1206
117.541,1211
117.641,1216
117.741,1221
117.842,1226
117.942,1231
118.042,1236
118.142,1241
118.242,1246
118.343,1251
118.443,1256
118.543,1261
118.643,1266
118.743,1271
118.844,1276
118.944,1281
119.044,1286
119.144,1291
119.244,1294
119.345,1301
119.445,1306
119.545,1311
119.645,1316
119.745,1321
119.846,1326
119.946,1331
120.046,1336
120.146,1342
120.246,1347
120.346,1352
120.447,1357
120.547,1362
120.647,1367
120.747,1372
120.847,1377
120.948,1382
121.048,1387
121.148,1392
121.248,1397
121.348,1402
121.449,1407
121.549,1412
121.649,1417
121.749,1422
121.849,1427
121.950,1432
122.050,1437
122.150,1442
122.250,1447
122.350,1449
122.451,1457
122.551,1462
122.651,1467
122.751,1472
122.851,1477
122.952,1482
123.052,1487
123.152,1492
123.252,1497
123.352,1502
123.453,1507
123.553,1512
123.653,1517
123.753,1522
123.853,1527
123.954,1532
124.054,1537
124.154,1542
124.254,1547
124.354,1552
124.454,1557
124.555,1562
124.655,1567
124.755,1572
124.855,1577
124.956,1582
125.056,1587
125.156,1592
125.256,1597
125.356,1602
125.457,1607
125.557,1612
125.657,1617
125.757,1622
125.857,1627
125.958,1632
126.058,1637
126.158,1642
126.258,1647
126.358,1652
126.458,1657
126.559,1662
126.659,1667
126.759,1672
126.859,1677
126.959,1682
127.060,1687
127.160,1692
127.260,1697
127.360,1702
127.460,1707
127.561,1712
127.661,1717
127.761,1722
127.861,1727
127.961,1732
128.062,1737
128.162,1742
128.262,1747
128.362,1752
128.462,1757
128.562,1762
128.663,1767
128.763,1772
128.863,1777
128.963,1782
129.063,1787
129.164,1792
129.264,1797
129.364,1802
129.464,1807
129.564,1812
129.665,1817
129.765,1822
129.865,1827
129.965,1832
130.065,1837
130.166,1842
130.266,1847
130.366,1852
130.466,1858
130.566,1863
130.666,1868
130.767,1873
130.867,1878
130.967,1883
131.067,1888
131.167,1893
131.267,1898
131.367,1903
131.467,1908
131.567,1913
131.668,1918
131.768,1923
131.868,1928
131.968,1933
132.068,1938
132.168,1943
132.268,1948
132.369,1953
132.469,1958
132.569,1963
132.669,1968
132.769,1973
132.869,1978
132.969,1983
133.071,1988
133.170,1993
133.270,1998
