TO_UA
1462169600
time,tx_packets
0.001,1687
0.101,1687
0.202,1687
0.302,1687
0.402,1687
0.502,1687
0.602,1687
0.703,1687
0.803,1691
0.903,1696
1.003,1701
1.103,1706
1.204,1712
1.304,1717
1.404,1722
1.504,1727
1.604,1732
1.704,1737
1.804,1744
1.905,1749
2.005,1754
2.105,1759
2.205,1764
2.305,1769
2.406,1774
2.506,1779
2.606,1784
2.706,1789
2.806,1795
2.907,1800
3.007,1806
3.107,1811
3.207,1816
3.307,1822
3.407,1827
3.507,1832
3.607,1837
3.708,1842
3.808,1847
3.908,1852
4.008,1858
4.108,1863
4.209,1868
4.309,1873
4.409,1874
4.509,1883
4.609,1888
4.710,1893
4.810,1898
4.911,1903
5.010,1908
5.111,1913
5.211,1918
5.312,1923
5.411,1928
5.512,1933
5.612,1938
5.712,1943
5.813,1948
5.912,1955
6.013,1960
6.113,1965
6.213,1970
6.313,1975
6.414,1980
6.514,1985
6.614,1990
6.715,1995
6.814,2000
6.915,2005
7.015,2010
7.115,2015
7.216,2022
7.316,2027
7.415,2033
7.516,2038
7.617,2043
7.717,2048
7.818,2053
7.918,2058
8.018,2063
8.118,2068
8.219,2074
8.318,2079
8.419,2084
8.519,2089
8.619,2094
8.719,2099
8.820,2104
8.920,2109
9.019,2114
9.120,2119
9.220,2124
9.320,2129
9.420,2134
9.521,2139
9.621,2144
9.721,2149
9.822,2154
9.922,2159
10.022,2164
10.123,2171
10.223,2176
10.323,2183
10.424,2188
10.524,2193
10.624,2198
10.725,2203
10.824,2208
10.925,2213
11.026,2218
11.125,2218
11.226,2218
11.326,2218
11.426,2219
11.526,2219
11.626,2220
11.727,2221
11.827,2221
11.927,2221
12.027,2221
12.127,2221
12.228,2221
12.328,2221
12.428,2221
12.529,2221
12.629,2222
12.729,2222
12.830,2222
12.930,2222
13.031,2222
13.131,2222
13.231,2222
13.331,2222
13.432,2222
13.532,2222
13.632,2222
13.733,2222
13.833,2222
13.933,2222
14.034,2222
14.134,2222
14.234,2224
14.335,2224
14.435,2224
14.535,2224
14.636,2224
14.736,2224
14.836,2224
14.936,2224
15.037,2224
15.138,2224
15.238,2224
15.338,2224
15.439,2224
15.538,2224
15.639,2224
15.739,2225
15.839,2225
15.940,2225
16.040,2226
16.140,2227
16.240,2227
16.341,2227
16.441,2227
16.542,2227
16.641,2227
16.742,2227
16.842,2227
16.943,2227
17.043,2228
17.143,2228
17.243,2228
17.343,2228
17.443,2228
17.543,2228
17.644,2228
17.745,2228
17.845,2228
17.945,2228
18.045,2228
18.146,2228
18.245,2228
18.346,2228
18.446,2230
18.547,2230
18.647,2230
18.747,2230
18.847,2230
18.948,2230
19.048,2230
19.148,2230
19.248,2230
19.348,2230
19.449,2230
19.549,2230
19.649,2230
19.750,2230
19.850,2230
19.950,2231
20.051,2231
20.151,2231
20.251,2232
20.352,2232
20.452,2232
20.552,2233
20.652,2233
20.752,2233
20.853,2233
20.953,2233
21.053,2233
21.154,2233
21.254,2233
21.354,2233
21.454,2234
21.555,2234
21.655,2234
21.755,2234
21.855,2234
21.957,2234
22.056,2234
22.156,2234
22.257,2234
22.357,2234
22.458,2234
22.557,2235
22.657,2237
22.757,2237
22.858,2237
22.958,2237
23.058,2237
23.159,2237
23.259,2237
23.359,2238
23.459,2238
23.560,2238
23.660,2238
23.760,2238
23.860,2238
23.960,2238
24.061,2239
24.161,2239
24.261,2239
24.362,2239
24.462,2239
24.562,2240
24.663,2240
24.762,2240
24.863,2240
24.963,2240
25.063,2241
25.164,2241
25.264,2241
25.364,2241
25.464,2241
25.564,2241
25.665,2242
25.765,2242
25.865,2242
25.965,2242
26.066,2242
26.166,2242
26.266,2242
26.366,2242
26.467,2242
26.567,2242
26.668,2242
26.768,2242
26.868,2242
26.968,2242
27.067,2243
