TO_UIUC
1462169600
time,tx_packets
0.001,1614
0.101,1614
0.201,1614
0.301,1614
0.401,1614
0.502,1614
0.602,1614
0.702,1614
0.802,1617
0.903,1622
1.003,1629
1.103,1640
1.206,1651
1.303,1661
1.403,1671
1.503,1681
1.604,1691
1.704,1701
1.804,1711
1.904,1721
2.005,1731
2.105,1741
2.210,1752
2.305,1761
2.405,1771
2.505,1782
2.606,1792
2.706,1802
2.806,1813
2.906,1823
3.006,1833
3.107,1844
3.207,1854
3.307,1863
3.407,1874
3.507,1884
3.608,1894
3.708,1904
3.808,1914
3.908,1924
4.008,1935
4.108,1945
4.209,1956
4.309,1966
4.409,1972
4.509,1986
4.610,1993
4.710,2005
4.810,2016
4.910,2026
5.010,2036
5.110,2046
5.211,2056
5.311,2066
5.411,2076
5.511,2086
5.611,2096
5.712,2106
5.812,2116
5.912,2127
6.012,2137
6.112,2147
6.213,2157
6.313,2167
6.413,2177
6.513,2187
6.613,2197
6.713,2207
6.814,2217
6.914,2227
7.014,2237
7.114,2247
7.214,2258
7.314,2268
7.415,2278
7.515,2288
7.615,2298
7.715,2308
7.815,2318
7.916,2328
8.016,2338
8.116,2348
8.216,2359
8.316,2369
8.416,2379
8.517,2389
8.617,2400
8.717,2410
8.817,2420
8.917,2430
9.018,2440
9.118,2450
9.218,2460
9.318,2470
9.418,2480
9.518,2490
9.619,2500
9.719,2510
9.819,2520
9.919,2530
10.019,2540
10.120,2551
10.220,2561
10.320,2571
10.421,2581
10.521,2591
10.621,2601
10.721,2611
10.821,2621
10.921,2631
11.021,2641
11.122,2647
11.222,2652
11.322,2654
11.422,2654
11.522,2654
11.623,2654
11.723,2654
11.823,2656
11.923,2656
12.023,2656
12.124,2656
12.224,2656
12.324,2656
12.424,2656
12.525,2656
12.625,2657
12.725,2657
12.825,2658
12.925,2658
13.026,2658
13.126,2658
13.226,2658
13.326,2658
13.426,2658
13.527,2658
13.627,2658
13.727,2658
13.827,2658
13.927,2658
14.028,2658
14.128,2658
14.228,2659
14.328,2659
14.428,2659
14.529,2659
14.629,2659
14.729,2659
14.829,2659
14.929,2659
15.030,2659
15.130,2659
15.230,2659
15.330,2659
15.430,2659
15.531,2659
15.631,2659
15.731,2659
15.831,2659
15.931,2659
16.032,2659
16.132,2660
16.232,2660
16.332,2660
16.432,2660
16.533,2660
16.633,2660
16.733,2660
16.833,2660
16.933,2660
17.034,2660
17.134,2661
17.234,2662
17.334,2662
17.434,2662
17.535,2662
17.635,2662
17.735,2662
17.835,2663
17.935,2663
18.036,2663
18.136,2663
18.236,2663
18.336,2663
18.436,2664
