TO_UM
1462169600
time,tx_packets
0.001,2328
0.101,2328
0.207,2328
0.302,2328
0.402,2329
0.502,2329
0.602,2329
0.702,2329
0.802,2329
0.902,2329
1.003,2329
1.103,2329
1.208,2329
1.303,2329
1.404,2329
1.504,2329
1.604,2330
1.704,2330
1.805,2331
1.905,2331
2.005,2331
2.106,2331
2.206,2331
2.305,2331
2.406,2331
2.506,2331
2.606,2331
2.706,2331
2.806,2332
2.907,2332
3.007,2332
3.107,2332
3.208,2332
3.308,2333
3.408,2333
3.508,2333
3.608,2333
3.708,2334
3.808,2334
3.908,2334
4.009,2335
4.109,2335
4.210,2335
4.310,2335
4.410,2335
4.511,2335
4.611,2335
4.711,2335
4.812,2336
4.912,2336
5.011,2336
5.112,2336
5.212,2336
5.312,2336
5.412,2336
5.512,2336
5.613,2336
5.713,2336
5.814,2337
5.914,2338
6.014,2338
6.115,2338
6.215,2338
6.314,2338
6.415,2338
6.516,2338
6.616,2338
6.716,2338
6.816,2338
6.917,2338
7.016,2338
7.116,2338
7.217,2339
7.317,2339
7.417,2340
7.518,2343
7.618,2343
7.719,2343
7.819,2343
7.919,2343
8.019,2343
8.120,2343
8.220,2345
8.320,2345
8.420,2345
8.520,2345
8.620,2345
8.721,2345
8.821,2345
8.921,2345
9.021,2346
9.121,2346
9.222,2346
9.322,2346
9.422,2346
9.523,2346
9.623,2346
9.723,2346
9.823,2346
9.924,2346
10.023,2346
10.124,2347
10.224,2347
10.325,2348
10.425,2348
10.525,2348
10.625,2348
10.726,2348
10.826,2348
10.927,2348
11.027,2348
11.127,2348
11.227,2348
11.327,2348
11.428,2349
11.528,2349
11.628,2350
11.729,2350
11.829,2350
11.929,2350
12.029,2350
12.129,2350
12.230,2350
12.329,2350
12.430,2350
12.531,2350
12.631,2352
12.731,2352
12.831,2352
12.932,2352
13.032,2352
13.132,2352
13.233,2352
13.333,2353
13.434,2353
13.534,2353
13.633,2353
13.734,2353
13.835,2353
13.935,2353
14.035,2353
14.136,2353
14.236,2354
14.336,2354
14.436,2354
14.537,2354
14.637,2354
14.738,2355
14.838,2355
14.938,2355
15.039,2355
15.139,2355
15.239,2355
15.340,2355
15.440,2355
15.540,2355
15.640,2355
15.741,2356
15.841,2356
15.941,2356
16.041,2356
16.142,2361
16.242,2361
16.342,2361
16.443,2361
16.543,2361
16.643,2361
16.743,2361
16.843,2361
16.944,2361
17.044,2363
17.144,2363
17.244,2363
17.345,2363
17.445,2363
17.546,2364
17.646,2364
17.746,2364
17.846,2364
17.946,2364
18.047,2364
18.147,2364
18.247,2364
18.348,2364
18.448,2365
18.548,2365
18.648,2365
18.748,2365
18.848,2365
18.949,2365
19.050,2365
19.150,2366
19.250,2366
19.350,2366
19.451,2366
19.551,2366
19.651,2366
19.751,2366
19.851,2366
19.952,2367
20.052,2367
20.152,2367
20.253,2367
20.352,2367
20.453,2367
20.553,2371
20.653,2372
20.754,2372
20.854,2372
20.954,2372
21.055,2372
21.154,2372
21.255,2372
21.355,2373
21.455,2374
21.556,2375
21.656,2375
21.756,2375
21.856,2375
21.958,2375
22.057,2375
22.158,2375
22.258,2375
22.358,2375
22.458,2375
22.559,2375
22.659,2376
22.759,2376
22.860,2376
22.960,2376
23.060,2376
23.160,2376
23.261,2377
23.361,2377
23.461,2377
23.561,2377
23.661,2377
23.761,2377
23.862,2377
23.962,2377
24.062,2377
24.163,2378
24.263,2378
24.363,2378
24.464,2378
24.564,2378
24.664,2378
24.764,2378
24.865,2378
24.965,2378
25.065,2380
25.165,2380
25.265,2380
25.366,2380
25.465,2380
25.565,2380
25.666,2382
25.767,2382
25.867,2383
25.967,2383
26.067,2383
26.168,2383
26.268,2383
26.368,2383
26.468,2383
26.568,2383
26.669,2383
26.769,2383
26.869,2383
26.969,2383
27.070,2384
27.169,2384
27.270,2384
27.370,2384
27.470,2385
27.571,2385
27.671,2385
27.772,2385
27.872,2385
27.972,2385
28.073,2385
28.172,2385
28.273,2386
28.373,2386
28.473,2386
28.574,2386
28.674,2386
28.774,2386
28.875,2386
28.975,2386
29.075,2386
29.175,2391
29.275,2392
29.375,2392
29.476,2392
29.576,2392
29.677,2392
29.776,2392
29.877,2392
29.977,2393
30.077,2394
30.177,2394
30.277,2395
30.378,2395
30.478,2395
30.579,2395
30.679,2395
30.779,2395
30.879,2396
30.979,2396
31.080,2396
31.180,2396
31.281,2397
31.380,2397
31.481,2397
31.581,2397
31.681,2397
31.782,2398
31.882,2398
31.982,2398
32.082,2398
32.183,2398
32.283,2398
32.383,2398
32.483,2398
32.583,2399
32.684,2399
32.784,2399
32.884,2399
32.984,2399
33.085,2399
33.185,2399
33.285,2399
33.386,2399
33.486,2404
33.586,2405
33.687,2405
33.787,2405
33.887,2405
33.987,2405
34.087,2405
34.188,2405
34.288,2406
34.388,2406
34.489,2408
34.589,2408
34.689,2408
34.789,2408
34.890,2408
34.990,2408
35.090,2408
35.190,2408
35.290,2408
35.390,2408
35.490,2408
35.591,2409
35.691,2409
35.791,2409
35.891,2409
35.991,2410
36.092,2410
36.192,2410
36.292,2410
36.392,2410
36.492,2410
36.593,2410
36.693,2410
36.793,2411
36.894,2411
36.994,2411
37.094,2411
37.194,2411
37.295,2411
37.395,2411
37.495,2411
37.595,2411
37.696,2411
37.796,2416
37.896,2417
37.996,2417
38.096,2417
38.197,2417
38.297,2417
38.397,2417
38.498,2417
38.598,2417
38.699,2418
38.799,2420
