TO_URJC
1462169600
time,tx_packets
0.001,2202
0.101,2202
0.202,2202
0.302,2202
0.402,2203
0.502,2203
0.602,2203
0.703,2203
0.803,2203
0.903,2203
1.004,2203
1.104,2203
1.204,2204
1.304,2204
1.404,2204
1.505,2204
1.605,2204
1.705,2204
1.805,2204
1.906,2204
2.006,2204
2.106,2204
2.209,2204
2.306,2204
2.406,2204
2.507,2204
2.607,2204
2.707,2204
2.807,2205
2.907,2205
3.008,2206
3.108,2206
3.209,2206
3.308,2207
3.408,2207
3.509,2207
3.609,2207
3.709,2207
3.809,2207
3.909,2207
4.010,2208
4.110,2208
4.210,2209
4.311,2209
4.412,2209
4.512,2209
4.612,2209
4.712,2209
4.812,2210
4.913,2210
5.013,2210
5.113,2210
5.214,2210
5.314,2210
5.414,2210
5.514,2210
5.614,2211
5.714,2211
5.815,2212
5.914,2212
6.015,2212
6.115,2212
6.216,2212
6.316,2212
6.416,2212
6.517,2212
6.617,2212
6.717,2212
6.817,2212
6.917,2212
7.018,2212
7.118,2212
7.218,2214
7.318,2214
7.419,2215
7.519,2215
7.619,2215
7.720,2215
7.819,2215
7.919,2215
8.020,2215
8.120,2215
8.221,2216
8.321,2216
8.421,2216
8.521,2216
8.622,2217
8.721,2217
8.821,2217
8.922,2218
9.022,2218
9.122,2218
9.222,2218
9.323,2218
9.423,2218
9.523,2218
9.624,2218
9.724,2218
9.824,2218
9.924,2218
10.025,2218
10.125,2218
10.225,2218
10.325,2219
10.426,2219
10.526,2219
10.627,2219
10.727,2219
10.827,2219
10.928,2219
11.027,2219
11.127,2219
11.228,2219
11.328,2219
11.428,2220
11.529,2220
11.629,2221
11.729,2222
11.829,2222
11.929,2222
12.029,2222
12.130,2222
12.230,2222
12.330,2222
12.431,2222
12.531,2222
12.631,2223
12.732,2223
12.832,2224
12.932,2224
13.033,2224
13.133,2224
13.234,2224
13.334,2225
13.434,2225
13.534,2226
13.635,2226
13.734,2226
13.835,2226
13.936,2226
14.036,2227
14.136,2227
14.237,2227
14.337,2227
14.437,2227
14.538,2227
14.638,2227
14.738,2227
14.839,2227
14.939,2227
15.039,2227
15.140,2227
15.240,2227
15.340,2227
15.441,2227
15.541,2227
15.641,2227
15.741,2228
15.841,2228
15.941,2228
16.042,2229
16.142,2230
16.243,2230
16.343,2230
16.443,2230
16.544,2230
16.644,2230
16.744,2230
16.844,2230
16.945,2230
17.045,2231
17.145,2231
17.246,2231
17.346,2231
17.446,2232
17.546,2232
17.646,2232
17.746,2232
17.847,2232
17.947,2232
18.048,2232
18.147,2232
18.248,2232
18.348,2232
18.448,2232
18.549,2232
18.649,2232
18.750,2232
18.850,2232
18.950,2232
19.050,2232
19.151,2233
19.251,2233
19.351,2233
19.451,2233
19.552,2233
19.652,2233
19.752,2233
19.852,2233
19.953,2234
20.053,2234
20.153,2234
20.253,2235
20.354,2235
20.454,2235
20.554,2236
20.654,2236
20.754,2236
20.855,2236
20.955,2236
21.055,2236
21.156,2236
21.256,2236
21.356,2236
21.457,2238
21.557,2239
21.657,2239
21.757,2239
21.857,2239
21.958,2239
22.058,2239
22.158,2239
22.259,2239
22.359,2239
22.460,2240
22.559,2240
22.660,2240
22.760,2240
22.860,2240
22.961,2240
23.061,2240
23.161,2240
23.262,2241
23.361,2241
23.461,2241
23.562,2241
23.662,2241
23.762,2241
23.862,2241
23.963,2241
24.063,2242
24.163,2242
24.264,2242
24.364,2242
24.464,2242
24.564,2243
24.665,2243
24.765,2243
24.865,2243
24.965,2244
25.066,2245
25.166,2245
25.266,2245
25.366,2245
25.467,2245
25.567,2245
25.667,2246
25.767,2246
25.868,2247
25.968,2248
26.068,2248
26.168,2248
26.269,2248
26.369,2248
26.469,2248
26.569,2248
26.669,2248
26.770,2249
26.870,2249
26.970,2249
27.070,2249
27.170,2249
27.271,2249
27.371,2249
27.471,2250
27.572,2250
27.672,2250
27.772,2250
27.873,2250
27.973,2250
28.073,2250
28.173,2250
28.274,2251
28.374,2251
28.474,2251
28.574,2251
28.675,2251
28.775,2251
28.875,2252
28.975,2252
29.076,2252
29.175,2253
29.276,2253
29.376,2253
29.476,2253
29.577,2253
29.677,2253
29.777,2253
29.877,2253
29.977,2253
30.078,2254
30.178,2255
30.278,2256
30.379,2256
30.479,2256
30.579,2256
30.680,2256
30.780,2256
30.880,2257
30.980,2257
31.081,2257
31.181,2257
31.281,2257
31.382,2257
31.482,2257
31.582,2257
31.682,2257
31.783,2258
31.883,2258
31.983,2258
32.083,2258
32.183,2258
32.284,2258
32.384,2258
32.484,2258
32.584,2259
32.684,2259
32.784,2259
32.885,2259
32.985,2259
33.086,2260
33.186,2260
33.286,2260
33.387,2261
33.487,2261
33.587,2261
33.687,2261
33.788,2261
33.888,2261
33.988,2261
34.088,2261
34.189,2261
34.289,2262
34.389,2262
34.489,2264
34.589,2264
34.690,2264
34.790,2264
34.890,2264
34.991,2264
35.090,2264
35.191,2264
35.291,2264
35.391,2264
35.491,2264
35.592,2264
35.692,2265
35.792,2265
35.892,2265
35.992,2266
36.092,2266
36.192,2266
36.293,2266
36.393,2266
36.493,2266
36.593,2266
36.694,2266
36.794,2267
36.894,2267
36.994,2267
37.095,2267
37.195,2267
37.295,2268
37.396,2268
37.496,2268
37.596,2268
37.696,2268
37.797,2269
37.897,2269
37.997,2269
38.097,2269
38.198,2269
38.298,2269
38.398,2269
38.499,2269
38.599,2269
38.699,2270
38.799,2272
38.900,2272
39.000,2272
39.100,2272
39.200,2272
39.301,2272
39.401,2272
39.501,2272
39.602,2272
39.702,2272
39.802,2272
39.902,2272
40.003,2272
40.103,2274
40.206,2275
40.303,2275
40.404,2275
40.504,2275
40.604,2275
40.704,2275
40.805,2275
40.905,2276
41.005,2277
41.106,2277
41.206,2277
41.306,2277
41.406,2277
41.506,2277
41.607,2278
41.707,2278
41.807,2278
41.907,2278
42.007,2279
42.108,2279
42.208,2279
42.308,2279
42.409,2279
42.509,2280
42.609,2280
42.709,2280
42.810,2280
42.910,2280
43.010,2282
43.110,2282
43.211,2284
43.311,2284
43.411,2284
43.512,2284
43.611,2284
43.712,2284
43.812,2284
43.913,2284
44.013,2284
44.113,2284
44.214,2284
44.314,2284
44.414,2285
44.514,2286
44.615,2286
44.715,2286
44.815,2286
44.915,2286
45.016,2286
45.116,2287
45.216,2287
45.316,2287
45.417,2287
45.517,2287
45.617,2287
45.718,2288
45.818,2289
45.918,2289
46.018,2289
46.119,2289
46.219,2289
46.319,2289
46.419,2290
46.520,2290
46.620,2290
46.720,2290
46.820,2290
46.921,2291
47.021,2291
47.121,2292
47.222,2292
47.322,2292
47.422,2292
47.522,2294
47.623,2295
47.723,2295
47.823,2295
47.924,2296
48.024,2296
48.124,2296
48.224,2296
48.324,2296
48.425,2296
48.525,2296
48.625,2297
48.726,2297
48.826,2297
48.926,2297
49.027,2297
49.127,2297
49.227,2297
49.327,2298
49.427,2298
49.528,2298
49.628,2298
49.728,2298
49.829,2298
49.929,2298
50.029,2299
50.129,2299
50.230,2299
50.330,2299
50.430,2299
50.530,2299
50.630,2300
50.731,2300
50.831,2300
50.932,2300
51.032,2300
51.132,2300
51.232,2300
51.332,2300
51.433,2301
51.533,2301
51.633,2301
51.734,2301
51.834,2302
51.934,2303
52.034,2303
52.135,2303
52.234,2303
52.334,2303
52.435,2303
52.536,2304
52.636,2304
52.736,2304
52.836,2304
52.936,2304
53.037,2304
53.137,2304
53.237,2304
53.338,2304
53.438,2304
53.538,2305
53.639,2305
53.739,2305
53.839,2305
53.939,2305
54.039,2305
54.140,2305
54.240,2305
54.340,2306
54.441,2306
54.541,2306
54.641,2306
54.741,2306
54.842,2306
54.942,2306
55.042,2307
55.143,2307
55.243,2307
55.343,2307
55.443,2308
55.544,2308
55.644,2309
55.744,2309
55.844,2309
55.945,2309
56.045,2309
56.145,2310
56.246,2311
56.346,2311
56.446,2311
56.546,2311
56.647,2311
