TO_CLIENT
1462153141
time,tx_packets
0.001,1222
0.101,1222
0.202,1222
0.301,1222
0.401,1222
0.502,1222
0.602,1222
0.702,1222
0.802,1222
0.903,1222
1.003,1222
1.103,1228
1.203,1233
1.303,1238
1.404,1243
1.504,1248
1.604,1253
1.704,1258
1.804,1263
1.905,1268
2.005,1273
2.105,1278
2.205,1283
2.306,1288
2.406,1293
2.506,1298
2.606,1303
2.707,1308
2.807,1313
2.907,1318
3.007,1323
3.107,1328
3.208,1333
3.308,1338
3.409,1343
3.508,1348
3.608,1353
3.709,1358
3.809,1363
3.909,1368
4.010,1373
4.110,1378
4.210,1383
4.311,1388
4.411,1393
4.511,1398
4.612,1402
4.712,1408
4.812,1413
4.913,1418
5.013,1423
5.114,1428
5.214,1433
5.313,1438
5.413,1443
5.514,1448
5.614,1453
5.714,1458
5.814,1463
5.914,1468
6.014,1473
6.114,1479
6.215,1484
6.315,1489
6.415,1494
6.515,1499
6.616,1504
6.716,1509
6.816,1514
6.916,1519
7.016,1524
7.117,1529
7.217,1534
7.317,1539
7.417,1544
7.517,1549
7.618,1554
7.718,1559
7.818,1564
7.918,1569
8.018,1574
8.119,1579
8.219,1584
8.319,1589
8.419,1594
8.519,1599
8.619,1604
8.719,1609
8.820,1614
8.920,1619
9.020,1624
9.120,1629
9.220,1634
9.321,1639
9.421,1644
9.521,1649
9.621,1654
9.721,1659
9.822,1664
9.922,1669
10.022,1674
10.122,1679
10.222,1684
10.322,1689
10.423,1694
10.523,1700
10.623,1705
10.723,1710
10.823,1715
10.924,1720
11.024,1725
11.124,1730
11.224,1735
11.324,1740
11.425,1745
11.525,1750
11.625,1755
11.725,1760
11.825,1765
11.926,1770
12.026,1775
12.126,1780
12.226,1785
12.326,1790
12.427,1795
12.527,1800
12.627,1805
12.727,1810
12.827,1815
12.928,1820
13.028,1825
13.128,1830
13.228,1835
13.329,1839
13.429,1845
13.529,1850
13.629,1855
13.730,1860
13.830,1865
13.930,1870
14.030,1875
14.130,1880
14.231,1885
14.331,1890
14.431,1895
14.531,1900
14.631,1905
14.732,1910
14.832,1915
14.932,1920
15.032,1925
15.132,1930
15.233,1935
15.333,1940
15.433,1945
15.533,1950
15.633,1955
15.734,1960
15.834,1965
15.934,1970
16.034,1975
16.134,1980
16.235,1985
16.335,1990
16.435,1995
16.535,2000
16.635,2005
16.736,2010
16.836,2015
16.936,2020
17.036,2025
17.137,2030
17.237,2035
17.337,2040
17.437,2045
17.537,2050
17.638,2055
17.738,2060
17.838,2065
17.938,2070
18.038,2075
18.139,2080
18.239,2085
18.339,2090
18.439,2095
18.539,2100
18.639,2105
18.740,2110
18.840,2115
18.940,2120
19.040,2125
19.140,2130
19.240,2135
19.341,2140
19.441,2145
19.541,2150
19.641,2155
19.742,2160
19.842,2165
19.942,2170
20.042,2175
20.142,2180
20.243,2185
20.343,2190
20.443,2195
20.543,2200
20.644,2206
20.744,2211
20.844,2216
20.944,2221
21.044,2226
21.145,2231
21.245,2236
21.345,2241
21.445,2242
21.545,2250
21.646,2256
21.746,2261
21.846,2266
21.946,2271
22.046,2276
22.147,2281
22.247,2286
22.347,2291
22.447,2296
22.547,2301
22.648,2306
22.748,2311
22.848,2316
22.948,2321
23.049,2326
23.149,2331
23.249,2336
23.349,2341
23.452,2346
23.550,2351
23.650,2356
23.750,2361
23.850,2366
23.950,2371
24.051,2376
24.151,2381
24.251,2386
24.351,2391
24.453,2396
24.552,2401
24.652,2406
24.752,2411
24.852,2416
24.953,2421
25.053,2426
25.153,2431
25.253,2436
25.353,2441
25.453,2446
25.554,2451
25.654,2456
25.754,2461
25.854,2466
25.954,2471
26.055,2476
26.155,2481
26.255,2486
26.355,2491
26.456,2496
26.556,2501
26.656,2506
26.756,2511
26.856,2516
26.957,2521
27.057,2526
27.157,2531
27.257,2536
27.357,2541
27.458,2546
27.558,2551
27.658,2556
27.758,2561
27.858,2566
27.959,2571
28.059,2576
28.159,2581
28.259,2586
28.359,2591
28.460,2596
28.560,2601
28.660,2606
28.760,2611
28.861,2616
28.961,2621
29.061,2626
29.161,2631
29.261,2636
29.362,2641
29.462,2646
30.562,2701
30.662,2706
30.763,2711
30.863,2716
30.963,2721
31.063,2726
31.164,2731
31.264,2737
31.364,2742
31.464,2742
31.564,2751
31.665,2757
31.765,2762
31.865,2767
31.965,2772
32.065,2777
32.166,2782
32.266,2787
32.366,2792
32.466,2797
32.566,2802
32.667,2807
32.767,2812
32.867,2817
32.967,2822
33.067,2827
33.168,2832
33.268,2837
33.368,2839
33.468,2839
33.569,2840
33.669,2848
33.769,2856
33.869,2865
33.969,2872
34.070,2877
34.170,2882
34.270,2887
34.370,2892
34.470,2897
34.570,2902
34.671,2907
34.771,2912
34.871,2917
34.971,2922
35.071,2927
35.172,2932
35.272,2937
35.372,2942
35.472,2947
35.572,2952
35.673,2957
35.773,2962
35.873,2967
35.973,2972
36.073,2977
36.174,2982
36.274,2987
36.374,2992
36.474,2997
36.575,3002
36.675,3007
36.775,3012
36.875,3017
36.975,3022
37.076,3027
37.176,3032
37.276,3037
37.376,3042
37.476,3047
37.577,3052
37.677,3057
37.777,3062
37.877,3067
37.978,3072
38.078,3077
38.178,3082
38.278,3087
38.378,3092
38.479,3097
38.579,3102
38.679,3107
38.779,3112
38.880,3117
38.980,3122
39.080,3127
39.181,3132
39.281,3137
39.381,3142
39.481,3147
39.581,3152
39.682,3157
39.782,3162
39.882,3167
39.982,3172
40.083,3177
40.183,3182
40.283,3187
40.384,3192
40.484,3198
40.584,3203
40.684,3208
40.785,3214
40.885,3219
40.985,3224
41.085,3229
41.186,3234
41.285,3239
41.385,3244
41.486,3249
41.586,3254
41.687,3259
41.787,3264
41.887,3269
41.987,3274
42.087,3279
42.187,3284
42.287,3289
42.388,3294
42.488,3299
42.588,3304
42.688,3309
42.789,3314
42.889,3319
42.989,3324
43.089,3329
43.189,3334
43.289,3339
43.390,3344
43.490,3349
43.590,3354
43.690,3359
43.790,3364
43.890,3369
43.991,3374
44.091,3379
44.191,3384
44.290,3389
44.390,3394
44.490,3399
44.591,3404
44.691,3409
44.791,3414
44.891,3419
44.991,3424
45.091,3429
45.192,3434
45.292,3439
45.392,3444
45.492,3449
45.592,3454
45.693,3459
45.792,3464
45.893,3469
45.993,3474
46.093,3479
46.193,3484
46.293,3489
46.394,3494
46.493,3499
46.593,3504
46.694,3509
46.794,3514
46.894,3519
46.994,3524
47.094,3529
47.194,3534
47.294,3539
47.395,3544
47.495,3549
47.595,3554
47.695,3559
47.795,3564
47.895,3569
47.995,3574
48.095,3579
48.195,3584
48.296,3589
48.396,3594
48.496,3599
48.596,3604
48.696,3609
48.796,3614
48.896,3619
48.997,3624
49.097,3629
49.197,3634
49.297,3639
49.397,3644
49.497,3649
49.597,3654
49.697,3659
49.797,3664
49.898,3669
49.998,3674
50.098,3679
50.198,3684
50.298,3689
50.398,3694
50.498,3699
50.598,3704
50.699,3709
50.799,3714
50.899,3719
50.999,3724
51.099,3729
51.199,3734
51.299,3739
51.400,3744
51.500,3749
51.600,3754
51.700,3759
51.800,3764
51.900,3769
52.000,3774
52.101,3779
52.201,3784
52.301,3789
52.401,3794
52.501,3799
52.601,3804
52.702,3809
52.801,3814
52.902,3819
53.002,3824
53.102,3829
53.202,3834
53.302,3839
53.402,3844
53.501,3849
53.602,3854
53.702,3859
53.802,3864
53.902,3869
54.002,3874
54.102,3879
54.202,3884
54.302,3889
54.403,3894
54.503,3899
54.603,3904
54.703,3909
54.803,3914
54.903,3919
55.003,3924
55.104,3929
55.204,3935
55.304,3940
55.404,3946
55.504,3951
55.604,3956
55.704,3961
55.804,3966
55.904,3971
56.004,3976
56.105,3981
56.205,3986
56.305,3991
56.405,3994
56.505,3996
56.605,4006
56.705,4011
56.805,4016
56.905,4021
57.006,4026
57.106,4031
57.206,4036
57.306,4041
57.406,4046
57.506,4051
57.606,4056
57.706,4061
57.807,4066
57.907,4071
58.007,4076
58.107,4081
58.207,4086
58.307,4091
58.407,4096
58.507,4101
58.608,4106
58.708,4111
58.808,4116
58.908,4121
