TO_KISTI
1462153141
time,tx_packets
0.001,975
0.101,975
0.201,975
0.301,975
0.401,975
0.502,975
0.602,975
0.702,975
0.802,975
0.903,975
1.003,980
1.103,985
1.203,990
1.303,995
1.404,1000
1.504,1005
1.604,1010
1.704,1015
1.804,1020
1.905,1025
2.005,1030
2.105,1035
2.205,1040
2.305,1045
2.406,1050
2.506,1055
2.606,1060
2.706,1065
2.806,1070
2.907,1075
3.007,1080
3.107,1085
3.207,1090
3.307,1095
3.408,1100
3.508,1105
3.608,1110
3.708,1115
3.809,1120
3.909,1125
4.009,1130
4.109,1135
4.209,1140
4.309,1145
4.410,1150
4.510,1155
4.610,1160
4.710,1165
4.810,1170
4.911,1175
5.011,1180
5.111,1185
5.211,1190
5.311,1195
5.412,1200
5.512,1205
5.612,1210
5.712,1215
5.812,1220
5.912,1225
6.013,1231
6.113,1236
6.213,1241
6.313,1246
6.413,1251
6.514,1256
6.614,1261
6.714,1266
6.814,1271
6.914,1276
7.015,1281
7.115,1286
7.215,1291
7.315,1296
7.415,1301
7.516,1306
7.616,1311
7.716,1316
7.816,1321
7.916,1326
8.017,1331
8.117,1336
8.217,1341
8.317,1346
8.418,1351
8.518,1356
8.618,1361
8.718,1366
8.818,1371
8.919,1376
9.019,1381
9.119,1386
9.219,1391
9.319,1396
9.420,1401
9.520,1406
9.620,1411
9.720,1416
9.820,1421
9.921,1426
10.021,1431
10.121,1436
10.221,1441
10.321,1446
10.422,1451
10.522,1456
10.622,1461
10.722,1467
10.822,1472
10.923,1477
11.023,1482
11.123,1487
11.223,1492
11.323,1497
11.423,1502
11.524,1507
11.624,1512
11.724,1517
11.824,1522
11.925,1527
12.025,1532
12.125,1537
12.225,1542
12.325,1547
12.426,1552
12.526,1557
12.626,1562
12.726,1567
12.826,1572
12.927,1577
13.027,1582
13.127,1587
13.227,1592
13.327,1597
13.428,1602
13.528,1607
13.628,1612
13.728,1617
13.828,1622
13.929,1627
14.029,1632
14.129,1637
14.229,1642
14.329,1647
14.429,1652
14.530,1656
14.630,1662
14.730,1667
14.830,1672
14.930,1677
15.031,1682
15.131,1687
15.231,1692
15.331,1697
15.431,1702
15.532,1707
15.632,1712
15.732,1717
15.832,1722
15.932,1727
16.033,1732
16.133,1737
16.233,1742
16.333,1747
16.433,1752
16.534,1757
16.634,1762
16.734,1767
16.834,1772
16.934,1777
17.035,1782
17.135,1787
17.235,1792
17.335,1797
17.435,1802
17.536,1807
17.636,1812
17.736,1817
17.836,1822
17.937,1827
18.037,1832
18.137,1837
18.237,1842
18.337,1847
18.437,1852
18.538,1857
18.638,1862
18.738,1867
18.838,1872
18.938,1877
19.039,1882
19.139,1887
19.239,1892
19.339,1897
19.440,1902
19.540,1907
19.640,1912
19.740,1917
19.840,1922
19.941,1927
20.041,1932
20.141,1937
20.241,1942
20.341,1947
20.442,1952
20.542,1957
20.642,1962
20.742,1967
20.842,1973
20.943,1978
21.043,1983
21.143,1988
21.243,1993
21.343,1995
21.444,2003
21.544,2008
21.644,2013
21.744,2018
21.844,2023
21.945,2028
22.045,2033
22.145,2038
22.245,2043
22.345,2048
22.445,2053
22.546,2058
22.646,2063
22.746,2068
22.846,2073
22.946,2078
23.047,2083
23.147,2088
23.247,2093
23.347,2098
23.447,2103
23.548,2108
23.648,2113
23.748,2118
23.848,2123
23.948,2128
24.049,2133
24.149,2138
24.249,2143
24.349,2148
24.449,2153
24.550,2158
24.650,2163
24.750,2168
24.850,2173
24.950,2178
25.051,2183
25.151,2188
25.251,2193
25.351,2198
25.451,2203
25.551,2208
25.652,2213
25.752,2218
25.852,2223
25.952,2228
26.052,2233
26.153,2238
26.253,2243
26.353,2248
26.453,2253
26.553,2258
26.654,2263
26.754,2268
26.854,2273
26.954,2278
27.054,2283
27.155,2288
27.255,2293
27.355,2298
27.455,2303
27.555,2308
27.656,2313
27.756,2318
27.856,2323
27.956,2328
28.056,2333
28.157,2338
28.257,2343
28.357,2348
28.457,2353
28.558,2358
28.658,2363
28.758,2368
28.858,2373
28.958,2378
29.059,2383
29.159,2388
29.259,2393
29.359,2398
29.459,2403
29.560,2406
29.660,2413
29.760,2418
