TO_UA
1462153141
time,tx_packets
0.001,26582
0.101,26585
0.201,26586
0.301,26586
0.401,26586
0.502,26586
0.602,26588
0.703,26588
0.802,26589
0.903,26594
1.003,26599
1.103,26604
1.203,26609
1.304,26614
1.404,26619
1.504,26624
1.604,26629
1.705,26634
1.805,26639
1.905,26645
2.005,26650
2.106,26655
2.206,26660
2.307,26665
2.407,26670
2.507,26675
2.608,26680
2.707,26685
2.808,26690
2.908,26695
3.009,26700
3.109,26705
3.209,26710
3.309,26715
3.409,26721
3.509,26726
3.610,26731
3.711,26736
3.811,26741
3.911,26746
4.012,26751
4.112,26756
4.212,26761
4.312,26766
4.413,26773
4.513,26780
4.614,26785
4.714,26790
4.814,26795
4.914,26800
5.014,26807
5.115,26812
5.215,26817
5.315,26822
5.416,26827
5.516,26832
5.616,26837
5.716,26842
5.816,26847
5.917,26852
6.017,26857
6.117,26862
6.217,26867
6.317,26873
6.418,26878
6.518,26883
6.618,26888
6.718,26893
6.819,26899
6.919,26903
7.019,26909
7.119,26914
7.219,26919
7.320,26924
7.420,26929
7.520,26934
7.620,26939
7.721,26944
7.821,26949
7.921,26955
8.022,26960
8.122,26965
8.222,26970
8.322,26975
8.423,26980
8.523,26985
8.623,26990
8.723,26995
8.824,27004
8.924,27009
9.024,27014
9.125,27019
9.225,27026
9.325,27031
9.425,27036
9.525,27041
9.625,27046
9.726,27051
9.826,27056
9.926,27061
10.026,27066
10.126,27071
10.227,27076
10.327,27081
10.427,27086
10.528,27092
10.628,27097
10.728,27102
10.828,27107
10.928,27112
11.028,27117
11.128,27122
11.228,27127
11.329,27132
11.429,27137
11.529,27142
11.629,27147
11.729,27152
11.830,27157
11.930,27162
12.030,27167
12.130,27172
12.230,27177
12.331,27183
12.431,27188
12.531,27194
12.631,27199
12.732,27204
12.832,27209
12.932,27216
13.032,27221
13.133,27226
13.233,27233
13.333,27240
13.433,27245
13.534,27250
13.634,27255
13.734,27260
13.834,27265
13.935,27270
14.035,27275
14.135,27280
14.236,27285
14.336,27290
14.436,27295
14.536,27300
14.637,27305
14.737,27310
14.837,27316
14.937,27321
15.038,27326
15.138,27331
15.238,27336
15.339,27341
15.439,27346
15.539,27352
15.639,27357
15.739,27362
15.840,27367
15.940,27372
16.040,27377
16.141,27382
16.241,27387
16.341,27392
16.441,27397
16.542,27402
16.642,27408
16.742,27413
16.842,27418
16.943,27423
17.043,27429
17.143,27435
17.243,27440
17.344,27445
17.444,27450
17.544,27457
17.644,27464
17.745,27469
17.845,27474
17.945,27479
18.045,27484
18.145,27489
18.246,27494
18.346,27499
18.446,27504
18.546,27509
18.646,27514
18.746,27519
18.846,27524
18.947,27529
19.047,27534
19.147,27539
19.247,27544
19.347,27550
19.448,27555
19.548,27560
19.648,27565
19.748,27570
19.848,27575
19.949,27580
20.049,27585
20.149,27590
20.249,27595
20.349,27600
20.452,27605
20.550,27610
20.650,27615
20.750,27620
20.851,27625
20.951,27631
21.051,27636
21.151,27641
21.251,27646
21.352,27651
21.452,27657
21.552,27662
21.652,27667
21.753,27677
21.853,27682
21.953,27687
22.053,27692
22.154,27697
22.254,27702
22.354,27707
22.454,27712
22.555,27717
22.655,27722
22.755,27727
22.856,27732
22.956,27737
23.056,27742
23.156,27747
23.256,27752
23.357,27757
23.457,27762
23.557,27767
23.657,27773
23.758,27778
23.858,27783
23.958,27788
24.059,27793
24.159,27799
24.259,27804
24.360,27809
24.460,27814
24.560,27819
24.660,27824
24.761,27829
24.861,27834
24.961,27839
25.061,27844
25.162,27849
25.262,27854
25.362,27859
25.463,27865
25.563,27871
25.663,27876
25.763,27881
25.864,27886
25.964,27892
26.064,27899
26.164,27904
26.265,27911
26.365,27916
26.465,27921
26.565,27926
26.666,27931
26.765,27936
26.866,27941
26.966,27946
27.066,27951
27.167,27956
27.267,27961
27.367,27966
27.468,27971
27.568,27976
27.668,27981
27.768,27987
27.869,27992
27.969,27997
28.069,28002
28.169,28007
28.270,28012
28.370,28017
28.470,28022
28.571,28027
28.671,28032
28.771,28037
28.872,28042
28.971,28047
29.072,28052
29.172,28057
29.273,28062
29.373,28067
29.473,28072
29.573,28077
29.674,28082
29.774,28089
29.874,28094
29.974,28099
30.074,28104
30.175,28109
30.275,28117
30.375,28122
30.476,28127
30.576,28132
30.676,28137
30.776,28142
30.877,28147
30.977,28152
31.077,28157
31.177,28161
31.278,28167
31.378,28172
31.478,28177
31.579,28184
31.679,28189
31.779,28194
31.879,28200
31.980,28206
32.080,28211
32.180,28216
32.280,28221
32.381,28226
32.481,28231
32.581,28236
32.682,28241
32.782,28246
32.882,28251
32.982,28257
33.083,28262
33.183,28267
33.283,28272
33.383,28277
33.484,28282
33.584,28287
33.684,28292
33.784,28297
33.884,28302
33.985,28308
34.085,28313
34.185,28318
34.286,28327
34.386,28331
34.486,28337
34.587,28342
34.687,28347
34.787,28352
34.888,28357
34.988,28362
35.088,28367
35.188,28372
35.289,28377
35.389,28382
35.489,28387
35.589,28392
35.690,28397
35.790,28402
35.890,28407
35.990,28412
36.090,28417
36.191,28422
36.291,28427
36.391,28432
36.491,28438
36.592,28443
36.692,28448
36.792,28453
36.893,28458
36.993,28463
37.093,28468
37.193,28473
37.294,28478
37.394,28483
37.494,28488
37.595,28494
37.695,28499
37.795,28504
37.895,28509
37.996,28515
38.096,28520
38.196,28526
38.297,28532
38.397,28537
38.497,28542
38.597,28548
38.697,28554
