TO_UIUC
1462153141
time,tx_packets
0.001,25988
0.101,25990
0.201,25991
0.301,25991
0.401,25991
0.502,25991
0.602,25992
0.702,25992
0.802,25993
0.902,25998
1.003,26003
1.103,26013
1.203,26023
1.303,26033
1.404,26043
1.504,26053
1.604,26063
1.704,26073
1.804,26083
1.905,26093
2.005,26103
2.105,26113
2.205,26123
2.305,26133
2.406,26143
2.506,26153
2.606,26163
2.706,26173
2.807,26183
2.907,26193
3.007,26203
3.107,26213
3.207,26223
3.308,26233
3.408,26243
3.508,26253
3.608,26263
3.708,26273
3.809,26283
3.909,26293
4.009,26303
4.109,26313
4.210,26323
4.310,26333
4.410,26345
4.510,26356
4.610,26365
4.710,26376
4.811,26386
4.911,26396
5.011,26407
5.111,26417
5.212,26427
5.312,26437
5.412,26447
5.512,26457
5.613,26467
5.713,26477
5.813,26487
5.913,26497
6.014,26507
6.114,26517
6.214,26527
6.314,26537
6.414,26547
6.515,26557
6.615,26567
6.715,26577
6.815,26587
6.915,26597
7.015,26608
7.116,26618
7.216,26628
7.316,26638
7.416,26648
7.517,26658
7.617,26668
7.717,26678
7.817,26688
7.917,26699
8.018,26709
8.118,26719
8.218,26729
8.318,26738
8.418,26749
8.519,26759
8.619,26770
8.719,26780
8.819,26792
8.920,26803
9.020,26813
9.120,26823
9.220,26834
9.321,26844
9.421,26854
9.521,26864
9.621,26874
9.721,26884
9.822,26894
9.922,26904
10.022,26914
10.122,26924
10.222,26934
10.322,26944
10.423,26954
10.523,26964
10.623,26974
10.723,26984
10.824,26994
10.924,27004
11.024,27014
11.124,27024
11.224,27034
11.324,27044
11.424,27054
11.525,27064
11.625,27074
11.725,27084
11.825,27094
11.925,27104
12.026,27115
12.126,27125
12.226,27135
12.326,27148
12.427,27158
12.527,27169
12.627,27179
12.727,27189
12.827,27199
12.928,27211
13.028,27221
13.128,27232
13.228,27242
13.328,27252
13.429,27263
13.529,27273
13.629,27283
13.729,27293
13.830,27303
13.930,27313
14.030,27323
14.130,27333
14.230,27343
14.331,27353
14.431,27363
14.531,27373
14.631,27383
14.731,27393
14.832,27403
14.932,27413
15.032,27423
15.132,27433
15.232,27443
15.333,27453
15.433,27463
15.533,27473
15.633,27483
15.734,27493
15.834,27503
15.934,27513
16.034,27523
16.134,27533
16.235,27543
16.335,27553
16.435,27563
16.535,27573
16.635,27583
16.736,27594
16.836,27604
16.936,27614
17.036,27625
17.137,27635
17.237,27646
17.337,27656
17.437,27667
17.537,27677
17.637,27688
17.738,27698
17.838,27707
17.938,27718
18.038,27728
18.138,27738
18.239,27748
18.339,27758
18.439,27769
18.539,27779
18.639,27789
18.740,27799
18.840,27809
18.940,27819
19.040,27829
19.141,27839
19.241,27849
19.341,27859
19.441,27869
19.542,27879
19.642,27889
19.742,27899
19.842,27909
19.942,27919
20.042,27929
20.143,27939
20.243,27949
20.343,27959
20.443,27969
20.544,27979
20.644,27989
20.744,27999
20.844,28009
20.944,28021
21.045,28032
21.145,28042
21.245,28049
21.345,28062
21.445,28069
21.546,28083
21.646,28093
21.746,28105
21.846,28116
21.946,28126
22.047,28136
22.147,28146
22.247,28156
22.347,28166
22.448,28176
22.548,28186
22.648,28196
22.748,28206
22.848,28216
22.949,28226
23.049,28236
23.149,28246
23.249,28256
23.349,28266
23.450,28276
23.550,28286
23.650,28296
23.750,28306
23.850,28316
23.951,28326
24.051,28336
24.151,28346
24.251,28356
24.351,28366
24.455,28376
24.552,28386
24.652,28396
24.752,28406
24.852,28416
24.953,28426
25.053,28436
25.153,28446
25.253,28456
25.353,28466
25.454,28478
25.554,28489
25.654,28499
25.754,28509
25.854,28519
25.955,28530
26.055,28540
26.155,28551
26.255,28562
26.355,28572
26.456,28583
26.556,28593
26.656,28603
26.756,28613
26.857,28623
26.957,28633
27.057,28643
27.157,28653
27.257,28663
27.358,28673
27.458,28683
27.558,28693
27.658,28703
27.758,28713
27.859,28723
27.959,28733
28.059,28743
28.159,28754
28.259,28764
28.360,28774
28.460,28784
28.560,28794
28.660,28804
28.761,28814
28.861,28824
28.961,28834
29.061,28844
29.161,28854
29.262,28864
29.362,28874
29.462,28883
29.562,28894
29.662,28900
29.763,28915
29.863,28928
29.963,28939
30.063,28949
30.164,28959
30.264,28971
30.364,28982
30.464,28992
30.565,29002
30.665,29012
30.765,29022
30.865,29032
30.965,29042
31.065,29052
31.166,29061
31.266,29072
31.366,29082
31.466,29087
31.566,29103
31.667,29113
31.767,29123
31.867,29133
31.967,29143
32.068,29153
32.168,29163
32.268,29173
32.368,29183
32.468,29193
32.569,29203
32.669,29213
32.769,29223
32.869,29233
32.969,29243
33.070,29253
33.170,29263
33.270,29273
33.370,29280
33.470,29285
33.571,29292
33.671,29304
33.771,29318
33.871,29332
33.971,29344
34.072,29354
34.172,29364
34.272,29376
34.372,29386
34.472,29396
34.572,29406
34.673,29417
34.773,29427
34.873,29437
34.973,29447
35.073,29458
35.174,29468
35.274,29478
35.374,29488
35.474,29498
35.575,29508
35.675,29518
35.775,29528
35.875,29538
35.975,29548
36.076,29558
36.176,29569
36.276,29579
36.376,29589
36.476,29599
36.577,29609
36.677,29619
36.777,29629
36.877,29639
36.977,29649
37.078,29659
37.178,29669
37.278,29679
37.378,29689
37.478,29699
37.579,29710
37.679,29720
37.779,29732
37.880,29742
37.980,29752
38.080,29762
38.180,29773
38.281,29786
38.381,29796
38.481,29807
38.582,29817
38.682,29831
38.782,29841
38.882,29851
38.983,29861
39.083,29871
39.183,29881
39.283,29892
39.384,29901
39.484,29912
39.584,29922
39.684,29932
39.784,29942
39.885,29952
39.985,29962
40.085,29972
40.186,29982
40.286,29992
40.386,30002
40.486,30012
40.586,30022
40.687,30032
40.787,30042
40.887,30052
40.987,30062
41.087,30072
41.188,30082
41.288,30092
41.388,30102
41.488,30113
41.588,30123
41.689,30133
41.789,30143
41.889,30153
41.989,30163
42.089,30173
42.190,30183
42.290,30193
42.390,30203
42.490,30214
42.590,30224
42.691,30234
42.791,30245
42.891,30255
42.991,30268
43.091,30279
43.192,30289
43.292,30299
43.392,30309
43.492,30320
43.592,30330
43.692,30340
43.793,30350
43.893,30360
43.993,30370
44.093,30380
44.193,30390
44.293,30400
44.393,30410
44.493,30420
44.593,30430
44.694,30440
44.794,30450
44.894,30460
44.994,30470
45.094,30480
45.195,30490
45.294,30500
45.395,30510
45.495,30520
45.595,30530
45.695,30540
45.795,30550
45.895,30560
45.995,30570
46.095,30580
46.196,30590
46.296,30601
46.396,30611
46.496,30621
46.596,30631
46.696,30641
46.796,30651
46.897,30662
46.997,30672
47.097,30682
47.197,30692
47.297,30702
47.397,30713
47.497,30723
47.597,30735
47.698,30745
47.798,30755
47.898,30765
47.998,30775
48.098,30785
48.198,30795
48.298,30805
48.399,30815
48.499,30825
48.599,30836
48.699,30846
48.799,30856
48.899,30866
48.999,30876
49.099,30886
49.200,30897
49.300,30907
49.400,30917
49.500,30927
49.600,30937
49.700,30947
49.800,30957
49.900,30967
50.000,30977
50.101,30987
50.201,30997
50.301,31007
50.401,31017
50.501,31027
50.601,31037
50.701,31047
50.801,31057
50.902,31067
51.002,31078
51.102,31088
51.202,31098
51.302,31108
51.402,31119
51.503,31129
51.603,31139
51.703,31150
51.803,31160
51.903,31171
52.003,31181
52.103,31191
52.204,31201
52.303,31211
52.404,31221
52.504,31231
52.604,31241
52.704,31251
52.804,31261
52.904,31271
53.004,31281
53.105,31291
53.205,31301
53.305,31311
53.405,31321
53.505,31331
53.605,31341
53.705,31351
53.805,31361
53.906,31371
54.006,31381
54.106,31391
54.206,31401
54.306,31411
54.407,31421
54.507,31431
54.607,31441
54.707,31451
54.807,31461
54.908,31471
55.008,31481
55.108,31491
55.208,31501
55.309,31512
55.409,31522
55.509,31532
55.609,31542
55.709,31552
55.810,31563
55.910,31576
56.010,31587
56.110,31597
56.210,31605
56.311,31618
56.411,31626
56.511,31635
56.612,31648
56.712,31658
56.812,31668
56.912,31678
57.012,31688
57.112,31698
57.213,31708
57.313,31718
57.413,31728
57.513,31738
57.613,31748
57.714,31758
57.814,31768
57.914,31778
58.014,31788
58.114,31798
58.215,31808
58.315,31818
58.415,31828
58.516,31838
58.616,31848
58.716,31859
58.816,31869
58.916,31879
