TO_UM
1462153141
time,tx_packets
0.002,37828
0.101,37830
0.201,37830
0.301,37831
0.401,37831
0.502,37831
0.602,37831
0.702,37831
0.802,37831
0.903,37832
1.003,37832
1.103,37832
1.204,37832
1.304,37832
1.404,37832
1.504,37832
1.604,37832
1.704,37832
1.805,37832
1.905,37832
2.005,37832
2.105,37833
2.205,37833
2.306,37834
2.406,37834
2.506,37834
2.606,37834
2.707,37834
2.807,37834
2.907,37834
3.007,37834
3.107,37834
3.208,37834
3.308,37834
3.408,37834
3.508,37834
3.609,37834
3.709,37834
3.809,37834
3.909,37834
4.009,37834
4.110,37834
4.210,37834
4.310,37834
4.410,37834
4.510,37837
4.611,37837
4.711,37837
4.811,37837
4.911,37837
5.012,37837
5.112,37838
5.212,37838
5.312,37838
5.413,37838
5.513,37838
5.613,37838
5.713,37838
5.813,37838
5.914,37838
6.014,37838
6.114,37838
6.214,37838
6.314,37839
6.415,37840
6.515,37840
6.615,37840
6.715,37840
6.815,37840
6.916,37840
7.016,37840
7.116,37840
7.216,37840
7.316,37840
7.417,37840
7.517,37840
7.617,37840
7.717,37840
7.817,37840
7.918,37840
8.018,37840
8.118,37840
8.218,37840
8.319,37840
8.419,37840
8.519,37840
8.619,37840
8.719,37840
8.820,37843
8.920,37843
9.020,37843
9.120,37843
9.221,37843
9.321,37844
9.421,37844
9.521,37845
9.622,37845
9.722,37845
9.822,37845
9.922,37845
10.022,37845
10.122,37845
10.223,37845
10.323,37845
10.423,37845
10.523,37847
10.623,37848
10.724,37848
10.824,37848
10.924,37848
11.024,37849
11.124,37849
11.224,37849
11.325,37849
11.425,37849
11.525,37849
11.625,37849
11.725,37849
11.826,37849
11.926,37849
12.026,37849
12.126,37849
12.226,37849
12.327,37849
12.427,37849
12.527,37849
12.627,37849
12.727,37849
12.828,37849
12.928,37850
13.028,37851
13.128,37851
13.229,37852
13.329,37852
13.429,37852
13.529,37852
13.629,37852
13.730,37853
13.830,37853
13.930,37853
14.030,37853
14.131,37853
14.231,37853
14.331,37853
14.431,37853
14.531,37853
14.632,37853
14.732,37853
14.832,37854
14.932,37854
15.032,37854
15.133,37854
15.233,37854
15.333,37854
