TO_URJC
1462153141
time,tx_packets
0.002,33082
0.101,33084
0.202,33085
0.302,33085
0.402,33085
0.502,33085
0.603,33085
0.703,33086
0.803,33086
0.903,33087
1.003,33087
1.104,33087
1.204,33087
1.304,33087
1.404,33087
1.505,33087
1.605,33087
1.705,33087
1.804,33087
1.905,33088
2.005,33088
2.105,33088
2.205,33088
2.306,33088
2.406,33088
2.506,33088
2.606,33088
2.707,33088
2.807,33088
2.907,33088
3.007,33088
3.108,33089
3.208,33089
3.308,33089
3.409,33090
3.509,33090
3.610,33090
3.710,33090
3.810,33090
3.911,33091
4.011,33091
4.111,33091
4.211,33092
4.312,33092
4.412,33094
4.513,33094
4.613,33094
4.713,33094
4.813,33094
4.914,33094
5.014,33094
5.114,33095
5.215,33095
5.315,33095
5.415,33095
5.515,33095
5.616,33095
5.715,33095
5.816,33095
5.916,33095
6.016,33095
6.117,33095
6.217,33095
6.317,33096
6.417,33096
6.517,33096
6.617,33096
6.718,33096
6.818,33096
6.918,33096
7.018,33096
7.119,33096
7.219,33096
7.319,33096
7.419,33096
7.520,33096
7.620,33096
7.720,33096
7.820,33096
7.921,33097
8.021,33097
8.121,33097
8.222,33097
8.322,33098
8.422,33098
8.522,33098
8.623,33098
8.723,33098
8.823,33100
8.923,33100
9.024,33100
9.124,33100
9.224,33100
9.324,33101
9.425,33101
9.525,33101
9.625,33101
9.725,33101
9.825,33101
9.925,33101
10.026,33101
10.126,33101
10.226,33101
10.326,33101
10.427,33101
10.527,33102
10.627,33102
10.727,33102
10.828,33102
10.928,33102
11.028,33103
11.128,33103
11.228,33103
11.328,33103
11.428,33103
11.528,33103
11.629,33103
11.729,33103
11.829,33103
11.929,33103
12.030,33103
12.130,33103
12.230,33103
12.330,33104
12.431,33104
12.531,33104
12.631,33105
12.731,33105
12.832,33105
12.932,33108
13.032,33108
13.132,33109
13.233,33109
13.333,33109
13.433,33109
13.533,33109
13.634,33110
13.734,33111
13.834,33111
13.934,33111
14.035,33111
14.135,33111
14.235,33111
14.336,33111
14.436,33111
14.536,33111
14.636,33111
14.736,33111
14.837,33112
14.937,33112
15.037,33112
15.138,33112
15.238,33112
15.338,33112
15.438,33113
15.538,33113
15.639,33113
15.739,33113
15.839,33113
15.940,33113
16.040,33113
16.140,33113
16.240,33113
16.341,33113
16.441,33113
16.541,33113
16.641,33114
16.742,33114
16.842,33114
16.942,33114
17.042,33115
17.143,33116
17.243,33116
17.343,33116
17.444,33116
17.544,33116
17.644,33117
17.744,33117
17.844,33117
17.945,33117
18.045,33118
18.145,33119
18.245,33119
18.345,33119
18.445,33119
18.545,33119
18.646,33119
18.746,33119
18.846,33119
18.946,33119
19.046,33119
19.147,33119
19.247,33119
19.347,33120
19.447,33121
19.547,33121
19.648,33121
19.748,33121
19.848,33121
19.948,33121
20.048,33121
20.149,33121
20.249,33121
20.349,33121
20.453,33121
20.549,33121
20.650,33121
20.750,33121
20.850,33121
20.950,33122
21.051,33122
21.151,33123
21.251,33123
21.351,33123
21.452,33124
21.552,33124
21.652,33124
21.752,33125
21.853,33125
21.953,33125
22.053,33125
22.153,33125
22.254,33126
22.354,33127
22.454,33127
22.554,33127
22.655,33127
22.755,33127
22.855,33127
22.955,33127
23.056,33127
23.156,33127
23.256,33127
23.356,33127
23.457,33127
23.557,33127
23.657,33128
23.758,33128
23.858,33128
23.958,33128
24.058,33129
24.159,33129
24.259,33129
24.359,33129
24.459,33129
24.560,33129
24.660,33129
24.760,33129
24.861,33129
24.961,33129
25.061,33129
25.161,33129
25.262,33129
25.362,33129
25.462,33130
25.563,33131
25.663,33132
25.763,33132
25.863,33132
25.963,33133
26.064,33133
26.164,33133
26.264,33133
26.365,33133
26.465,33133
26.565,33133
26.665,33134
26.766,33134
26.866,33134
26.966,33134
27.066,33134
27.166,33134
27.267,33134
27.367,33134
27.467,33134
27.567,33134
27.667,33134
27.768,33135
27.868,33135
27.968,33135
28.069,33135
28.169,33135
28.269,33135
28.369,33135
28.470,33135
28.570,33135
28.670,33135
28.771,33135
28.871,33135
28.971,33135
29.071,33135
29.171,33135
29.272,33135
29.372,33135
29.473,33135
29.573,33135
29.673,33135
29.773,33137
29.873,33137
29.973,33137
30.074,33137
30.174,33137
30.275,33138
30.375,33139
30.475,33139
30.575,33139
30.675,33139
30.776,33139
30.876,33139
30.976,33140
31.076,33140
31.177,33140
31.277,33140
31.377,33140
31.478,33140
31.578,33140
31.678,33140
31.778,33140
31.879,33140
31.979,33141
32.079,33141
32.180,33141
32.280,33141
32.380,33141
32.480,33141
32.581,33141
32.681,33142
32.781,33142
32.881,33142
32.982,33142
33.082,33142
33.182,33142
33.282,33142
33.383,33142
33.483,33142
33.583,33142
33.684,33142
33.784,33142
33.884,33142
33.984,33143
34.084,33143
34.184,33144
34.285,33146
34.385,33146
34.486,33146
34.586,33146
34.686,33146
34.787,33146
34.887,33146
34.987,33146
35.088,33146
35.188,33147
35.288,33147
35.388,33148
35.488,33148
35.589,33148
35.689,33148
35.789,33148
35.890,33148
35.989,33148
36.090,33148
36.190,33148
36.290,33148
36.390,33148
36.491,33149
36.591,33149
36.692,33149
36.792,33149
36.892,33149
36.992,33149
37.093,33149
37.193,33149
37.293,33149
37.393,33149
37.494,33149
37.594,33150
37.694,33150
37.795,33150
37.895,33150
37.995,33150
38.095,33150
38.196,33151
38.296,33152
38.396,33152
38.496,33152
38.596,33153
38.697,33154
38.797,33154
38.897,33154
38.997,33154
39.098,33154
39.198,33154
39.298,33154
39.398,33155
39.499,33155
39.599,33156
39.699,33156
39.799,33156
39.899,33156
40.000,33156
40.100,33156
40.200,33156
40.301,33157
40.401,33157
40.501,33157
40.601,33158
40.703,33158
40.802,33158
40.902,33158
41.002,33158
41.103,33158
41.203,33158
41.303,33158
41.404,33158
41.504,33159
41.604,33159
41.705,33159
41.805,33159
41.905,33159
42.005,33159
42.106,33159
42.206,33159
42.306,33159
42.406,33159
42.507,33160
42.607,33161
42.707,33161
42.807,33161
42.908,33163
43.008,33164
43.108,33164
43.208,33164
43.309,33164
43.409,33164
43.509,33164
43.609,33164
43.710,33164
43.810,33164
43.910,33165
44.010,33165
44.110,33165
44.210,33165
44.310,33165
44.411,33165
44.511,33165
44.611,33167
44.711,33167
44.812,33167
44.912,33168
45.012,33168
45.112,33168
45.213,33168
45.313,33168
45.413,33168
45.514,33168
45.614,33168
45.714,33169
45.815,33169
45.915,33169
46.015,33169
46.116,33169
46.216,33169
46.316,33169
46.416,33169
46.516,33169
46.617,33169
46.717,33169
46.817,33169
46.917,33170
47.018,33170
47.118,33170
47.218,33171
47.318,33171
47.419,33173
47.519,33173
47.619,33173
47.720,33173
47.820,33173
47.920,33173
48.020,33173
48.121,33173
48.221,33174
48.321,33175
48.421,33175
48.522,33175
48.622,33176
48.722,33176
48.822,33176
48.923,33176
49.023,33176
49.123,33176
49.224,33177
49.324,33177
49.424,33177
49.524,33177
49.625,33177
49.725,33177
49.825,33178
49.925,33178
50.025,33179
50.126,33179
50.225,33179
50.326,33179
50.426,33180
50.526,33180
50.627,33180
50.727,33180
50.827,33180
50.927,33181
51.027,33182
51.128,33182
51.228,33182
51.328,33182
51.429,33183
51.529,33184
51.629,33184
51.730,33185
51.830,33185
51.930,33185
52.030,33185
52.131,33185
52.231,33185
52.331,33185
52.431,33185
52.532,33185
52.632,33185
52.732,33187
52.832,33187
52.932,33187
53.032,33187
53.133,33187
53.233,33187
53.333,33187
53.433,33187
53.533,33187
53.633,33188
53.734,33188
53.834,33188
53.934,33188
54.034,33188
54.135,33189
54.235,33189
54.335,33189
54.436,33189
54.535,33189
54.636,33189
54.736,33189
54.836,33189
54.937,33189
55.037,33189
55.137,33189
55.238,33189
55.338,33190
55.438,33190
55.538,33190
55.638,33190
55.739,33190
55.839,33193
55.939,33193
56.039,33193
56.139,33193
56.240,33194
56.340,33194
56.440,33194
56.540,33194
56.640,33195
56.740,33195
56.841,33195
56.941,33196
57.041,33197
57.141,33197
57.241,33197
57.341,33197
57.441,33197
57.541,33197
57.642,33197
57.742,33197
57.842,33197
57.942,33197
58.043,33197
58.143,33198
58.243,33199
58.343,33199
58.443,33199
58.544,33199
58.644,33199
58.744,33199
58.844,33199
58.944,33199
59.045,33199
59.145,33199
59.245,33199
59.345,33199
59.445,33200
59.546,33200
59.646,33200
59.746,33200
59.846,33200
59.946,33200
60.047,33201
60.147,33202
60.247,33202
60.347,33202
60.447,33202
60.548,33203
60.648,33203
60.748,33203
60.848,33203
60.948,33203
61.049,33203
61.148,33203
61.248,33205
61.349,33205
61.449,33205
61.549,33205
61.650,33205
61.750,33205
61.850,33205
61.950,33205
62.050,33205
62.151,33205
62.251,33205
62.351,33206
62.452,33206
62.551,33206
62.651,33206
62.752,33206
62.852,33206
62.952,33206
63.052,33206
63.152,33207
63.253,33207
63.353,33207
63.453,33207
63.553,33207
63.653,33207
63.753,33208
63.853,33208
63.954,33208
64.054,33208
64.154,33209
64.254,33209
64.354,33209
64.455,33209
64.555,33209
64.655,33211
64.755,33211
64.855,33211
64.955,33211
65.056,33211
65.156,33211
65.256,33211
65.356,33211
65.456,33213
65.557,33213
65.657,33213
65.757,33213
65.857,33213
65.958,33213
66.058,33213
66.158,33213
66.259,33213
66.359,33213
66.459,33213
66.559,33213
66.660,33214
66.760,33215
66.860,33215
66.960,33215
67.061,33215
67.161,33215
67.261,33215
67.361,33215
67.462,33215
67.562,33215
67.662,33215
67.763,33215
67.863,33215
67.963,33215
68.063,33215
68.164,33216
68.264,33216
68.364,33216
68.464,33216
68.565,33216
68.665,33217
68.765,33219
68.865,33219
68.966,33219
69.066,33219
69.166,33219
69.266,33219
69.367,33219
69.467,33219
69.567,33219
69.667,33219
69.768,33220
69.868,33220
69.968,33220
70.069,33220
70.169,33220
70.269,33220
70.369,33220
70.470,33220
70.570,33220
70.670,33220
70.771,33220
70.871,33220
70.971,33221
71.071,33221
71.172,33222
71.272,33222
71.372,33222
71.472,33222
71.573,33222
71.673,33222
71.773,33222
71.873,33222
71.974,33222
72.074,33222
72.174,33222
72.274,33222
72.375,33223
72.475,33223
72.575,33224
72.675,33224
72.776,33225
72.876,33225
72.976,33225
73.076,33226
73.177,33226
73.277,33226
73.377,33226
73.478,33226
73.578,33226
73.678,33226
73.778,33226
73.879,33226
73.979,33227
74.079,33227
74.180,33227
74.280,33227
74.380,33227
74.481,33227
74.581,33227
74.681,33227
74.781,33227
74.881,33227
74.982,33227
75.082,33227
75.182,33227
75.282,33228
75.383,33228
75.483,33228
75.583,33228
75.684,33228
75.784,33228
75.884,33228
75.984,33228
76.085,33228
76.185,33228
76.285,33228
76.385,33228
76.485,33228
76.585,33228
76.685,33229
76.785,33229
76.885,33229
76.986,33229
77.086,33229
77.186,33231
77.286,33231
77.386,33231
77.487,33231
77.587,33231
77.687,33231
77.787,33231
77.887,33231
77.988,33231
78.088,33231
78.188,33231
78.288,33231
78.389,33232
78.489,33232
78.589,33232
78.689,33232
78.789,33232
78.889,33232
78.990,33232
79.090,33232
79.190,33232
79.290,33232
79.391,33232
79.491,33232
79.591,33232
79.691,33233
79.791,33233
79.892,33233
79.992,33234
80.092,33234
80.192,33234
80.293,33234
80.393,33234
80.493,33234
80.593,33234
80.693,33234
80.793,33235
80.894,33235
80.994,33235
81.094,33236
81.194,33236
81.294,33236
81.395,33237
81.495,33238
81.595,33238
81.695,33238
81.795,33238
81.896,33239
81.996,33239
82.096,33239
82.196,33239
82.296,33239
82.396,33239
82.496,33239
82.596,33240
82.697,33241
82.797,33241
82.897,33241
82.997,33241
83.097,33241
83.198,33242
83.298,33242
83.398,33242
83.498,33242
83.598,33242
83.698,33242
83.799,33243
83.899,33243
83.999,33243
84.099,33243
84.199,33244
84.300,33244
84.400,33244
84.500,33244
84.600,33244
84.700,33244
84.801,33244
84.901,33244
85.001,33244
85.101,33244
85.202,33245
85.302,33245
85.402,33246
85.502,33246
85.602,33246
85.702,33247
85.803,33247
85.903,33247
86.003,33247
86.103,33248
86.203,33248
86.304,33248
86.404,33248
86.504,33248
86.604,33248
86.704,33248
86.805,33248
86.905,33249
87.005,33249
87.105,33250
87.205,33250
87.305,33250
87.405,33250
87.505,33250
87.606,33250
87.706,33250
87.806,33250
87.906,33250
88.006,33250
88.107,33250
88.207,33251
88.307,33251
88.407,33251
88.507,33251
88.608,33251
88.708,33251
88.808,33251
88.908,33251
89.008,33251
89.109,33251
89.209,33251
89.309,33252
89.409,33252
89.510,33252
89.610,33252
89.710,33252
89.810,33252
89.910,33253
90.011,33253
90.111,33254
90.211,33255
90.311,33255
90.411,33256
90.512,33256
90.612,33256
90.712,33256
90.812,33256
90.912,33256
91.013,33256
91.113,33257
91.213,33258
91.313,33258
91.413,33258
91.513,33258
91.614,33258
91.714,33258
91.814,33258
91.914,33258
92.014,33258
92.115,33258
92.215,33258
92.315,33258
92.415,33259
92.515,33260
92.616,33260
92.716,33260
92.816,33260
92.916,33260
93.016,33260
93.116,33260
93.217,33260
93.317,33260
93.417,33260
93.517,33260
93.618,33260
93.718,33261
93.818,33261
93.918,33261
94.018,33261
94.119,33261
94.219,33262
94.319,33263
94.419,33263
94.519,33263
94.620,33263
94.720,33264
94.820,33264
94.920,33264
95.020,33264
95.121,33264
95.221,33264
95.321,33264
95.421,33266
95.521,33266
95.622,33266
95.722,33266
95.822,33266
95.922,33266
96.022,33266
96.123,33266
96.223,33266
96.323,33266
96.423,33266
96.523,33266
96.624,33267
96.724,33268
96.824,33268
96.924,33268
97.024,33268
97.125,33268
97.225,33268
97.325,33268
97.425,33268
97.525,33268
97.625,33269
97.726,33269
97.826,33269
97.926,33269
98.026,33270
98.126,33270
98.227,33271
98.327,33271
98.427,33272
98.527,33273
98.627,33273
98.728,33273
98.828,33274
98.928,33274
99.028,33274
99.128,33274
99.229,33274
99.329,33274
99.429,33274
99.529,33274
99.629,33274
99.730,33275
99.830,33276
99.930,33276
100.030,33276
100.130,33276
100.231,33276
100.331,33277
100.431,33277
100.531,33277
100.631,33277
100.732,33277
100.832,33277
100.932,33277
101.032,33279
101.132,33279
101.233,33279
101.333,33279
101.433,33280
101.533,33280
101.633,33280
101.734,33280
101.834,33280
101.934,33280
102.034,33280
102.134,33280
102.235,33280
102.335,33280
102.435,33281
102.535,33282
102.635,33282
102.735,33282
102.836,33283
102.936,33283
103.036,33283
103.136,33283
103.236,33284
103.337,33284
103.437,33284
103.537,33284
103.637,33284
103.737,33284
103.838,33284
103.938,33284
104.038,33286
104.138,33286
104.238,33286
104.339,33286
104.439,33286
104.539,33286
104.639,33287
104.740,33287
104.840,33288
104.940,33288
105.040,33288
105.140,33289
105.241,33289
105.341,33289
105.441,33289
105.541,33289
105.641,33290
105.742,33290
105.842,33290
105.942,33290
106.042,33290
