time,tx_packets
0.002,20500
0.101,20501
0.202,20501
0.301,20502
0.402,20502
0.502,20502
0.602,20502
0.702,20502
0.802,20502
0.903,20502
1.003,20502
1.103,20502
1.204,20502
1.303,20502
1.403,20502
1.504,20502
1.604,20502
1.704,20502
1.805,20502
1.905,20503
2.005,20505
2.105,20505
2.206,20505
2.306,20505
2.406,20505
2.506,20505
2.607,20505
2.707,20505
2.807,20505
2.908,20505
3.008,20505
3.108,20505
3.209,20505
3.309,20505
3.409,20505
3.509,20505
3.609,20505
3.710,20505
3.811,20505
3.910,20505
4.010,20505
4.111,20505
4.212,20505
4.311,20505
4.411,20505
4.513,20507
4.613,20507
4.713,20507
4.813,20507
4.913,20507
5.014,20507
5.115,20507
5.215,20507
5.315,20507
5.415,20507
5.515,20507
5.615,20507
5.715,20507
5.816,20507
5.916,20507
6.017,20507
6.116,20507
6.217,20507
6.317,20511
6.417,20511
6.517,20511
6.617,20511
6.718,20511
6.818,20511
6.918,20511
7.018,20511
7.118,20511
7.219,20511
7.319,20511
7.419,20511
7.520,20511
7.620,20511
7.720,20511
7.820,20511
7.921,20511
8.021,20511
8.121,20511
8.222,20511
8.322,20511
8.422,20511
8.522,20511
8.622,20511
8.723,20511
8.823,20513
8.923,20513
9.024,20513
9.124,20513
9.224,20513
9.324,20513
9.424,20513
9.525,20513
9.625,20513
9.725,20513
9.825,20513
9.925,20513
10.026,20513
10.126,20513
10.226,20513
10.326,20513
10.427,20513
10.527,20514
10.627,20514
10.727,20514
10.827,20514
10.928,20514
11.027,20514
11.127,20514
11.227,20514
11.328,20514
11.428,20514
11.528,20514
11.629,20514
11.728,20514
11.829,20514
11.929,20514
12.029,20514
12.130,20514
12.230,20514
12.330,20514
12.430,20514
12.531,20514
12.631,20514
12.731,20514
12.832,20514
12.932,20516
13.032,20516
13.132,20516
13.232,20516
13.333,20516
13.433,20516
13.534,20516
13.634,20516
13.734,20516
13.834,20516
13.934,20516
14.035,20516
14.135,20516
14.235,20516
14.335,20516
14.436,20516
14.536,20516
14.636,20516
14.736,20516
14.837,20517
14.937,20517
15.037,20517
15.138,20517
15.238,20517
15.338,20517
15.438,20517
15.539,20517
15.639,20517
15.739,20517
15.839,20517
15.940,20517
16.040,20517
16.140,20517
16.240,20517
16.341,20517
16.441,20517
16.541,20517
16.642,20517
16.742,20517
16.842,20517
16.942,20517
17.042,20518
17.143,20518
17.243,20519
17.343,20519
17.444,20519
17.544,20519
17.644,20519
17.744,20519
17.844,20519
17.944,20520
18.044,20520
18.144,20520
18.244,20520
18.345,20520
18.445,20520
18.545,20520
18.645,20520
18.745,20520
18.845,20520
18.946,20523
19.046,20523
19.146,20523
19.246,20523
19.346,20524
19.447,20524
19.547,20524
19.647,20524
19.747,20524
19.847,20524
19.948,20524
20.048,20524
20.148,20524
20.248,20524
20.348,20524
20.451,20524
20.549,20524
20.650,20524
20.750,20524
20.850,20524
20.950,20524
21.051,20524
21.151,20524
21.251,20524
21.351,20524
21.452,20525
21.552,20525
21.652,20525
21.752,20526
21.853,20526
21.954,20526
22.053,20526
22.153,20526
22.254,20526
22.354,20526
22.454,20526
22.554,20526
22.655,20526
22.755,20526
22.855,20526
22.955,20526
23.056,20526
23.156,20526
23.256,20526
23.356,20526
23.457,20528
23.557,20528
23.657,20529
23.758,20529
23.858,20529
23.958,20530
24.058,20530
24.159,20530
24.259,20530
24.359,20530
24.459,20530
24.560,20530
24.660,20530
24.760,20530
24.861,20530
24.961,20530
25.061,20530
25.161,20530
25.262,20530
25.362,20530
25.462,20530
25.563,20531
25.663,20531
25.763,20531
25.863,20531
25.964,20532
26.064,20532
26.164,20532
26.264,20532
26.364,20532
26.465,20532
26.565,20532
26.665,20532
26.765,20532
26.865,20532
26.966,20532
27.066,20532
27.166,20532
27.267,20532
27.367,20532
27.467,20532
27.567,20532
27.668,20532
27.768,20535
27.868,20536
27.968,20536
28.069,20536
28.169,20536
28.269,20536
28.370,20536
28.470,20536
28.570,20536
28.670,20536
28.771,20536
28.871,20536
28.971,20536
29.072,20536
29.172,20536
29.272,20536
29.372,20536
29.473,20536
29.573,20536
29.673,20536
29.773,20537
29.874,20537
29.974,20537
30.074,20537
30.174,20537
30.275,20538
30.375,20538
30.475,20538
30.575,20538
30.676,20538
30.776,20538
30.876,20538
30.976,20538
31.077,20538
31.177,20538
31.277,20538
31.377,20538
31.478,20538
31.578,20538
31.678,20538
31.779,20538
31.879,20538
31.979,20539
32.080,20539
32.180,20539
32.280,20539
32.380,20539
32.481,20539
32.581,20539
32.681,20539
32.781,20539
32.881,20539
32.982,20539
33.082,20539
33.182,20539
33.282,20539
33.383,20539
33.483,20539
33.583,20539
33.684,20539
33.784,20539
33.884,20539
33.984,20540
34.084,20540
34.185,20540
34.285,20541
34.385,20541
34.486,20541
34.586,20541
34.686,20541
34.787,20541
34.887,20541
34.987,20541
35.087,20541
35.188,20541
35.288,20541
35.388,20541
35.488,20541
35.589,20541
35.689,20541
35.789,20541
35.890,20541
35.990,20541
36.090,20543
36.190,20543
36.290,20543
36.391,20543
36.491,20544
36.591,20544
36.692,20544
36.792,20544
36.892,20544
36.992,20544
37.093,20544
37.193,20544
37.293,20544
37.393,20544
37.494,20544
37.594,20545
37.694,20545
37.795,20545
37.895,20545
37.995,20545
38.095,20545
38.196,20546
38.296,20546
38.396,20546
38.497,20546
38.596,20546
38.697,20547
38.797,20547
38.897,20547
38.997,20547
39.098,20547
39.198,20547
39.298,20547
39.398,20547
39.498,20547
39.599,20547
39.699,20547
39.799,20547
39.899,20547
40.000,20547
40.100,20550
40.200,20550
40.300,20550
40.401,20550
40.501,20552
40.601,20552
40.702,20553
40.802,20553
40.902,20553
41.003,20553
41.103,20553
41.203,20553
41.303,20553
41.404,20553
41.504,20554
41.604,20554
41.705,20554
41.805,20554
41.905,20554
42.005,20554
42.106,20554
42.206,20554
42.306,20554
42.406,20554
42.507,20555
42.607,20555
42.707,20555
42.808,20555
42.908,20556
43.008,20556
43.108,20556
43.209,20556
43.309,20556
43.409,20556
43.509,20556
43.609,20556
43.710,20556
43.810,20556
43.910,20556
44.010,20556
44.110,20556
44.211,20556
44.311,20556
44.411,20556
44.511,20556
44.611,20556
44.711,20558
44.812,20558
44.912,20558
45.012,20558
45.112,20558
45.213,20558
45.313,20558
45.413,20558
45.514,20558
45.614,20558
45.714,20558
45.815,20558
45.915,20558
46.015,20558
46.115,20558
46.216,20558
46.316,20558
46.416,20558
46.516,20558
46.617,20558
46.717,20558
46.817,20558
46.917,20559
47.018,20559
47.118,20559
47.218,20559
47.319,20559
47.419,20560
47.519,20560
47.619,20560
47.720,20560
47.820,20560
47.920,20560
48.020,20560
48.121,20560
48.221,20560
48.321,20560
48.421,20560
48.521,20560
48.622,20560
48.722,20560
48.822,20562
48.923,20562
49.023,20562
49.123,20562
49.224,20563
49.324,20563
49.424,20563
49.524,20563
