TO_CLIENT
1461729328
time,tx_packets
0.001,15578
0.101,15583
0.201,15588
0.301,15593
0.402,15597
0.502,15603
0.602,15608
0.702,15613
0.802,15618
0.902,15623
1.003,15628
1.103,15633
1.203,15638
1.303,15643
1.403,15648
1.504,15653
1.604,15658
1.704,15663
1.804,15668
1.904,15673
2.004,15678
2.105,15683
2.205,15688
2.305,15693
2.405,15698
2.506,15703
2.606,15708
2.706,15713
2.806,15718
2.906,15723
3.007,15728
3.107,15733
3.207,15738
3.307,15743
3.408,15748
3.508,15753
3.608,15758
3.708,15763
3.808,15768
3.908,15770
4.009,15770
4.109,15770
4.209,15770
4.309,15770
4.409,15770
4.510,15770
4.610,15770
4.710,15770
4.810,15770
4.910,15770
5.011,15770
5.111,15770
5.211,15770
5.312,15770
5.411,15770
5.512,15770
5.612,15770
5.712,15770
5.812,15770
5.912,15770
6.013,15770
6.113,15770
6.213,15770
6.313,15770
6.414,15770
6.514,15770
6.614,15771
6.714,15771
6.814,15771
6.915,15771
7.015,15771
7.116,15771
7.216,15771
7.316,15771
7.416,15771
7.516,15771
7.616,15771
7.717,15771
7.817,15771
7.917,15771
8.018,15771
8.118,15771
8.218,15771
8.319,15771
8.418,15771
8.519,15771
8.619,15771
8.719,15771
8.820,15771
8.920,15771
9.020,15771
9.120,15771
9.220,15771
9.321,15771
9.421,15771
9.521,15771
9.621,15771
9.721,15771
9.822,15771
9.922,15771
10.022,15771
10.123,15771
10.223,15771
10.323,15771
10.424,15771
10.524,15771
10.624,15771
10.724,15771
10.824,15771
10.925,15771
11.025,15771
11.125,15771
11.225,15771
11.326,15771
11.426,15771
11.526,15771
11.626,15771
11.727,15771
11.827,15771
11.927,15771
12.027,15771
12.128,15771
12.228,15771
12.328,15771
12.428,15771
12.529,15771
12.629,15771
12.729,15771
12.829,15771
12.930,15771
13.030,15771
13.130,15771
13.231,15771
13.331,15771
13.431,15771
13.531,15771
13.631,15771
13.732,15771
13.832,15771
13.932,15771
14.033,15771
14.133,15771
14.233,15771
14.333,15771
14.434,15771
14.534,15771
14.634,15771
14.734,15771
14.835,15771
14.935,15771
15.035,15771
15.136,15771
15.236,15771
15.336,15771
15.436,15771
15.536,15771
15.637,15771
15.737,15771
15.837,15771
15.938,15771
16.038,15771
16.138,15771
16.238,15771
16.339,15771
16.439,15771
16.539,15771
16.640,15771
16.740,15771
16.840,15771
16.940,15771
17.041,15771
17.141,15771
17.241,15771
17.341,15771
17.442,15771
17.542,15771
17.642,15771
17.742,15771
17.843,15771
17.943,15771
18.043,15771
18.144,15771
18.247,15771
18.344,15771
18.444,15771
18.545,15771
18.645,15771
18.745,15771
18.845,15771
18.946,15771
19.046,15771
19.146,15771
19.247,15771
19.347,15771
19.447,15771
19.547,15771
19.647,15771
19.749,15771
19.848,15771
19.948,15771
20.048,15771
20.149,15771
20.252,15771
20.349,15771
20.449,15771
20.550,15771
20.650,15771
20.750,15771
20.850,15771
20.950,15771
21.051,15771
21.151,15771
21.252,15771
21.352,15771
21.452,15771
21.552,15771
21.652,15771
21.752,15771
21.853,15771
21.953,15771
22.053,15771
22.154,15771
22.254,15771
22.354,15771
22.454,15771
22.555,15771
22.655,15771
22.755,15771
22.855,15771
22.956,15771
23.056,15771
23.156,15771
23.257,15771
23.357,15771
23.457,15771
23.557,15771
23.657,15771
23.758,15771
23.858,15771
23.958,15771
24.058,15771
24.159,15771
24.259,15771
24.360,15771
24.460,15771
24.560,15771
24.660,15771
24.760,15771
24.861,15771
24.961,15771
25.061,15771
25.161,15771
25.262,15771
25.362,15771
25.462,15771
25.562,15771
25.662,15771
25.762,15771
25.863,15771
25.963,15771
26.063,15771
26.164,15771
26.264,15771
26.364,15771
26.464,15771
26.565,15771
26.665,15771
26.765,15771
26.865,15771
26.965,15771
27.066,15771
27.166,15771
27.266,15771
27.366,15771
27.467,15771
27.567,15771
27.667,15771
27.768,15771
27.867,15771
27.968,15771
28.068,15771
28.169,15771
28.269,15771
28.369,15771
28.469,15771
28.570,15771
28.670,15771
28.770,15771
28.870,15771
28.971,15771
29.071,15771
29.172,15771
29.272,15771
29.372,15771
29.472,15771
29.573,15771
29.672,15771
29.773,15771
29.873,15771
29.973,15771
30.074,15771
30.174,15771
30.274,15771
30.374,15771
30.475,15771
30.575,15771
30.675,15771
30.775,15771
30.876,15771
30.976,15771
31.076,15771
31.177,15771
31.276,15771
31.377,15771
31.477,15771
31.577,15771
31.678,15771
31.778,15771
31.878,15771
31.978,15771
32.078,15771
32.179,15771
32.279,15771
32.379,15772
32.480,15772
32.580,15772
32.680,15772
32.781,15772
32.881,15772
32.981,15772
33.081,15772
33.181,15772
33.281,15772
33.381,15772
33.482,15772
33.582,15772
33.682,15772
33.782,15772
33.882,15772
33.982,15772
34.083,15772
34.183,15772
34.284,15772
34.384,15772
34.484,15772
34.585,15772
34.685,15772
34.785,15772
34.885,15772
34.986,15772
35.086,15772
35.186,15772
35.286,15772
35.387,15772
35.487,15772
35.587,15772
35.687,15772
35.788,15772
35.888,15772
35.988,15772
36.088,15772
36.189,15772
36.289,15772
36.389,15772
36.490,15772
36.590,15772
36.690,15772
36.790,15772
36.890,15772
36.991,15772
37.091,15772
37.191,15772
37.291,15772
37.391,15772
37.492,15772
37.592,15772
37.692,15772
37.792,15772
37.893,15772
37.993,15772
38.093,15772
38.194,15772
38.294,15772
38.394,15772
38.494,15772
38.594,15772
38.695,15772
38.795,15772
38.896,15772
38.996,15772
39.096,15772
39.196,15772
39.297,15772
39.397,15772
39.497,15772
39.597,15772
39.698,15772
39.798,15772
39.898,15772
39.999,15772
40.099,15772
40.199,15772
40.300,15772
40.400,15772
40.500,15772
40.600,15772
40.700,15772
40.801,15772
40.901,15772
41.001,15772
41.101,15772
41.202,15772
41.302,15772
41.402,15772
41.502,15772
41.602,15772
41.702,15772
41.803,15772
41.903,15772
42.003,15772
42.103,15772
42.203,15772
42.304,15772
42.404,15772
42.504,15772
42.604,15772
42.705,15772
42.805,15772
42.905,15772
43.006,15772
43.106,15772
43.206,15772
43.306,15772
43.407,15772
43.507,15772
43.607,15772
43.707,15772
43.808,15772
43.908,15772
44.008,15772
44.108,15772
44.209,15772
44.308,15772
44.409,15772
44.509,15772
44.610,15772
44.710,15772
44.810,15772
44.910,15772
45.010,15772
45.111,15772
45.211,15772
45.311,15772
45.412,15772
45.512,15772
45.612,15772
45.712,15772
45.813,15772
45.913,15772
46.013,15772
46.114,15772
46.214,15772
46.314,15772
46.414,15772
46.515,15772
46.615,15772
46.715,15772
46.816,15772
46.916,15772
47.016,15772
47.116,15772
47.216,15772
47.317,15772
47.417,15772
47.517,15772
47.618,15772
47.718,15772
47.818,15772
47.918,15772
48.019,15772
48.119,15772
48.219,15772
48.319,15772
48.420,15772
48.520,15772
48.620,15772
48.721,15772
48.821,15772
48.921,15772
49.021,15772
49.122,15772
49.222,15772
49.322,15772
49.422,15772
49.522,15772
49.623,15772
49.723,15772
49.823,15772
49.924,15772
50.024,15772
50.124,15772
50.224,15772
50.324,15772
50.425,15772
50.525,15772
50.625,15772
50.725,15772
50.826,15772
50.926,15772
51.026,15772
51.127,15772
51.227,15772
51.327,15772
51.428,15772
51.528,15772
51.628,15772
51.728,15772
51.829,15772
51.929,15772
52.029,15772
52.129,15772
52.230,15772
52.330,15772
52.430,15772
52.530,15772
52.631,15772
52.731,15772
52.831,15772
52.931,15772
53.032,15772
53.132,15772
53.232,15772
53.332,15772
53.432,15772
53.533,15772
53.633,15772
53.733,15772
53.834,15772
53.934,15772
54.034,15772
54.134,15772
54.234,15772
54.335,15772
54.435,15772
54.535,15772
54.636,15772
54.736,15772
54.836,15772
54.936,15772
55.037,15772
55.137,15772
55.237,15772
55.337,15772
55.438,15772
55.538,15772
55.638,15772
55.739,15772
55.839,15772
55.939,15772
56.039,15772
