TO_UIUC
1461729328
time,tx_packets
0.001,50338
0.101,50348
0.201,50358
0.301,50368
0.401,50378
0.501,50389
0.602,50399
0.702,50409
0.802,50419
0.902,50430
1.002,50440
1.103,50450
1.203,50460
1.303,50470
1.403,50480
1.504,50490
1.604,50500
1.704,50510
1.804,50520
1.904,50530
2.005,50540
2.105,50550
2.205,50560
2.305,50571
2.405,50581
2.505,50590
2.606,50601
2.706,50611
2.806,50621
2.906,50631
3.006,50641
3.107,50651
3.207,50661
3.307,50671
3.407,50685
3.508,50695
3.608,50705
3.708,50715
3.808,50725
3.908,50732
4.008,50737
4.108,50739
4.209,50739
4.309,50739
4.409,50739
4.509,50739
4.610,50739
4.710,50739
4.810,50740
4.910,50740
5.010,50740
5.111,50740
5.211,50740
5.311,50740
5.411,50740
5.511,50740
5.612,50740
5.712,50740
5.812,50741
5.912,50741
6.013,50741
6.113,50741
6.213,50741
6.313,50741
6.413,50741
6.514,50741
6.614,50741
6.714,50741
6.814,50741
6.914,50741
7.014,50741
7.114,50741
7.215,50741
7.315,50741
7.416,50741
7.516,50741
7.616,50744
7.716,50744
7.817,50745
7.917,50745
8.017,50745
8.117,50745
8.217,50745
8.318,50745
8.418,50745
8.518,50747
8.618,50748
8.718,50748
8.819,50748
8.919,50748
9.019,50748
9.120,50749
9.220,50749
9.320,50749
9.420,50749
9.521,50749
9.620,50749
9.721,50749
9.821,50749
9.921,50749
10.022,50749
10.122,50749
10.223,50749
10.322,50749
10.423,50749
10.523,50749
10.623,50749
10.723,50749
10.824,50749
10.924,50749
11.024,50749
11.124,50749
11.225,50749
11.325,50749
11.425,50749
11.526,50749
11.626,50749
11.726,50749
11.826,50749
11.927,50750
12.027,50751
12.127,50751
12.227,50751
12.327,50751
12.428,50751
12.528,50751
12.628,50752
12.728,50752
12.829,50752
12.929,50752
13.029,50752
13.129,50752
13.230,50753
13.330,50753
13.431,50753
13.531,50753
13.631,50753
13.731,50753
13.832,50753
13.932,50753
14.032,50753
14.132,50753
14.232,50753
14.333,50753
14.433,50753
14.533,50753
14.633,50753
14.734,50753
14.834,50753
14.934,50753
15.035,50753
15.135,50753
15.235,50753
15.335,50753
15.436,50753
15.536,50753
15.636,50753
15.736,50753
15.837,50753
15.937,50753
16.037,50753
16.137,50753
16.237,50754
16.338,50755
16.438,50755
16.538,50755
16.639,50755
16.739,50755
16.839,50755
16.940,50755
17.040,50755
17.140,50755
17.240,50755
17.341,50755
17.441,50755
17.541,50755
17.641,50758
17.742,50758
17.842,50758
17.942,50758
18.043,50758
18.143,50758
18.245,50759
18.343,50759
18.444,50759
18.544,50759
18.644,50759
18.744,50759
18.845,50759
18.945,50759
19.045,50759
19.145,50759
19.246,50759
19.346,50759
19.446,50759
19.546,50759
19.647,50759
19.748,50759
19.847,50759
19.948,50759
20.048,50759
20.148,50759
20.248,50759
20.348,50759
20.449,50759
20.549,50759
20.649,50761
20.749,50761
20.850,50761
20.950,50761
21.050,50761
21.150,50761
21.251,50761
21.351,50761
21.451,50761
21.551,50761
21.652,50761
21.752,50762
21.852,50762
21.952,50763
22.053,50764
22.153,50764
22.253,50764
22.353,50764
22.454,50764
22.554,50764
22.654,50764
22.755,50764
22.855,50764
22.955,50764
23.055,50764
23.155,50764
23.256,50764
23.356,50764
23.457,50765
23.557,50765
23.657,50765
23.757,50765
23.858,50765
23.958,50765
24.058,50765
24.158,50765
24.259,50765
24.359,50765
24.459,50765
24.559,50765
24.659,50765
24.760,50767
24.860,50767
24.960,50767
25.060,50767
25.161,50767
25.261,50767
25.361,50767
25.461,50767
25.561,50767
25.661,50767
25.762,50767
25.862,50767
25.963,50768
26.063,50768
26.163,50768
26.263,50769
26.364,50769
26.464,50769
26.564,50769
26.664,50769
26.764,50769
26.865,50769
26.965,50769
27.065,50769
27.165,50769
27.266,50769
27.366,50769
27.466,50769
27.566,50769
27.667,50769
27.767,50769
27.867,50769
27.967,50769
28.068,50769
28.168,50769
28.268,50769
28.369,50769
28.469,50769
28.569,50769
28.669,50769
28.770,50769
28.870,50770
28.970,50771
29.071,50771
29.171,50771
29.271,50771
29.371,50771
29.472,50771
29.572,50771
29.672,50771
29.772,50771
29.873,50771
29.973,50771
30.073,50772
30.173,50773
30.274,50774
30.374,50774
30.474,50775
30.575,50775
30.675,50775
30.775,50775
30.875,50775
30.975,50775
31.076,50775
31.176,50775
31.276,50775
31.376,50775
31.477,50775
31.577,50775
31.677,50775
31.777,50775
31.878,50775
31.978,50775
32.078,50775
32.178,50775
32.278,50775
32.379,50775
32.479,50775
32.579,50775
32.680,50775
32.780,50775
32.881,50775
32.980,50775
33.080,50776
33.181,50776
33.281,50776
33.381,50776
33.481,50777
33.582,50777
33.682,50777
33.782,50777
33.882,50777
33.982,50777
34.082,50777
34.183,50777
34.283,50777
34.383,50777
34.483,50777
34.584,50779
34.684,50779
34.784,50779
34.885,50779
34.985,50779
35.085,50779
35.186,50779
35.286,50779
35.386,50779
35.486,50779
35.586,50779
35.687,50779
35.787,50779
35.887,50779
35.988,50779
36.088,50779
36.188,50779
36.288,50779
36.388,50779
36.489,50779
36.589,50779
36.689,50779
36.790,50779
36.890,50779
36.990,50779
37.090,50779
37.191,50779
37.291,50779
37.391,50780
37.491,50781
37.592,50781
37.692,50781
37.792,50782
37.892,50782
