TO_UM
1461729328
time,tx_packets
0.002,29445
0.101,29445
0.201,29445
0.301,29445
0.402,29445
0.502,29447
0.602,29447
0.702,29447
0.802,29447
0.902,29448
1.003,29448
1.103,29448
1.203,29448
1.303,29448
1.403,29448
1.504,29448
1.604,29448
1.704,29448
1.804,29448
1.904,29448
2.005,29448
2.105,29448
2.205,29448
2.305,29448
2.405,29448
2.506,29448
2.606,29448
2.706,29448
2.806,29448
2.906,29448
3.007,29448
3.107,29448
3.207,29448
3.307,29448
3.408,29449
3.508,29450
3.608,29454
3.708,29454
3.808,29454
3.908,29454
4.008,29454
4.109,29454
4.209,29454
4.309,29454
4.409,29454
4.510,29454
4.610,29454
4.710,29454
4.810,29455
4.910,29455
5.011,29455
5.111,29455
5.211,29457
5.311,29457
5.412,29457
5.512,29457
5.612,29457
5.712,29457
5.812,29457
5.913,29457
6.013,29458
6.113,29458
6.213,29458
6.314,29458
6.414,29458
6.514,29458
6.614,29458
6.715,29458
6.815,29458
6.915,29458
7.016,29458
7.116,29458
7.216,29458
7.316,29458
7.416,29458
7.517,29458
7.617,29459
7.717,29460
7.817,29461
7.918,29461
8.018,29461
8.118,29461
8.219,29461
8.319,29461
8.419,29461
8.519,29461
8.619,29461
8.719,29461
8.819,29461
8.920,29461
9.020,29461
9.120,29462
9.221,29462
9.321,29462
9.421,29464
9.521,29464
9.622,29464
9.722,29464
9.822,29464
9.922,29464
10.023,29464
10.123,29464
10.223,29464
10.324,29464
10.424,29464
10.524,29464
10.624,29464
10.724,29464
10.825,29464
10.925,29464
11.025,29464
11.126,29464
11.226,29464
11.326,29464
11.426,29464
11.527,29464
11.627,29464
11.727,29464
11.827,29464
11.927,29466
12.028,29467
12.128,29467
12.228,29467
12.329,29469
12.429,29470
12.529,29471
12.629,29471
12.730,29471
12.830,29471
12.930,29471
13.030,29471
13.131,29471
13.231,29472
13.331,29472
13.431,29472
13.531,29472
13.631,29472
13.732,29473
13.832,29473
13.932,29473
14.033,29473
14.133,29474
14.233,29474
14.334,29474
14.433,29474
14.534,29474
14.634,29474
14.734,29474
14.834,29474
14.935,29474
15.035,29474
15.135,29474
15.236,29474
15.336,29474
15.436,29474
15.537,29474
15.637,29474
15.737,29474
15.837,29474
15.937,29474
16.038,29474
16.138,29476
16.239,29477
16.339,29477
16.439,29477
16.539,29477
16.639,29477
16.739,29477
16.840,29477
16.940,29477
17.041,29477
17.141,29477
17.241,29477
17.341,29477
17.441,29477
17.542,29477
17.642,29478
17.742,29478
17.842,29478
17.943,29478
18.043,29479
18.143,29479
18.245,29479
18.344,29479
18.444,29479
18.545,29480
18.645,29480
18.745,29480
18.845,29480
18.946,29480
19.046,29480
19.146,29480
19.246,29480
19.347,29480
19.447,29480
19.547,29481
19.648,29481
19.748,29481
19.848,29481
19.948,29481
20.049,29481
20.149,29481
20.249,29481
20.349,29482
20.449,29483
20.550,29484
20.650,29484
20.750,29484
20.850,29484
20.951,29487
21.051,29487
21.151,29487
21.252,29487
21.352,29487
21.452,29487
21.552,29487
21.652,29487
21.753,29487
21.853,29487
21.953,29487
22.053,29488
22.154,29488
22.254,29489
22.354,29489
22.454,29489
22.555,29489
22.655,29489
22.755,29489
22.855,29489
22.956,29489
23.056,29490
23.156,29490
23.257,29490
23.357,29490
23.457,29491
23.558,29491
23.658,29491
23.758,29491
23.858,29491
23.959,29491
24.059,29491
24.159,29491
24.259,29491
24.360,29491
24.460,29491
24.560,29491
24.660,29492
24.761,29492
24.861,29493
24.961,29493
25.061,29493
25.161,29493
25.262,29493
25.362,29498
25.462,29499
25.562,29499
25.662,29500
25.763,29500
25.863,29500
25.963,29500
26.064,29500
26.164,29500
26.264,29501
26.364,29501
26.465,29502
26.565,29502
26.665,29502
26.765,29502
26.865,29502
26.966,29502
27.066,29502
27.166,29503
27.266,29503
27.367,29503
27.467,29503
27.567,29503
27.667,29503
