time,rx_packets
0.001,26390
0.101,26395
0.201,26400
0.301,26405
0.402,26410
0.502,26415
0.602,26420
0.702,26426
0.802,26431
0.903,26436
1.003,26441
1.103,26446
1.203,26451
1.303,26456
1.404,26461
1.504,26466
1.604,26471
1.704,26476
1.804,26481
1.905,26486
2.005,26491
2.105,26496
2.205,26501
2.305,26506
2.406,26511
2.506,26516
2.606,26521
2.706,26526
2.806,26531
2.907,26536
3.007,26541
3.107,26546
3.207,26551
3.308,26556
3.408,26561
3.508,26566
3.608,26571
3.708,26576
3.809,26581
3.909,26586
4.009,26591
4.109,26596
4.209,26601
4.310,26606
4.410,26611
4.510,26616
4.610,26621
4.711,26626
4.811,26631
4.911,26633
5.011,26641
5.112,26646
5.212,26651
5.312,26656
5.412,26661
5.513,26666
5.613,26671
5.713,26676
5.814,26681
5.914,26686
6.014,26691
6.115,26696
6.215,26701
6.315,26706
6.416,26711
6.516,26716
6.616,26721
6.716,26726
6.816,26731
6.916,26736
7.017,26741
7.117,26746
7.217,26751
7.317,26756
7.418,26761
7.518,26766
7.618,26771
7.719,26776
7.819,26781
7.919,26786
8.019,26791
8.120,26796
8.220,26801
8.320,26806
8.421,26811
8.521,26816
8.621,26821
8.721,26826
8.822,26831
8.922,26836
9.022,26842
9.122,26847
9.223,26852
9.323,26857
9.423,26862
9.523,26867
9.624,26872
9.724,26877
9.824,26882
9.924,26887
10.025,26892
10.125,26897
10.225,26902
10.325,26907
10.426,26912
10.526,26917
10.626,26922
10.726,26927
10.827,26932
10.927,26937
11.027,26942
11.128,26947
11.228,26952
11.328,26957
11.428,26962
11.529,26967
11.629,26972
11.729,26977
11.830,26982
11.930,26987
12.030,26992
12.131,26997
12.231,27002
12.331,27007
12.431,27012
12.531,27017
12.632,27022
12.732,27027
12.833,27032
12.933,27037
13.033,27042
13.133,27047
13.234,27052
13.334,27057
13.434,27062
13.534,27067
13.634,27072
13.734,27077
13.835,27082
13.935,27087
14.035,27092
14.136,27097
14.236,27102
14.336,27107
14.436,27112
14.537,27117
14.637,27122
14.737,27127
14.837,27132
14.938,27137
15.038,27142
15.138,27147
15.239,27152
15.339,27157
15.439,27162
15.539,27167
15.640,27172
15.740,27177
15.840,27182
15.941,27187
16.041,27192
16.141,27197
16.241,27202
16.341,27207
16.442,27212
16.542,27217
16.642,27223
16.743,27228
16.843,27233
16.943,27238
17.043,27243
17.143,27248
17.244,27253
17.344,27258
17.444,27263
17.545,27268
17.645,27273
17.745,27278
17.845,27283
17.946,27288
18.046,27293
18.146,27298
18.247,27303
18.347,27308
18.447,27313
18.547,27318
18.647,27323
18.748,27328
18.848,27333
18.948,27338
19.048,27343
19.148,27348
19.249,27353
19.349,27358
19.449,27363
19.550,27368
19.650,27373
19.750,27378
19.850,27383
19.951,27388
20.051,27393
20.151,27397
20.251,27403
20.352,27408
20.452,27413
20.552,27418
20.652,27423
20.753,27428
20.853,27433
20.953,27438
21.054,27443
21.154,27448
21.254,27453
21.354,27458
21.455,27463
21.555,27468
21.655,27473
21.756,27478
21.856,27483
21.956,27488
22.056,27493
22.157,27498
22.257,27503
22.357,27508
22.457,27513
22.558,27518
22.658,27523
22.758,27528
22.859,27533
22.959,27538
23.059,27543
23.159,27548
23.260,27553
23.360,27558
23.460,27563
23.560,27568
23.660,27573
23.761,27578
23.861,27583
23.961,27588
24.061,27593
24.162,27598
24.262,27603
24.362,27608
24.463,27614
24.563,27619
24.663,27624
24.763,27629
24.864,27634
24.964,27639
25.064,27644
25.164,27648
25.265,27654
25.365,27659
25.465,27664
25.565,27669
25.666,27674
25.766,27679
25.866,27684
25.966,27689
26.067,27694
26.167,27699
26.267,27704
26.367,27709
26.468,27714
26.568,27719
26.668,27724
26.768,27729
26.869,27734
26.969,27739
27.069,27744
27.170,27749
27.270,27754
27.370,27759
27.471,27764
27.571,27769
27.671,27774
27.771,27779
27.871,27784
27.972,27789
28.072,27794
28.172,27799
28.273,27804
28.373,27809
28.473,27814
28.573,27819
28.674,27824
28.774,27829
28.874,27834
28.974,27839
29.075,27844
29.175,27849
29.275,27854
29.376,27859
29.476,27864
29.576,27869
29.676,27874
29.777,27879
29.877,27884
29.977,27889
30.077,27894
30.178,27899
30.278,27905
30.378,27910
30.479,27915
30.579,27920
30.679,27925
30.779,27930
30.879,27935
30.979,27940
31.080,27945
31.180,27950
31.280,27955
31.380,27960
31.481,27965
31.581,27970
31.681,27975
31.781,27980
31.882,27985
31.982,27990
32.082,27995
32.182,28001
32.282,28006
32.383,28011
32.483,28016
32.583,28021
32.683,28026
32.784,28031
32.884,28036
32.984,28041
33.084,28046
33.185,28051
33.285,28056
33.385,28061
33.486,28066
33.586,28071
33.686,28076
33.786,28081
33.889,28086
33.987,28091
34.087,28096
34.187,28101
34.287,28106
34.388,28111
34.487,28116
34.588,28121
34.688,28126
34.789,28131
34.889,28136
34.989,28141
35.089,28146
35.189,28151
35.289,28156
35.390,28161
35.490,28166
35.590,28171
35.690,28176
35.790,28181
35.891,28186
35.991,28191
36.091,28196
36.192,28201
36.292,28206
36.392,28211
36.492,28216
36.593,28221
36.693,28226
36.793,28231
36.893,28236
36.994,28241
37.094,28246
37.194,28251
37.294,28256
37.395,28261
37.495,28266
37.595,28271
37.695,28276
37.795,28281
37.896,28286
37.996,28291
38.096,28296
38.196,28301
38.297,28306
38.397,28311
38.497,28316
38.597,28321
38.697,28326
