TO_UIUC
1460873497
time,tx_packets
0.001,54798
0.101,54808
0.201,54818
0.301,54828
0.402,54838
0.502,54848
0.602,54860
0.702,54871
0.802,54882
0.903,54892
1.003,54902
1.103,54912
1.203,54922
1.303,54932
1.404,54942
1.504,54952
1.604,54962
1.704,54973
1.804,54983
1.905,54995
2.005,55005
2.105,55015
2.205,55025
2.306,55035
2.406,55045
2.506,55055
2.606,55065
2.706,55075
2.807,55086
2.907,55096
3.007,55106
3.107,55116
3.207,55127
3.308,55137
3.408,55147
3.508,55157
3.608,55168
3.708,55178
3.809,55188
3.909,55198
4.009,55203
4.110,55208
4.209,55208
4.310,55208
4.410,55208
4.510,55208
4.610,55208
4.711,55208
4.811,55208
4.911,55210
5.012,55211
5.112,55211
5.212,55211
5.312,55211
5.412,55211
5.513,55211
5.613,55211
5.714,55211
5.813,55211
5.914,55212
6.014,55212
6.114,55213
6.215,55213
6.315,55213
6.415,55213
6.516,55213
6.616,55213
6.716,55213
6.816,55214
6.916,55214
7.017,55214
7.117,55214
7.217,55215
7.318,55215
7.418,55215
7.519,55215
7.618,55215
7.719,55215
7.819,55215
7.919,55215
8.019,55215
8.120,55215
8.220,55215
8.320,55215
8.420,55215
8.521,55215
8.621,55215
8.722,55215
8.822,55215
8.922,55215
9.022,55215
9.123,55215
9.223,55216
9.323,55216
9.423,55217
9.524,55217
9.624,55217
9.724,55217
9.824,55217
9.924,55217
10.025,55217
10.125,55217
10.225,55217
10.325,55218
10.426,55218
10.526,55218
10.626,55218
10.727,55218
10.827,55219
10.927,55219
11.028,55219
11.128,55219
11.228,55219
11.328,55219
11.428,55219
11.529,55220
11.629,55220
11.729,55220
11.829,55220
11.930,55220
12.030,55220
12.131,55220
12.231,55220
12.331,55220
12.431,55220
12.531,55220
12.632,55220
12.732,55220
12.833,55220
12.933,55220
13.033,55220
13.133,55220
13.233,55220
13.333,55220
13.434,55220
13.534,55221
13.634,55222
13.735,55223
13.835,55223
13.935,55223
14.035,55223
14.136,55223
14.236,55223
14.336,55223
14.436,55223
14.537,55223
14.637,55223
14.738,55224
14.837,55224
