TO_UM
1460873497
time,tx_packets
0.001,38464
0.101,38464
0.201,38464
0.301,38464
0.401,38464
0.501,38464
0.602,38464
0.702,38464
0.802,38464
0.902,38464
1.003,38464
1.103,38464
1.203,38464
1.303,38464
1.403,38465
1.504,38465
1.604,38465
1.704,38465
1.804,38465
1.905,38466
2.005,38468
2.105,38468
2.205,38468
2.305,38468
2.405,38468
2.506,38468
2.606,38468
2.706,38468
2.806,38468
2.906,38468
3.007,38468
3.107,38468
3.207,38475
3.307,38475
3.408,38475
3.508,38475
3.608,38475
3.708,38476
3.808,38476
3.908,38476
4.009,38477
4.109,38477
4.209,38477
4.309,38477
4.409,38477
4.510,38477
4.610,38477
4.710,38477
4.811,38477
4.911,38477
5.011,38477
5.111,38477
5.211,38477
5.312,38477
5.412,38477
5.512,38478
5.613,38478
5.713,38478
5.813,38478
5.914,38478
6.014,38478
6.114,38479
6.215,38480
6.315,38480
6.414,38480
6.515,38480
6.615,38480
6.716,38480
6.816,38480
6.916,38480
7.016,38480
7.117,38480
7.217,38480
7.317,38480
7.418,38480
7.517,38480
7.618,38483
7.718,38483
7.818,38483
7.919,38483
8.019,38484
8.119,38484
8.220,38484
8.320,38484
8.420,38485
8.520,38485
8.620,38485
8.720,38485
8.821,38485
8.922,38485
9.022,38485
9.122,38485
9.222,38485
9.323,38485
9.423,38485
9.523,38485
9.623,38485
9.724,38485
9.824,38486
9.924,38486
10.025,38486
10.125,38486
10.225,38486
10.325,38486
10.425,38486
10.526,38487
10.626,38487
10.726,38487
10.826,38488
10.927,38488
11.027,38488
11.127,38489
11.228,38489
11.328,38489
11.428,38489
11.528,38489
11.628,38489
11.729,38489
11.829,38489
11.929,38493
12.030,38493
12.130,38493
12.230,38493
12.330,38494
12.431,38494
12.531,38494
12.631,38495
12.732,38495
12.832,38495
12.932,38495
13.032,38495
13.132,38495
13.233,38495
13.333,38495
13.433,38495
13.533,38495
13.634,38495
13.733,38495
13.834,38495
13.934,38495
14.035,38496
14.135,38496
14.235,38496
14.336,38496
14.436,38496
14.536,38496
14.637,38496
14.736,38496
14.837,38497
14.938,38497
15.038,38497
15.138,38498
15.238,38498
15.338,38498
15.439,38498
15.539,38498
15.639,38498
15.739,38498
15.840,38498
15.940,38498
16.040,38498
16.140,38498
16.241,38498
16.341,38499
16.441,38500
16.542,38500
16.642,38500
16.742,38500
16.842,38500
16.943,38501
17.043,38501
17.143,38501
17.243,38501
17.344,38501
17.444,38501
17.544,38501
17.644,38501
17.745,38501
17.845,38501
17.946,38501
18.046,38501
18.146,38501
18.246,38501
18.346,38502
18.447,38502
18.547,38502
18.647,38502
18.747,38502
18.847,38502
18.948,38503
19.048,38503
19.148,38504
19.248,38504
19.349,38504
19.449,38504
19.549,38504
19.649,38504
19.750,38504
19.850,38504
19.950,38504
20.050,38504
20.151,38504
20.251,38504
20.351,38504
20.451,38506
20.552,38506
20.652,38507
20.752,38507
20.852,38507
20.953,38507
21.053,38507
21.154,38507
21.254,38508
21.354,38508
21.454,38508
21.555,38508
21.655,38508
21.755,38508
21.855,38508
21.956,38508
22.056,38508
22.156,38508
22.256,38508
22.357,38508
22.457,38509
22.557,38509
22.657,38509
22.758,38509
22.858,38509
22.958,38509
23.058,38509
23.159,38510
23.259,38510
23.359,38511
23.459,38511
23.560,38511
23.660,38511
23.760,38511
23.860,38511
23.961,38511
24.061,38511
24.161,38511
24.262,38511
24.362,38511
24.462,38511
24.562,38511
24.663,38511
24.763,38517
24.863,38518
24.963,38519
25.064,38519
25.164,38519
25.264,38519
25.364,38519
25.465,38519
25.565,38519
25.665,38520
25.766,38520
25.866,38520
25.966,38520
26.066,38520
26.167,38520
26.267,38520
26.366,38520
26.467,38520
26.568,38520
26.668,38520
26.768,38520
26.868,38521
26.969,38521
27.069,38521
27.169,38521
27.269,38521
27.370,38522
27.470,38523
27.570,38523
27.671,38523
27.771,38523
27.871,38523
27.971,38523
28.072,38523
28.172,38523
28.272,38523
28.372,38523
28.472,38523
28.573,38523
28.673,38523
28.774,38523
28.874,38523
28.974,38523
29.074,38528
29.175,38530
29.274,38530
29.375,38530
29.475,38530
29.576,38531
29.676,38531
29.776,38531
29.876,38531
29.977,38531
30.077,38532
30.177,38532
30.278,38532
30.378,38532
30.477,38532
30.578,38532
30.678,38532
30.778,38532
30.878,38532
30.979,38533
31.079,38533
31.180,38533
31.280,38533
31.380,38533
31.480,38533
31.580,38533
31.681,38533
31.781,38533
31.881,38534
31.981,38534
32.082,38535
32.182,38535
32.282,38535
32.382,38535
32.483,38535
32.583,38535
32.683,38535
32.783,38535
32.883,38535
32.984,38535
33.084,38535
33.184,38535
33.285,38535
33.385,38537
33.485,38542
33.585,38542
33.685,38542
33.786,38542
33.890,38543
33.986,38543
34.086,38544
34.186,38544
34.286,38544
34.387,38544
34.487,38544
34.587,38545
34.687,38546
34.788,38546
34.889,38546
34.988,38546
35.088,38547
35.188,38547
35.288,38547
35.390,38547
35.489,38547
35.589,38547
35.690,38547
35.790,38547
35.890,38547
35.990,38548
36.091,38548
36.191,38548
36.291,38550
36.391,38550
36.491,38550
36.592,38550
36.692,38551
36.792,38551
36.892,38551
36.993,38551
37.093,38551
37.194,38551
37.294,38551
37.393,38551
37.494,38551
37.594,38551
37.694,38551
37.795,38556
37.895,38558
37.995,38558
38.096,38558
38.196,38559
38.295,38559
38.396,38559
38.496,38559
38.596,38559
38.696,38560
38.797,38561
38.898,38561
38.998,38561
39.098,38561
39.198,38561
39.298,38562
39.399,38562
39.499,38562
39.599,38563
39.699,38563
39.799,38563
39.900,38563
40.000,38563
40.100,38563
40.201,38564
40.301,38564
40.401,38565
40.502,38565
40.602,38565
40.702,38565
40.802,38565
40.902,38565
41.002,38565
41.103,38570
41.203,38571
41.303,38571
41.404,38571
41.504,38571
41.604,38571
41.705,38571
41.805,38571
41.905,38571
42.005,38572
42.106,38577
42.206,38578
42.306,38578
42.406,38578
42.506,38578
42.607,38578
42.707,38579
42.807,38579
42.907,38580
43.008,38580
43.108,38580
43.208,38580
43.308,38580
43.408,38580
43.509,38580
43.609,38580
43.709,38581
43.809,38581
43.909,38581
44.010,38581
44.110,38581
44.210,38581
44.310,38581
44.411,38582
44.511,38582
44.611,38583
44.711,38583
44.811,38583
44.912,38583
45.012,38583
45.112,38583
45.213,38583
45.313,38583
45.413,38583
45.513,38583
45.614,38583
45.714,38583
45.814,38583
45.914,38583
46.015,38583
46.115,38583
46.215,38583
46.316,38583
46.415,38587
46.516,38588
46.616,38588
46.716,38588
46.816,38588
46.916,38588
47.017,38588
47.117,38589
47.218,38589
47.318,38590
47.418,38590
47.518,38590
47.618,38590
47.719,38590
47.819,38590
47.919,38590
48.019,38590
48.120,38590
48.220,38591
48.320,38591
48.420,38591
48.521,38591
48.621,38591
48.721,38592
48.822,38592
48.922,38593
49.022,38593
49.122,38593
49.223,38593
49.323,38593
49.423,38593
49.523,38593
49.624,38594
49.724,38594
49.824,38594
49.924,38594
50.024,38594
50.124,38594
50.225,38594
50.325,38594
50.426,38594
50.526,38594
50.626,38595
50.726,38600
50.827,38601
50.927,38601
51.027,38601
51.127,38601
51.228,38601
51.328,38601
51.428,38603
51.528,38603
51.628,38603
51.729,38603
51.829,38603
51.930,38603
52.029,38603
52.130,38603
52.230,38603
52.330,38604
52.431,38604
52.531,38604
52.631,38604
52.732,38604
52.832,38604
52.932,38604
53.033,38605
53.133,38605
53.233,38605
53.333,38605
53.433,38605
53.534,38605
53.634,38605
53.734,38605
53.835,38605
53.935,38605
54.035,38606
54.135,38606
54.236,38606
54.336,38606
54.436,38606
54.536,38606
54.637,38606
54.736,38606
54.837,38606
54.937,38607
55.037,38607
55.138,38611
55.238,38612
55.338,38612
55.439,38612
55.539,38612
55.639,38613
55.739,38613
55.839,38613
55.940,38614
56.040,38614
56.140,38614
56.241,38614
56.341,38614
56.441,38614
56.542,38614
56.642,38614
56.742,38615
56.843,38615
56.943,38615
57.043,38615
57.143,38615
57.243,38615
57.344,38616
57.444,38616
57.544,38616
57.645,38616
57.745,38616
57.845,38616
57.946,38616
58.045,38616
58.146,38617
58.246,38617
58.347,38617
58.446,38617
58.547,38617
58.647,38617
58.748,38617
58.848,38617
58.948,38617
59.049,38618
59.149,38618
59.249,38618
59.349,38618
59.449,38618
59.549,38618
59.650,38618
59.749,38618
59.850,38618
59.950,38620
60.050,38620
60.151,38620
60.251,38620
60.351,38620
60.451,38621
60.551,38621
60.652,38621
60.752,38621
60.852,38621
60.953,38622
61.053,38622
61.154,38622
61.253,38622
61.354,38622
61.454,38622
61.554,38622
61.654,38622
61.755,38623
61.855,38623
61.955,38624
62.055,38624
62.156,38624
62.256,38624
62.356,38624
62.457,38625
62.557,38625
62.657,38625
62.757,38625
