time,tx_packets
0.001,981110
0.101,981121
0.201,981132
0.302,981143
0.402,981154
0.502,981164
0.602,981174
0.702,981184
0.803,981194
0.903,981204
1.003,981214
1.103,981224
1.203,981234
1.303,981244
1.404,981254
1.504,981264
1.604,981274
1.704,981284
1.805,981294
1.905,981307
2.005,981318
2.105,981328
2.205,981338
2.306,981349
2.406,981359
2.506,981369
2.606,981379
2.706,981389
2.807,981399
2.907,981409
3.007,981419
3.107,981429
3.208,981439
3.308,981449
3.408,981459
3.508,981469
3.608,981479
3.709,981489
3.809,981499
3.909,981509
4.009,981519
4.109,981530
4.210,981540
4.310,981551
4.410,981561
4.513,981571
4.610,981582
4.710,981593
4.811,981603
4.911,981613
5.011,981623
5.111,981633
5.211,981643
5.311,981653
5.412,981663
5.512,981673
5.612,981683
5.712,981693
5.812,981703
5.912,981713
6.012,981723
6.113,981733
6.213,981743
6.313,981753
6.413,981763
6.513,981773
6.613,981783
6.713,981793
6.814,981803
6.914,981813
7.014,981823
7.114,981833
7.214,981843
7.314,981853
7.415,981863
7.515,981873
7.615,981883
7.715,981893
7.815,981903
7.916,981912
8.016,981923
8.116,981933
8.216,981943
8.316,981955
8.417,981966
8.517,981977
8.617,981984
8.717,981997
8.818,982007
8.918,982017
9.018,982029
9.118,982039
9.218,982049
9.319,982059
9.419,982069
9.519,982079
9.619,982089
9.719,982099
9.820,982109
