time,tx_packets
0.001,45192
0.101,45192
0.201,45193
0.302,45193
0.402,45194
0.502,45194
0.602,45194
0.702,45194
0.803,45194
0.903,45194
1.003,45194
1.103,45194
1.203,45194
1.304,45194
1.404,45194
1.504,45195
1.604,45195
1.704,45195
1.805,45195
1.905,45195
2.005,45195
2.105,45195
2.205,45195
2.306,45195
2.406,45195
2.506,45196
2.606,45196
2.707,45197
2.807,45197
2.907,45197
3.007,45197
3.107,45197
3.208,45197
3.308,45198
3.408,45198
3.508,45198
3.608,45201
3.709,45201
3.809,45201
3.909,45201
4.010,45201
4.109,45201
4.210,45201
4.310,45201
4.410,45201
4.511,45201
4.610,45202
4.710,45203
4.811,45203
4.911,45203
5.011,45203
5.111,45203
5.211,45203
5.311,45203
5.412,45203
5.512,45203
5.612,45203
5.712,45203
5.812,45203
5.912,45203
6.013,45204
6.113,45204
6.213,45204
6.313,45204
6.413,45204
6.513,45204
6.613,45204
6.713,45204
6.813,45205
6.913,45205
7.013,45205
7.113,45205
7.213,45205
7.313,45205
7.414,45205
7.514,45205
7.614,45205
7.714,45211
7.814,45212
7.914,45212
8.014,45212
8.114,45212
8.215,45212
8.315,45212
8.415,45212
8.515,45212
8.615,45212
8.715,45212
8.815,45212
8.915,45212
9.015,45214
9.116,45214
9.216,45214
9.316,45214
9.416,45214
9.516,45214
9.617,45214
9.717,45214
9.817,45214
